title,authors,year,venue,doi,source_url,category,accr_difference,complete_intersection_coverage
Safe Data-Driven Secondary Control of Distributed Energy Resources,Madi Zholbaryssov; Alejandro D. Dominguez-Garcia,2021,IEEE Transactions on Power Systems,10.1109/TPWRS.2021.3084440,https://experts.illinois.edu/en/publications/safe-data-driven-secondary-control-of-distributed-energy-resource/,safe_data_driven_secondary_control,"learns grid sensitivities with persistent excitation and GP safety; does not certify abrupt device power/ramp/delay deliverability or separate contract floor from revocable surplus",False
Active Exploration in Adaptive Model Predictive Control,Anil Parsi; Andrea Iannelli; Roy Smith,2020,59th IEEE Conference on Decision and Control,10.1109/CDC42340.2020.9304303,https://www.research-collection.ethz.ch/entities/publication/caa9cfcf-cfba-43f7-afb0-c77889104b49,active_exploration_mpc,"general uncertain LTI set-membership exploration; no SG-IBR allocation-neutral probe or multi-area ACE/tie responsibility",False
Probing Signal Design for Power System Identification,John W. Pierre; Ning Zhou; Francis K. Tuffner; John F. Hauer; Daniel Trudnowski; William A. Mittelstadt,2010,IEEE Transactions on Power Systems,10.1109/TPWRS.2009.2033801,https://certs.lbl.gov/publications/probing-signal-design-power-system.html,power_system_probing,"long multisine system-mode identification; no online device-capability certificate and no delivered/loss safety branch",False
A Review of Active Probing-Based System Identification Techniques With Applications in Power Systems,Rahul Chakraborty; Himanshu Jain; Gab-Su Seo,2022,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2022.108008,https://www.sciencedirect.com/science/article/pii/S0142061522000539,power_system_probing_review,"reviews active probing for grid and IBR model identification but does not provide the ACCR controller/certificate intersection",False
Probing Signal Design for Enhanced Damping Estimation in Power Networks,Sjoerd Boersma; Xavier Bombois; Luigi Vanfretti; Juan-Carlos Gonzalez-Torres; Abdelkrim Benchaib,2021,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2020.106640,https://www.sciencedirect.com/science/article/pii/S0142061520341855,power_system_probing,"optimizes multisine power for damping-estimate variance; does not estimate BESS command-to-actual power/ramp/delay sets",False
Adaptive Control Allocation for Constrained Systems,Seyed Shahabaldin Tohidi; Yildiray Yildiz; Ilya Kolmanovsky,2020,Automatica,10.1016/j.automatica.2020.109161,https://www.sciencedirect.com/science/article/pii/S0005109820303599,adaptive_control_allocation,"handles uncertain actuator effectiveness and saturation without identifying a finite-valid capability set; no frequency/ACE/tie certificate",False
Adaptive Control Allocation,Johannes Tjonnas; Tor A. Johansen,2008,Automatica,10.1016/j.automatica.2008.03.031,https://www.sciencedirect.com/science/article/pii/S0005109808002574,adaptive_control_allocation,"adaptive optimization for nonlinear over-actuated systems; no event-triggered safe probing or contract/surplus semantics",False
Actuator Fault-Tolerant Load Frequency Control for Interconnected Power Systems With Hybrid Energy Storage System,Jun Chen; Chen Chen; Chun Sing Lai; Guanqiu Qi; Yigang Liu,2020,Energy Reports,10.1016/j.egyr.2020.11.028,https://www.sciencedirect.com/science/article/pii/S2352484720314530,fault_tolerant_lfc,"observer-based fault estimate and sliding-mode LFC; no safe active capability probe or finite-valid certificate",False
Distributed Fault-Tolerant PI Load Frequency Control for Power System Under Stochastic Event-Triggered Scheme,Jiashu Zhang; Ying Wang; Xianchun Liu; Xinchun Jia,2023,Applied Energy,10.1016/j.apenergy.2023.121844,https://www.sciencedirect.com/science/article/pii/S0306261923012084,event_triggered_fault_tolerant_lfc,"event trigger reduces communication and the fault model is predefined; it does not event-trigger an allocation-neutral capability experiment",False
Fault-Tolerant Load Frequency Control for DFIG-Based Interconnected Wind Power Systems,Chengcheng Ren; Zhiwen Chen; Yong He,2021,Information Sciences,10.1016/j.ins.2021.09.003,https://www.sciencedirect.com/science/article/pii/S0020025521009245,fault_tolerant_lfc,"robust LFC for assumed known/unknown actuator faults and communication delay; no causal certification of deliverability",False
T-S Fuzzy Fault-Tolerant Load Frequency Control for Power Systems With Energy Storage System Under DoS Attacks and Actuator Failures: A Two-Step Adaptive Event-Triggered Mechanism,Xiaojie Su; et al.,2026,Applied Mathematics and Computation,10.1016/j.amc.2025.129632,https://www.sciencedirect.com/science/article/pii/S0096300325003583,event_triggered_fault_tolerant_lfc,"event trigger screens communication packets under a stochastic failure model; no active power/ramp/delay certification or contract-safe recourse",False

