category,file,size_bytes,sha256
core methods across SG levels,01_core_methods_across_sg.png,31607,0798603486e551ac39ee9aaaf8404f0fa7819f0ce51cdd43d17f7c061760ca64
exact-vs-ARX errors,02_exact_vs_arx_prediction_errors.png,52809,153b4210c090a0428b03d8367ed0d4a6e70cb7aeeeb69163e7cfd76429f8175b
B4-B5 gap,03_b4_b5_oracle_gap.png,28740,184f9bbbd3e0bb7b0d6e1397e20eba1cd2dddeaab9701ad276fd9bce65131a89
Gramian over time,04_gramian_information_over_time.png,66095,eb065107c7582343a764a95ab0ed10b820d944ff5c1062b23b0966e602f47a00
pairwise separation,05_pairwise_likelihood_separation.png,72989,6f1dc90da6089392705a241525938f588495c60b68cd34f16e545ddbbcee90ca
load-mode confusion,06_load_vs_mode_confusion.png,75990,d5177c69e983b33068ac1c928fbd39e72ea8708ef01257bba0b04838871e8f73
detection critical window,07_detection_vs_critical_window.png,45311,01d2184b8b3b4a666d217e3c34799a6766f675fd5ab3f55be04c3d7cc046e173
worst-cost conservatism,08_worst_cost_conservatism.png,24735,1a1f72b446e354819cf06f67c7fc520b11260d85d2fdf677a7827ed74214b173
binary fallback versus gradual,09_binary_vs_gradual_authority.png,28338,85869f01c9391110595f7927f5a7878ab0959020b84f3beab4129f78c5347e0a
decision summary,10_bottleneck_decision_summary.png,37435,3bcf40c7035380a0bbf5c8caad3a63111e45e921b4462e04cfc5bbc88f49b1e1
solver timing,11_solver_timing.png,62953,6d4480649c085c0d0719d183664935742f011eab9986139b07af30f48191f0b0
retained failures,12_worst_retained_failures.png,67874,23db4b02e5fb3192e47a3c3789ae174e2d69282545bec07ca916dd2096275b8c
