design,period_s,metric,support_to_limit
stable_ace_pi,2.0,frequency_support_max_hz,5.261474811825317
sg_state_feedback_lqr,2.0,frequency_support_max_hz,5.150944658104371
stable_ace_pi,4.0,frequency_support_max_hz,3.7194160021604703
sg_state_feedback_lqr,4.0,frequency_support_max_hz,2.7905658597451533
stable_ace_pi,2.0,tie_support_pu,8.995877103883828
sg_state_feedback_lqr,2.0,tie_support_pu,1.4117479005997113
stable_ace_pi,4.0,tie_support_pu,5.095731930260501
sg_state_feedback_lqr,4.0,tie_support_pu,1.352727094840961
stable_ace_pi,2.0,sg_mechanical_support_max_pu,4.4724987879324365
sg_state_feedback_lqr,2.0,sg_mechanical_support_max_pu,5.62323955976596
stable_ace_pi,4.0,sg_mechanical_support_max_pu,3.3729609474880817
sg_state_feedback_lqr,4.0,sg_mechanical_support_max_pu,2.730097254795792
stable_ace_pi,2.0,sg_command_support_max_pu,15.579763233213983
sg_state_feedback_lqr,2.0,sg_command_support_max_pu,14.496294281677883
stable_ace_pi,4.0,sg_command_support_max_pu,13.528869732961567
sg_state_feedback_lqr,4.0,sg_command_support_max_pu,5.960037328553163
