materiality_and_model: total=8280 existing=0 prior_failures=0 pending=8280
materiality_and_model progress: 25/8280; new_attempt_failures=0
materiality_and_model progress: 50/8280; new_attempt_failures=0
materiality_and_model progress: 75/8280; new_attempt_failures=0
materiality_and_model progress: 100/8280; new_attempt_failures=0
materiality_and_model progress: 125/8280; new_attempt_failures=0
materiality_and_model progress: 150/8280; new_attempt_failures=0
materiality_and_model progress: 175/8280; new_attempt_failures=0
materiality_and_model progress: 200/8280; new_attempt_failures=0
materiality_and_model progress: 225/8280; new_attempt_failures=0
materiality_and_model progress: 250/8280; new_attempt_failures=0
materiality_and_model progress: 275/8280; new_attempt_failures=0
materiality_and_model progress: 300/8280; new_attempt_failures=0
materiality_and_model progress: 325/8280; new_attempt_failures=0
materiality_and_model progress: 350/8280; new_attempt_failures=0
materiality_and_model progress: 375/8280; new_attempt_failures=0
materiality_and_model progress: 400/8280; new_attempt_failures=0
materiality_and_model progress: 425/8280; new_attempt_failures=0
materiality_and_model progress: 450/8280; new_attempt_failures=0
materiality_and_model progress: 475/8280; new_attempt_failures=0
materiality_and_model progress: 500/8280; new_attempt_failures=0
materiality_and_model progress: 525/8280; new_attempt_failures=0
materiality_and_model progress: 550/8280; new_attempt_failures=0
materiality_and_model progress: 575/8280; new_attempt_failures=0
materiality_and_model progress: 600/8280; new_attempt_failures=0
materiality_and_model progress: 625/8280; new_attempt_failures=0
materiality_and_model progress: 650/8280; new_attempt_failures=0
materiality_and_model progress: 675/8280; new_attempt_failures=0
materiality_and_model progress: 700/8280; new_attempt_failures=0
materiality_and_model progress: 725/8280; new_attempt_failures=0
materiality_and_model progress: 750/8280; new_attempt_failures=0
materiality_and_model progress: 775/8280; new_attempt_failures=0
materiality_and_model progress: 800/8280; new_attempt_failures=0
materiality_and_model progress: 825/8280; new_attempt_failures=0
materiality_and_model progress: 850/8280; new_attempt_failures=0
materiality_and_model progress: 875/8280; new_attempt_failures=0
materiality_and_model progress: 900/8280; new_attempt_failures=0
materiality_and_model progress: 925/8280; new_attempt_failures=0
materiality_and_model progress: 950/8280; new_attempt_failures=0
materiality_and_model progress: 975/8280; new_attempt_failures=0
materiality_and_model progress: 1000/8280; new_attempt_failures=0
materiality_and_model progress: 1025/8280; new_attempt_failures=0
materiality_and_model progress: 1050/8280; new_attempt_failures=0
materiality_and_model progress: 1075/8280; new_attempt_failures=0
materiality_and_model progress: 1100/8280; new_attempt_failures=0
materiality_and_model progress: 1125/8280; new_attempt_failures=0
materiality_and_model progress: 1150/8280; new_attempt_failures=0
materiality_and_model progress: 1175/8280; new_attempt_failures=0
materiality_and_model progress: 1200/8280; new_attempt_failures=0
materiality_and_model progress: 1225/8280; new_attempt_failures=0
materiality_and_model progress: 1250/8280; new_attempt_failures=0
materiality_and_model progress: 1275/8280; new_attempt_failures=0
materiality_and_model progress: 1300/8280; new_attempt_failures=0
materiality_and_model progress: 1325/8280; new_attempt_failures=0
materiality_and_model progress: 1350/8280; new_attempt_failures=0
materiality_and_model progress: 1375/8280; new_attempt_failures=0
materiality_and_model progress: 1400/8280; new_attempt_failures=0
materiality_and_model progress: 1425/8280; new_attempt_failures=0
materiality_and_model progress: 1450/8280; new_attempt_failures=0
materiality_and_model progress: 1475/8280; new_attempt_failures=0
materiality_and_model progress: 1500/8280; new_attempt_failures=0
materiality_and_model progress: 1525/8280; new_attempt_failures=0
materiality_and_model progress: 1550/8280; new_attempt_failures=0
materiality_and_model progress: 1575/8280; new_attempt_failures=0
materiality_and_model progress: 1600/8280; new_attempt_failures=0
materiality_and_model progress: 1625/8280; new_attempt_failures=0
materiality_and_model progress: 1650/8280; new_attempt_failures=0
materiality_and_model progress: 1675/8280; new_attempt_failures=0
materiality_and_model progress: 1700/8280; new_attempt_failures=0
materiality_and_model progress: 1725/8280; new_attempt_failures=0
materiality_and_model progress: 1750/8280; new_attempt_failures=0
