path,bytes,sha256
00_EXPERT_REVIEW_CURRENT_PACKAGE.md,1999,99d5d908e9e4d8e9a78cea9e89565f61bf1dadbe6dff544b1eee27ab9b4face4
01_FINAL_CLOSURE_PLAN.md,4958,88acb6710b500a63f25d0b13fac40ab2032d6c9da8ed45d3177b8347b40cc1d1
02_PAPER_DRAFT_WITH_PREDICTED_RESULTS.md,2639,d058e4a93b0362f955aac91d8fb6902139e260c737ce698d5cb5c4aeb0a01bdc
03_INDEPENDENT_AUDIT_SPEC.md,702,d43980d6e5c982ea4b4c14d9e8f51ad005c439e36b89edec957818c925d83b79
04_FINAL_PACKAGE_SPEC.md,739,e5ef84c2bf5044aeb2fdc55b06d38ea02ddf0887b48767bafa3a35cbd3f9a1d8
05_GATES_AND_STOP_RULES.md,719,2efe2a5da4a8b72b7de29d19fae88d0f88749f550b8b7cda52a4103fde554444
CODEX_GOAL.md,1348,5662ef1b8116a1e051643e939157972089da4506a680526b7b11780b9f06084e
GOAL_TO_SEND_CODEX.txt,1245,4c0269a848f1959fb38071f478dedc50ee8dad3b662848ca8eb7da65207fd3c1
README_FIRST.md,770,96c912e7c2e2b444cd636664802de07f9a0025fa684b730ba549c46ea2466f40
reference/EXPECTED_CONFIRMATORY_RESULTS.csv,835,54abce43bac6544536c93346518bdd21009a596d07d9f14bcdebfefcc7168535
