path,size_bytes,sha256
00_CURRENT_REVIEW_AND_VERDICT.md,8849,c2ca7f5471d9a13a351b884288437045d94638334f7d1e2858941384ef1d65d8
01_MASTER_EXECUTION_PLAN.md,6805,d0fc9b66079e6a122829cf9501a173d6d2c7da32b1ebcf512649c84e87d7b6f7
02_LOCKED_SCIENTIFIC_QUESTION_AND_HYPOTHESES.md,4461,d9a22abfaaa13e5df9c232295ae66075bca2be2746d9d9f4ea5ccc1dcf4a7e4c
03_CORRECTED_PLANT_MODELS.md,4268,64462267e3941ee3f8d226b1d4bc6ccf506d219ba7dc637ce3073119c5ee3c1f
04_METHOD_SPEC_CRCS_TUBE_MPC.md,4728,dc93459d4ea6cff9fc01c233f5a2dd294ab1632d621102b18ef4824789619a8c
05_THEORY_AND_PROOFS_SPEC.md,2412,970c894716e7346652c746b075916f98d1442181fc4d9c00dd468538a99007c0
06_LITERATURE_AND_NOVELTY_PROTOCOL.md,2872,4a85925a300819c6ae255a9f4687d058aaffff0783acfa79bb052003eaae7728
07_EXPERIMENT_AND_STATISTICS_PROTOCOL.md,4085,3d3c38875d50c5fdb66e5f125f15815aab0b5680478b8172079a4c8a6bf22892
08_SOFTWARE_ARCHITECTURE_AND_FILE_CONTRACTS.md,3045,aef7e095a3e8e70623226336669a2c306df2197583049e6a406228c8e415b2bc
09_GATES_FAILURE_AUTO_REPAIR.md,3955,a73ac6d03ab863b2d09bbab4e97a67820ab23d935398e636dcbf1e5efa6e36f3
10_FINAL_REVIEW_PACKAGE_SPEC.md,3336,50465bfa8faf7fb835b25e5f9696144745d7b8d551a91a0adb90e168000749fc
CODEX_GOAL.md,3489,5ae82a649527a73d6f3b30021827831b56477e4e46cc0888ceda42b79902159c
GOAL_TO_SEND_CODEX.txt,1859,f926596f5e42008865ef92bdb7395818dc5bf99e2c7d8b9081fd36c48693273f
README_FIRST.md,1923,a618fa13c7ad9ab62abd937741b115aaa1ee2b0621d4f2ae0d678832d93e3161
reference/audit_checks.py,953,34970d59ab580907fac8ed37a6b7c08bfbd77077523299dd68ef0da4bae7418e
reference/config_template.yaml,1053,73aac962c94e9f2da52582e6174f7a3123ef6b9e2112a3f8ec243eee5f67f344
reference/controller_interface.py,755,85795f15442964884ade304af1a5d8b77415544da8e969d529b82227f7fad290
reference/experiment_matrix_template.csv,184,e27bd91e0720f9eb4c2c902fb0c2d68979a99e549fb9ea1587c699f2b86a7c74
reference/failure_ledger_template.csv,127,6c9ca092857c34003c19472fe802f4fd51ff0416d56ffef0a3d9bf3a4dd20bcf
reference/formula_code_map_template.csv,90,296b0e3a79db97bafa6f47e57d5a3a76119f0d5b39efc80592d537de751a5084
reference/literature_matrix_template.csv,224,a73b50db3380af219a6844595a97ed2a04eb978762b9736d1d34ca68fbdecdf4
reference/result_schema.json,986,97522c149872f11cc4d0a3c8431f78a3beb26423fc29de5a1f2a9b9679608f06
