path,bytes,sha256
00_EXPERT_REVIEW_OF_PHASE_E.md,5241,0106f6477d980b023f345189680e0550e0f7589c3d66be96a71497cd18bf9ea2
01_MASTER_EXECUTION_PLAN.md,16705,de8d1c57e65284d75b1ec8a2fbe55ef8ffcbc60cee8d216862add0e1cfb45471
02_CORRECTED_CLAIMS_AND_SCIENCE_GATES.md,2250,6ab2ca3643084fc7cbe905ee2c45ab899bdf1169be5132ab59db20b895880c27
03_FAILURE_DIAGNOSIS_AND_CODE_REPAIR_SPEC.md,2187,b82c93f9f6bc17dd5caf00ae2dce220915e095e4400ed06c6ad0a15ab3576237
04_METHOD_SPEC_CDSR_MPC.md,2915,850ab88ba3c0369b46573c0210df4d714ee436d1852cb9974181861504b9d37f
05_THEORY_AND_CERTIFICATE_SPEC.md,1767,b4f6dfa2746493cebab3eec7b87c8114be94c3005d4816d9bc6bd690591ba5df
06_EXPERIMENT_AND_STATISTICS_PROTOCOL.md,2681,ff2aab0f160669405ca2955c8edb89eba48bc07d6475e516c5873c4e13539462
07_SOFTWARE_ARCHITECTURE_AND_APIS.md,1768,df5cb926b9b4edff34941ab324eeb98702459a858d910b7f03b53a9ebe47d405
08_GATES_FAILURE_AUTO_REPAIR.md,2347,a9e8f14b165be487144bfacebfa722fd31856b21fde6ae9dcfb4f3127487f0fb
09_FINAL_REVIEW_PACKAGE_SPEC.md,3230,107065f8572e24d69513b1728b5bfb64a3d69f1f9dcf9ae5a01262eff0d50135
CODEX_GOAL.md,3226,ba66afd67850dff7b5e208a67a40d2d6ccaeb0a4857e39c1fb3c4587fc203345
GOAL_TO_SEND_CODEX.txt,1471,c52f100938dcb76b4ffa92c2e67bacb7d51efe3af08e05b7f30ca92658650e6a
README_FIRST.md,1434,359bdfadfbf6a8d5c3b7c82e7b69f536bacf586d03265bc20ce72a9b4505ea00
reference/controller_state_contract.py,1225,3bccfd6eb80051327cdb7f0b8388950ca5b15a6c8f84c180643d3f1bccc27951
reference/delay_augmented_model.py,1380,22b9400cd986b7379daf1f3110adc4b7b9c1644f6af3078f5347afb4facb7cf4
reference/phase_f_config_template.yaml,1036,7c36e04da80d87ee7196d0132f3059738f6d5ddb99eb2f756950b04de18ad673
