path,bytes,sha256
00_EXPERT_REVIEW_LATEST_PACKAGE.md,3412,017434d8cc8a8e6903ba6ce79d286a3c51c8f58c9f17f02e3fcd51ce280fc62d
01_LOCKED_SCIENTIFIC_QUESTION_AND_NOVELTY.md,3126,a162f85fbf3ee9bfab5c532684ccac7ea464955335bd4e1167bdc1206c1714f3
02_COMPLETE_MATHEMATICAL_DERIVATION.md,9498,fe656f7972a0d3c9ff474f73846e93e3b49f1bc3d241c790de50012577d23653
03_METHOD_AND_IMPLEMENTATION_SPEC.md,2988,dd0ca53e568593275633ffc0e4d4963dac4d1e409bfd158e1c213756628370f6
04_THEORY_AND_PROOF_REQUIREMENTS.md,1345,7144e20ca59d751613ffce0e10d4d57950dd9c4fd2aeee40dabe8192215b311b
05_ONE_GOAL_MASTER_EXECUTION_PLAN.md,4489,877d0b410d740f5010d53ac96eb2d3d19c1bbefe92a89d05b7b13386d1a495da
06_EXPERIMENT_AND_STATISTICS_PROTOCOL.md,2718,d4d20e1967ec6ca0bc66a46bd0e1ea8e4e733822e23ec01521a2e23e7b60aa07
07_PAPER_DRAFT_WITH_PREDICTED_RESULTS.md,4843,c9bcfb8152ef56d2e57b930831cd9f9a9bcafa2963561139492a023e0cee4a26
08_GATES_AND_AUTOMATIC_REPAIR.md,1667,08e57b479257486d3b409ea8262e2021ae60ae09ee234ae78fa05ccf075313c7
09_FINAL_REVIEW_PACKAGE_SPEC.md,1305,0c20073ed59521aa7a6fe9b2f91bb621577d28362991b39bd486fa6783ce347c
10_LITERATURE_AND_NOVELTY_STARTER.md,2100,c3dfef85a34379ef25345f12e8a3caee1fb058b6df20be8ed08c1d517ce69a5c
CODEX_GOAL.md,2427,e2b1579f70a4d3339f2d7901f298cb1c023a5ab032602cbb2310a69d7a9bb41e
GOAL_TO_SEND_CODEX.txt,1793,5880e40fec98d79d365290d6674b026a21f475de05aa96f99be39648b2ccc85a
README_FIRST.md,1910,0bc16bb211ed215368add884886706b1acee58f163281caba3594e28cc67712b
reference/accr_config_template.yaml,1397,5a9803a1b4558ff88e4a137f42771211b62c3cd0811859d7cb329199fa05e29d
reference/experiment_manifest_schema.yaml,651,28d32289c9521e12b4ba359d1c0bcacc3fdb5d3d735e200e3cbee38c334514a2
reference/formula_reference.py,2187,59b2cc13790dbc9d191f9deb127a700b28614234fda4bb3a887c17d14e1ad495
reference/probe_library.csv,349,23293b1ef2f2ef00a94c6cdbcaa771d6add0bfa1c78ced7d89c49100ab37198d
