path,bytes,sha256
00_EXPERT_REVIEW_PHASE_I.md,7171,c9c1f7f1dc8b617c51660005d50d338f9b47ff096e94325e2c010352129f3964
01_FINAL_MASTER_PLAN.md,10028,48552ac98047201727188815d611629dd7ca7b33d79226b2afb9d5e5435ec714
02_LOCKED_SCIENCE_AND_NOVELTY.md,1361,720685f88453f49f602c890a65b5fe7b0c489647ce8f1f97fd35c72bff839ad7
03_CORRECTED_STATISTICS_AND_BASELINE_SPEC.md,1642,433a46595e7442f0ff34ab83f05551d8d4c351579f52b60966a29a01ccda0459
04_MODEL_ESTIMATOR_REBUILD_SPEC.md,1377,39b61a162dbca1f1db8f8c6f97ce3ad91b4ddee0b0f9a9786bb9159fbb1bd762
05_METHOD_SPEC_DCSV_CR_MPC.md,1565,20abadfcf9c3a12313b3b87b86ac6afbf6a9eb9ad56db893a1002aa6ad677282
06_THEORY_AND_CLAIM_SPEC.md,1129,1cffba471db0c83d382ef0135b5142821cd3162f94494cf78eef774432ee046f
07_EXPERIMENT_AND_FINAL_DECISION_PROTOCOL.md,1817,9fc2d79ea8ea6392a7140a6127f65b94440003a0c75a81d16354bbc060f23ef9
08_GATES_AND_AUTO_REPAIR.md,1086,1f0f3b5df68a8119fa1520d90175e85e853b0de24105a1906fbdaf7a89059809
09_SOFTWARE_AND_OUTPUT_CONTRACT.md,1059,113f608cf1a899a454b5d3dbb0935c934871357a43cd8ebacb92a1174a3e2c4f
10_FINAL_REVIEW_PACKAGE_SPEC.md,1480,d246c6e83e8d07cddf83669c26031e55957ffc57bb869a38c7ea44175a941a6d
CODEX_GOAL.md,2191,7563edcf641fbdb27f34ec699b78063fd8dbfea75a3208ccfdedbb8ae1c1a04e
GOAL_TO_SEND_CODEX.txt,2401,73bdd9baeb9d7518dcdd8baeb32c3363f094f81ca77d019582265fda8b76230e
README_FIRST.md,1742,558deb3c05e5cf5fa092067299cb756e94a7108f4a16f5a5e51713dfe06a078b
reference/corrected_statistics_reference.py,1768,71926d8067b979f2ce8e21543cead1738d61cea19120178959e9811e5afb18be
reference/current_phase_i_audit.json,1090,4f530d33f74adaac9faf01be4c7eff9123815c33be7f7ca1077bc29f1bab2bec
reference/factor_independent_manifest_schema.yaml,662,034b844b087c9160cc6ee728762a275f73ff69eaf72dba7003266c8494def06e
reference/recourse_control_contract.py,960,e6b272f4f1da3a0861dd164d3bce36f22aad1203f76a9a6f17651264cb7c65b3
