path,bytes,sha256
00_EXPERT_REVIEW_PHASE_G.md,5704,ba06a939404bf8e1d3d35240caefd96acddb3b3b7632546111f0b65aaa5d78dc
01_MASTER_EXECUTION_PLAN.md,16614,c10b4d2ec7a914976e94f68ee8e4fb38b2fb28482bb41ba9c0a949add8049689
02_SCIENTIFIC_QUESTION_AND_NOVELTY.md,2072,b213d960c14a20331fa54655bca9870d597586a7faf84d1909626e3e560768ef
03_MODEL_OBSERVER_AND_TERMINAL_SPEC.md,2113,17bd3b90c9aa214a3faf4e257db66872b50a5d0083376a9a559e3181bd599cae
04_SUSTAINABILITY_BRIDGE_INFEASIBILITY_SPEC.md,1132,8e0daeaafa90c4ac4640e4c71f23c0e8f0ff4209604aef0a7c73fbef7ab3131f
05_METHOD_SPEC_DCSV_MPC.md,1482,220f8b49290413f10804579ae9ffabaa7343e5e5f64c91ecdfce9c1010780028
06_THEORY_AND_CERTIFICATE_SPEC.md,1054,d9bb9d866aa117af762053de78595433be096e8a64e1dbf61e9315052e36d11a
07_EXPERIMENT_LITERATURE_AND_STATISTICS_PROTOCOL.md,1761,7e67136385be868397ea4815499aba3ccef51dd8d0749362018c0ec593f69008
08_GATES_FAILURE_AUTO_REPAIR.md,1725,b4548438ce7faeca6e53f9d399d571e0c4d9a119e310b2ca91023b737dad17f5
09_SOFTWARE_ARCHITECTURE_AND_FILE_CONTRACTS.md,1305,f2bb99fd4a0db96d04acc54dd20349398ec81dfef53d49e1c9451eed4854f90d
10_FINAL_REVIEW_PACKAGE_SPEC.md,1782,6b3b6669fcf93a309052947008714877151705a1b85aba2542bdfcfc7054bfae
CODEX_GOAL.md,3795,697d03939a4b6d52ea791501ac65c592cc951ad308322ddd82e27a3a707fcd7c
GOAL_TO_SEND_CODEX.txt,1906,141e85bcc586363c612464d2e141783387dba25eedc6dbd18a750eb78187b39e
README_FIRST.md,2517,9cbec058a1fd184c7f63c0793a0aa5cb85ef3ff947a7c7658cab8ca76bb9f224
reference/phase_h_config_template.yaml,1002,c991e3046e3d6e9e14e0ae043355053af750e2417ba27f55d4e3ed17f643e88c
reference/reduced_order_observer_reference.py,1207,29f41a2aaa515a440b50fed4661eceb690642ba761dbaed5d5832d5e7f4cc1e0
reference/terminal_window_filter_reference.py,825,a488babf550a000f88b5ece7187996f8a38742676fe99dcab62e449bdd20d772
