path,bytes,sha256
00_EXPERT_REVIEW_PHASE_H.md,8172,135a331cce96d1bbbd429c362376603c639629c3657c1aabfa7c2fe8c5193e15
01_MASTER_EXECUTION_PLAN.md,14161,cbd669d6bd990bad70c5486296e26acc8e354eba01212b1a84fb3845ed7f237f
02_LOCKED_SCIENTIFIC_SCOPE.md,1564,cdfeac77c2d717e33d5c200a3a286e9376c99f51a2a18fc7ab034806a44e81ec
03_MODEL_ESTIMATION_REBUILD_SPEC.md,1267,0abb05d9e027cf74e90a49c0f684f4c8f32c426c24b39c3757ee55609e960927
04_METHOD_SPEC_DCSV_MPC_FINAL.md,1429,4c49e765499998069b2fec5718b4f061fef3228bb2dd0f43181667253caffbfb
05_THEORY_AND_CLAIMS_SPEC.md,1033,47bc8c75dcae5d706f22b06d460007e680a20bb39bfb5d4165197f5151881c14
06_EXPERIMENT_AND_STATISTICS_PROTOCOL.md,1179,36d6d56edc7d02ba280bcd99a7cc0f25ed7e95510ac44fee087f0688f89793ca
07_GATES_FAILURE_AUTO_REPAIR.md,1362,404156584a260632ea002d7ef0b5c9335fa6f4f6174d20ed8efc876f139f67ca
08_SOFTWARE_ARCHITECTURE.md,1057,17d7785c1a5623bebcbae547ed30a767f606612366ff99f8478bec2e0d346d75
09_FINAL_REVIEW_PACKAGE_SPEC.md,1552,e3aad61f989a345833b56f37f8f7d34ce3d2dc1197a2ec2200c9c816cc84f90c
CODEX_GOAL.md,2460,024598e0f9bfe19dbe536a18a0a1c6536233ebe3f85a7ac68e762e9c2958b25d
GOAL_TO_SEND_CODEX.txt,2255,32fbc20910b1ac5b7f9d7c985f8d12528f2ca08fe5273c749551671eaa5c3fb1
README_FIRST.md,1307,cb31425dab7746637f018e2687aa8b592e258cc55be419db3da35abce754c25f
reference/deliverability_contract.py,771,79db6e8377e3e53f237a4b925e4deec0b8f3cca6890b07f1f1da53b07b77e99e
reference/factor_independent_manifest_schema.yaml,646,0bb0ff945f7a0d7720bc8abcc11915a73df0931e11dd0b0f8d2d883e607b48ab
reference/phase_i_config_template.yaml,831,ccc25c1510048d538a2e7d77c7dce935f2a3589a9342cc6987e4ccda35be8d5d
