path,bytes,sha256
00_EXPERT_REVIEW_CURRENT_PACKAGE.md,5232,0e3cc642d339dc390859280834bfe5ecdb403010fdd3c45eb8fd0539d2b41e7c
01_LOCKED_PAPER_OBJECTIVE.md,2214,86fbc6b863112557e2778350ea51d185b1a78bbaf388728d0b5bcafe90e6e974
02_COMPLETE_MATHEMATICAL_DERIVATION.md,8517,acad1ee60b052be096d45a23eac4d4b547fd8d3a2b23bad4a6ad930afc26730d
03_ONE_GOAL_RESULT_DRIVEN_PLAN.md,6228,6a16e40f8683a60bf987dc97b32b6660a27b7a0b75c36f6dfed69576b3ff5b72
04_PAPER_DRAFT_WITH_PREDICTED_RESULTS.md,4852,f84d7fe47f7f2ebc6611c352362906d9c70fd99d29884de8ce9cee98b3baa2b3
05_EXPERIMENT_AND_STATISTICS_PROTOCOL.md,2380,f3c06647564422b0adfa5bebc282410b2c5fbd9698be769faa5c8fa52a04e193
06_LITERATURE_AND_NOVELTY_GUIDE.md,1803,dc521c743a44b7557e43f58aca8bf088be256d095b96279c23fd87145d692766
07_SOFTWARE_AND_OUTPUT_SPEC.md,1252,3c2fbf408baf3f6958615d0db1c15e78c79a02f2cb6a6081a3e9eff1f8c960fd
08_FINAL_REVIEW_PACKAGE_SPEC.md,1452,e92533cb17e321df747961d76e51d60067d27495cf4a08904e0c46b481f07f39
CODEX_GOAL.md,2904,6c6caffb5d6dedece8f32d2f8a878a93e9593ecebd7fae7183b56abf5a907dde
PROMPT_TO_CODEX.txt,2400,535bc3b6e44881d3d65da89f75e089182b963bdd994c87e781eba9f88eebbc74
README_FIRST.md,1660,69d416012a309f0aed838b063d55bbad5ba76a7412546227bf5d279dd7aae58e
reference/design_space.yaml,1478,3eeecd0470d2d52034df6d1cfa5ab45ed4235545fe925ed06ccb2d42b72ef976
reference/result_targets.csv,832,f45da61bf4c789b1fda0d44468e152bdee0db20d51a1c978db4baa2a74edd7fc
reference/voi_boundary_pseudocode.py,1376,a2341742d74fbc17f75f5c3afc1ceb1e9125cbe605d9f5b288a855678579673b
