point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz
B1_ADAPT_0000,4.0,medium,0.0541586294767362,0.0050428865937638,0.0033675721906931,1.3,0.0007155263395147,0.463476324923964,0.0237712777542911,resource_economy,50.0
B1_ADAPT_0001,2.0,medium,0.075,0.028688927797715,0.0,0.9673894875587172,0.0008948554114134,0.4430059472549746,0.0256570691947217,resource_economy,50.0
B1_ADAPT_0002,2.0,medium,0.015,0.0132054727680886,0.0110827447426207,1.1719744298958144,0.0005,0.5639791448307283,0.0398049092792388,resource_economy,50.0
B1_ADAPT_0003,4.0,medium,0.0724528943335798,0.0278872893309565,0.0125659229966767,0.2412479459758071,0.002,0.7,0.0,resource_economy,50.0
B1_ADAPT_0004,2.0,medium,0.072646347667387,0.0180328420520408,0.0066978364517366,0.9807972638125276,0.0006952286346201,0.5047623083668134,0.0348962746673929,resource_economy,50.0
B1_ADAPT_0005,2.0,low,0.0736835321803242,0.0,0.0195949563030246,0.4912632868247814,0.001483851191615,0.565347009881788,0.0271744884750906,resource_economy,50.0
B1_ADAPT_0006,4.0,medium,0.075,0.0021090971596444,0.020029542934033,0.4461572397455979,0.0007711944228702,0.4503162833479281,0.0300774563905197,resource_economy,50.0
B1_ADAPT_0007,2.0,low,0.0714752467259685,0.0168437116926492,0.028276165088945,0.8942202097846312,0.0007741186352976,0.7,0.04,resource_economy,50.0
B1_ADAPT_0008,2.0,low,0.0672333074232692,0.035,0.0202636375163749,0.6474406209183263,0.0011071284612292,0.47134636807401,0.0292122637540906,resource_economy,50.0
B1_ADAPT_0009,4.0,low,0.075,0.0083867880328034,0.0180470669596431,0.4740345709480599,0.0011901175268067,0.4645123997068008,0.0002238386081369,resource_economy,50.0
B1_ADAPT_0010,4.0,medium,0.0655354987627924,0.0087718038911127,0.0054644688731809,0.446961923436315,0.0008185307947569,0.7,0.04,resource_economy,50.0
B1_ADAPT_0011,4.0,medium,0.0602862857105832,0.003192061683338,0.0329281540544729,0.2938976987133467,0.0008485823544433,0.5447869523356333,0.0320198689224818,resource_economy,50.0
B1_ADAPT_0012,4.0,low,0.0623819185659872,0.0153234884558454,0.0223041149964427,0.7262539329315055,0.0007248652781395,0.4120111113908505,0.0303445658086532,resource_economy,50.0
B1_ADAPT_0013,4.0,high,0.0702825529404863,0.015762711453551,0.0284128025880121,1.0773072372594017,0.002,0.5047225762052969,0.0057298473609646,resource_economy,50.0
B1_ADAPT_0014,2.0,medium,0.018317118332979,0.0176620879959959,0.0278379976215263,0.8856265184319861,0.0017318568307766,0.438260651133546,0.0275515780416828,resource_economy,50.0
B1_ADAPT_0015,4.0,high,0.0555486910972258,0.0304642922468054,0.0174476826088291,0.5276973181510322,0.0010490192922656,0.6956657960216889,0.0224123446714056,resource_economy,50.0
B1_ADAPT_0016,2.0,medium,0.0251800912059484,0.0126338520924049,0.0216102073149767,0.7373996327827833,0.001086322091782,0.3377801812945183,0.0259153449105545,regional_responsibility,50.0
B1_ADAPT_0017,2.0,low,0.0676739419348434,0.0249244136840809,0.0144370801902376,0.5638569842965708,0.0007682577348793,0.5968444725356752,0.04,resource_economy,50.0
B1_ADAPT_0018,2.0,low,0.075,0.0348833814280125,0.0306356658031189,0.5132511319382878,0.0007754028398274,0.4669954994497005,0.0273408791072753,resource_economy,50.0
B1_ADAPT_0019,2.0,medium,0.075,0.0307810348315353,0.0068288295516126,1.3,0.0011709504877451,0.5186377164872872,0.0266574517669573,resource_economy,50.0
B1_ADAPT_0020,2.0,medium,0.075,0.0329071081704288,0.0093965909766182,1.2278629580424911,0.0011621601504868,0.4583509122165549,0.0246574741823344,resource_economy,50.0
B1_ADAPT_0021,4.0,medium,0.0600142396506387,0.0320734434873051,0.0289554324992787,0.3789088872560779,0.0005412556291636,0.4485147728976091,0.0302418791012419,resource_economy,50.0
B1_ADAPT_0022,4.0,medium,0.0708273830614925,0.0182535083991832,0.0,0.8211895314432515,0.002,0.4909439527653228,0.0,resource_economy,50.0
B1_ADAPT_0023,4.0,high,0.0584321670404829,0.0251830589076412,0.0048772092918474,0.804377447437088,0.002,0.4545291668081108,0.0004861168479797,resource_economy,50.0
B1_ADAPT_0024,4.0,medium,0.0726692566648472,0.0312811791196603,0.0322255908925421,0.7414937087914585,0.0011622194312062,0.3960868213325194,0.0230577984585477,resource_economy,50.0
B1_ADAPT_0025,4.0,medium,0.0697250328896354,0.0,0.0089634783025705,1.1477773156232924,0.0015487486569936,0.4706582399191732,0.0099682268975293,resource_economy,50.0
B1_ADAPT_0026,2.0,low,0.0580095430350367,0.0069734098475421,0.0109715402953354,0.8825005604483442,0.0016678437356573,0.4463383904123963,0.04,resource_economy,50.0
B1_ADAPT_0027,4.0,medium,0.075,0.0048886644232947,0.0098417949758104,1.2355455872106478,0.0011880108014258,0.441218123174373,0.0132813948952674,resource_economy,50.0
B1_ADAPT_0028,4.0,high,0.059781620914197,0.0163087933917078,0.0007340182101653,0.3581851949738794,0.001019465150218,0.5316751500826745,0.025537331862997,resource_economy,50.0
B1_ADAPT_0029,2.0,medium,0.015,0.0172468228081177,0.0261687051137398,1.0220789456952024,0.0015111132476015,0.5342464370010611,0.04,resource_economy,50.0
