origin,objective,period_s,sg_tension,final_region,points,max_vpi,max_probe_upper
adaptive_boundary,regional_responsibility,2.0,medium,ZERO_VALUE_PROVED,44,0.0130023203363558,-0.0149780978855278
adaptive_boundary,resource_economy,2.0,high,ZERO_VALUE_PROVED,41,0.0036154540400108,-0.0189029782594936
adaptive_boundary,resource_economy,2.0,low,ZERO_VALUE_PROVED,126,0.0038452633807608,-0.0186207123507937
adaptive_boundary,resource_economy,2.0,medium,ZERO_VALUE_PROVED,157,0.0106387303723551,-0.0170793258903296
adaptive_boundary,resource_economy,4.0,high,ZERO_VALUE_PROVED,147,0.0025898903011771,-0.060033562876244
adaptive_boundary,resource_economy,4.0,low,ZERO_VALUE_PROVED,74,0.0035829852380704,-0.0590511302459724
adaptive_boundary,resource_economy,4.0,medium,ZERO_VALUE_PROVED,435,0.0055687989791728,-0.0569696567596071
initial_lhs,balanced,2.0,high,ZERO_VALUE_PROVED,36,8.321769939811928e-10,
initial_lhs,balanced,2.0,low,ZERO_VALUE_PROVED,18,8.444169807830804e-10,
initial_lhs,balanced,2.0,medium,ZERO_VALUE_PROVED,31,4.961973054662393e-10,
initial_lhs,balanced,4.0,high,ZERO_VALUE_PROVED,27,3.959394589969634e-09,
initial_lhs,balanced,4.0,low,ZERO_VALUE_PROVED,33,6.325506340942866e-09,
initial_lhs,balanced,4.0,medium,ZERO_VALUE_PROVED,26,3.778779955609934e-09,
initial_lhs,regional_responsibility,2.0,high,ZERO_VALUE_PROVED,27,2.2304611491108517e-09,
initial_lhs,regional_responsibility,2.0,low,ZERO_VALUE_PROVED,30,1.6873737962441735e-09,
initial_lhs,regional_responsibility,2.0,medium,ZERO_VALUE_PROVED,28,1.4183341646489822e-05,-0.0230321269008197
initial_lhs,regional_responsibility,4.0,high,ZERO_VALUE_PROVED,27,6.415078246391204e-09,
initial_lhs,regional_responsibility,4.0,low,ZERO_VALUE_PROVED,29,8.504411397325384e-09,
initial_lhs,regional_responsibility,4.0,medium,ZERO_VALUE_PROVED,30,5.451706641679266e-09,
initial_lhs,resource_economy,2.0,high,ZERO_VALUE_PROVED,23,5.72466441042252e-05,-0.0228028993092266
initial_lhs,resource_economy,2.0,low,ZERO_VALUE_PROVED,32,0.0031913120022633,-0.022761168204699
initial_lhs,resource_economy,2.0,medium,ZERO_VALUE_PROVED,31,0.0019568934652589,-0.021485719638127
initial_lhs,resource_economy,4.0,high,ZERO_VALUE_PROVED,31,0.001317623248239,-0.0615279990108099
initial_lhs,resource_economy,4.0,low,ZERO_VALUE_PROVED,29,0.0006300273968609,-0.0623298477510871
initial_lhs,resource_economy,4.0,medium,ZERO_VALUE_PROVED,24,0.0031092051556704,-0.0596449006461057
