point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz,candidate_count,robust_cost,perfect_information_cost,perfect_information_value,heuristic_value,maximum_safe_probe_upper_value,maximum_exact_probe_value,region,selected_probe_id,no_probe_reason,registered_probe_count,safe_probe_count,evaluated_probe_count,all_safe_probes_evaluated,solver_attempts,solver_failures,elapsed_s
B1_LHS_0002,4.0,medium,0.0703088695558454,0.0064325784338934,0.004896966334854,0.2895409225958834,0.0005761032523548,0.6983701457566165,0.0350225169119724,resource_economy,50.0,8,12.086900446844236,12.085634719514479,0.0012657273297573823,0.017301220439807308,-0.061572112399129963,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,26.83605709997937
B1_LHS_0005,4.0,medium,0.0678339932051032,0.0242116044683122,0.0224111175718604,0.7251228601683771,0.0010961467314509,0.5298773060010021,0.037324289525719,resource_economy,50.0,8,11.589774929967653,11.586665724801358,0.0031092051662948705,0.027622652885406662,-0.059644900646105725,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,23.76216739998199
B1_LHS_0008,2.0,medium,0.0161836564257292,0.0139204794308513,0.0265110833563834,1.123579477584712,0.0015735632592384,0.4711625004982253,0.0321101564292212,resource_economy,50.0,8,1.785590586814355,1.78548329826749,0.0001072885468649254,0.06231071937478424,-0.021964839457364382,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,155.61533640002017
B1_LHS_0038,4.0,high,0.0667342246747723,0.0269112212629961,0.0151858259923454,0.5601375390608684,0.0008702278860451,0.6679238990760508,0.021602759112689,resource_economy,50.0,8,9.763463919099056,9.762184320611361,0.0012795984876952105,0.017405413403761283,-0.06156657679997046,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,22.392103999998653
B1_LHS_0044,2.0,high,0.066271508609403,0.0094619645975985,0.004075385288477,0.8887044168814272,0.0013864658953892,0.3368316273321168,0.0329696090852864,resource_economy,50.0,8,7.455634556353229,7.455577309708725,5.7246644503905486e-05,0.10350742880484022,-0.022802899309226632,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,186.89416609998443
B1_LHS_0047,2.0,low,0.0712915196832132,0.0272412028869898,0.0225306195426173,0.3910946068184231,0.0009017451505578,0.3993987631886835,0.0284428168568641,resource_economy,50.0,8,7.949907805985511,7.949867855986215,3.9949999296240435e-05,0.0454844575188842,-0.022823606390387496,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,169.7360280000139
B1_LHS_0050,4.0,high,0.0681530448145492,0.0143439293474881,0.0009979437055545,0.3986982248026565,0.0008910871678608,0.5384623844994735,0.0287132272602965,resource_economy,50.0,8,10.782476264237722,10.781158640986806,0.0013176232509160002,0.02266716961057895,-0.061527999010809964,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,20.832027099997504
B1_LHS_0065,4.0,high,0.0679390125907957,0.0341009786899619,0.0127908279632244,0.9700233162981148,0.0019116227911317,0.3875195064749471,0.0056788757882445,resource_economy,50.0,8,9.200848108255201,9.200369603780064,0.00047850447513653194,0.014617609452698369,-0.0622666217836354,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,26.545081300020684
B1_LHS_0068,4.0,medium,0.0659240591444793,0.0344507741986005,0.0268842659857478,0.582594560058792,0.0008456730070893,0.481741382465386,0.0309040079570335,resource_economy,50.0,8,10.345500095464091,10.343760976642074,0.0017391188220177156,0.018659742673816385,-0.06114795354841185,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,22.166700299974764
B1_LHS_0089,2.0,low,0.0723076361116363,0.0256039972825515,0.0237402792157075,0.7933045409734238,0.0007831213270217,0.6395558490683888,0.0390457868960276,resource_economy,50.0,8,9.256126641865993,9.252935321143685,0.0031913207223084328,0.11580650888654906,-0.02276116820469909,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,145.50661549999495
B1_LHS_0107,2.0,low,0.0740012770094777,0.0274198317370633,0.0139565941571542,0.5625217543174547,0.0007896943355179,0.4024756188013699,0.0080598890454321,resource_economy,50.0,8,7.187128738658349,7.1871279913162045,7.473421446135831e-07,0.04772585836230064,-0.022912311295288035,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,152.92597929999465
B1_LHS_0131,4.0,medium,0.0639432242276264,0.0156085414434133,0.0191662079381566,1.0550645971368384,0.0015258355071574,0.505034508149269,0.0153767811995712,resource_economy,50.0,8,8.571887488951765,8.570683209735993,0.0012042792157718196,0.008514031540944735,-0.06173382158291041,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,22.74887999999919
B1_LHS_0146,4.0,medium,0.073189995658362,0.0271790470649629,0.0001373845055944,1.2625211354345989,0.0017351140132731,0.4766771262022653,0.0065387885518362,resource_economy,50.0,8,10.827101389108472,10.82700717471597,9.421439250267838e-05,0.02770280804931337,-0.0627469000645906,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,26.35847289999947
B1_LHS_0158,2.0,medium,0.0151748354778334,0.0101690916821229,0.0071389008683106,0.916086749169631,0.0005517467840849,0.5637301883539741,0.0365778522836565,resource_economy,50.0,8,2.153118590219581,2.152777267755764,0.0003413224638166845,0.056961238462256085,-0.021485719638127065,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,146.11713719999534
B1_LHS_0182,4.0,medium,0.0700193158646771,0.0323425162658904,0.0126265380209559,0.3489872850545403,0.0017528560200852,0.699872166817936,0.007564957627848,resource_economy,50.0,8,9.887193217814236,9.887050783709736,0.00014243410450021088,0.019181847171601086,-0.06267977013193438,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,60,60,60,True,489,0,24.664849199994933
B1_LHS_0188,2.0,low,0.0657418743978626,0.0056617329005267,0.0160246298103856,0.6203738837121067,0.0017870134444479,0.5135824679694642,0.033968815457244,resource_economy,50.0,8,7.463712667868536,7.46368637843783,2.6289430706150085e-05,0.07558213856951189,-0.022842890958830964,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,148.68759269997827
B1_LHS_0227,2.0,medium,0.068998603036146,0.0228104831001386,0.0084825063660706,0.3172296685321653,0.0017577745314833,0.4451886434452404,0.0285330581754025,resource_economy,50.0,8,7.5272946200382425,7.527260919989007,3.370004923564096e-05,0.035164890583368524,-0.02283294783885914,nan,ZERO_VALUE_PROVED,,MAXIMUM_SAFE_PROBE_UPPER_VALUE_NONPOSITIVE,180,180,180,True,1449,0,165.97208210002282
