scenario_id,design_cell,seed,known_ood,period_s,duration_s,initial_soc,capability_change_time_s,load_event_time_s,load_magnitude_pu,load_area,true_power_pu,true_ramp_pu_per_s,true_delay_s,plant,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,native_network,native_converged,native_case,initialization_test_passed,maximum_initialization_residual,algebraic_power_balance_p99_pu,paired_execution,contract_action_max_abs_difference_pu,attempted_optimization_calls,solver_failure_calls,fallback_calls,probe_triggers,probe_active_calls,probe_command_l1_pu_s,maximum_solve_time_s,ordinary_controller_truth_read,evaluation_only_truth_read
B_NATIVE_ZERO_REGION_2S_KNOWN_7330,B_NATIVE_ZERO_REGION_2S_KNOWN,7330,known,2.0,300.0,0.5,100.0,150.0,0.035,both,0.065,0.04,0.6,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0648198984975811,0.6455909121421787,0.2431048638765099,0.0799875794405966,2.7833817655607254,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.4810020474154121e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,151,0,0,0,0,0.0,2.7238666000012017,False,False
B_NATIVE_ZERO_REGION_2S_KNOWN_7331,B_NATIVE_ZERO_REGION_2S_KNOWN,7331,known,2.0,300.0,0.5,108.0,156.0,0.037,area0,0.065,0.04,0.6,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0504878316893586,0.5236397533175489,0.2463545085172997,0.0871560172334323,2.0176200439445298,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.82579013313644e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,151,0,0,0,0,0.0,1.573037199999817,False,False
B_NATIVE_ZERO_REGION_2S_KNOWN_7332,B_NATIVE_ZERO_REGION_2S_KNOWN,7332,known,2.0,300.0,0.5,116.0,162.0,0.039,area1,0.065,0.04,0.6,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0481893226582052,0.8692641892386506,0.4219567971403054,0.0969261814659132,3.0160105275048603,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.3124667354591497e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,151,0,0,0,0,0.0,1.1393940999987535,False,False
B_NATIVE_ZERO_REGION_2S_KNOWN_7333,B_NATIVE_ZERO_REGION_2S_KNOWN,7333,known,2.0,300.0,0.5,100.0,168.0,0.041,both,0.065,0.04,0.6,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0758311036562808,0.6929434086666865,0.2534522687521927,0.0905448605825697,2.821942725765656,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.49759744802469e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,151,0,0,0,0,0.0,1.1801100000011502,False,False
B_NATIVE_ZERO_REGION_2S_KNOWN_7334,B_NATIVE_ZERO_REGION_2S_KNOWN,7334,known,2.0,300.0,0.5,108.0,150.0,0.043,area0,0.065,0.04,0.6,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0586043944424174,0.6009858366086462,0.2827863737919005,0.0998884274993294,2.454205905732866,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.8527811171398227e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,151,0,0,0,0,0.0,1.205234400000336,False,False
B_NATIVE_ZERO_REGION_2S_KNOWN_7335,B_NATIVE_ZERO_REGION_2S_KNOWN,7335,known,2.0,300.0,0.5,116.0,156.0,0.045,area1,0.065,0.04,0.6,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0555235993197855,1.030794831704479,0.5009693709738942,0.1115477053596013,3.7684620816419705,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.3678068206957051e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,151,0,0,0,0,0.0,1.226983199998358,False,False
B_NATIVE_ZERO_REGION_4S_OOD_7430,B_NATIVE_ZERO_REGION_4S_OOD,7430,ood,4.0,300.0,0.5,100.0,150.0,0.035,both,0.04,0.02,1.8,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0651125467900437,0.721556962427814,0.2638696573825995,0.0827892615099545,2.987425468078079,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.7691573963862772e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,76,0,0,0,0,0.0,0.6675348999997368,False,False
B_NATIVE_ZERO_REGION_4S_OOD_7431,B_NATIVE_ZERO_REGION_4S_OOD,7431,ood,4.0,300.0,0.5,108.0,156.0,0.037,area0,0.04,0.02,1.8,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0513849071426231,0.7050514522003183,0.3407927965566942,0.0808555144940907,2.071907332962858,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.94958688870539e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,76,0,0,0,0,0.0,0.6737052000025869,False,False
B_NATIVE_ZERO_REGION_4S_OOD_7432,B_NATIVE_ZERO_REGION_4S_OOD,7432,ood,4.0,300.0,0.5,116.0,162.0,0.039,area1,0.04,0.02,1.8,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0487721425460963,0.8106420906889747,0.3932351315273967,0.0768877140846193,2.169868245961502,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.649343396081797e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,76,0,0,0,0,0.0,0.6033164000000397,False,False
B_NATIVE_ZERO_REGION_4S_OOD_7433,B_NATIVE_ZERO_REGION_4S_OOD,7433,ood,4.0,300.0,0.5,100.0,168.0,0.041,both,0.04,0.02,1.8,B_native_ANDES_Kundur,selective_voi_accr_mpc,True,0.0774801667868363,0.8024538502256511,0.2895049804047272,0.0975624741355348,3.0399067747002744,True,False,False,True,True,kundur/kundur_vsc.xlsx,True,2.3092638912203256e-14,1.7173961941452358e-08,SHARED_IDENTICAL_NO_PROBE_TRAJECTORY,0.0,76,0,0,0,0,0.0,0.6489787999998953,False,False
