scenario_id,design_cell,seed,known_ood,period_s,duration_s,initial_soc,capability_change_time_s,load_event_time_s,load_magnitude_pu,load_area,true_power_pu,true_ramp_pu_per_s,true_delay_s
B_NATIVE_ZERO_REGION_2S_KNOWN_7330,B_NATIVE_ZERO_REGION_2S_KNOWN,7330,known,2.0,300.0,0.5,100.0,150.0,0.035,both,0.065,0.04,0.6
B_NATIVE_ZERO_REGION_2S_KNOWN_7331,B_NATIVE_ZERO_REGION_2S_KNOWN,7331,known,2.0,300.0,0.5,108.0,156.0,0.037000000000000005,area0,0.065,0.04,0.6
B_NATIVE_ZERO_REGION_2S_KNOWN_7332,B_NATIVE_ZERO_REGION_2S_KNOWN,7332,known,2.0,300.0,0.5,116.0,162.0,0.03900000000000001,area1,0.065,0.04,0.6
B_NATIVE_ZERO_REGION_2S_KNOWN_7333,B_NATIVE_ZERO_REGION_2S_KNOWN,7333,known,2.0,300.0,0.5,100.0,168.0,0.041,both,0.065,0.04,0.6
B_NATIVE_ZERO_REGION_2S_KNOWN_7334,B_NATIVE_ZERO_REGION_2S_KNOWN,7334,known,2.0,300.0,0.5,108.0,150.0,0.043000000000000003,area0,0.065,0.04,0.6
B_NATIVE_ZERO_REGION_2S_KNOWN_7335,B_NATIVE_ZERO_REGION_2S_KNOWN,7335,known,2.0,300.0,0.5,116.0,156.0,0.045000000000000005,area1,0.065,0.04,0.6
B_NATIVE_ZERO_REGION_4S_OOD_7430,B_NATIVE_ZERO_REGION_4S_OOD,7430,ood,4.0,300.0,0.5,100.0,150.0,0.035,both,0.04,0.02,1.8
B_NATIVE_ZERO_REGION_4S_OOD_7431,B_NATIVE_ZERO_REGION_4S_OOD,7431,ood,4.0,300.0,0.5,108.0,156.0,0.037000000000000005,area0,0.04,0.02,1.8
B_NATIVE_ZERO_REGION_4S_OOD_7432,B_NATIVE_ZERO_REGION_4S_OOD,7432,ood,4.0,300.0,0.5,116.0,162.0,0.03900000000000001,area1,0.04,0.02,1.8
B_NATIVE_ZERO_REGION_4S_OOD_7433,B_NATIVE_ZERO_REGION_4S_OOD,7433,ood,4.0,300.0,0.5,100.0,168.0,0.041,both,0.04,0.02,1.8
B_NATIVE_ZERO_REGION_4S_OOD_7434,B_NATIVE_ZERO_REGION_4S_OOD,7434,ood,4.0,300.0,0.5,108.0,150.0,0.043000000000000003,area0,0.04,0.02,1.8
B_NATIVE_ZERO_REGION_4S_OOD_7435,B_NATIVE_ZERO_REGION_4S_OOD,7435,ood,4.0,300.0,0.5,116.0,156.0,0.045000000000000005,area1,0.04,0.02,1.8
