point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz,candidate_count,robust_cost,perfect_information_cost,perfect_information_value,heuristic_value,maximum_safe_probe_upper_value,maximum_exact_probe_value,region,selected_probe_id,no_probe_reason,registered_probe_count,safe_probe_count,evaluated_probe_count,all_safe_probes_evaluated,solver_attempts,solver_failures,elapsed_s
B3F_0000,4.0,low,0.01687304322445774,0.017232915446474713,0.011748764028712218,0.07966283275919808,0.0010625466101259933,0.5027163253664105,0.014249151486406653,balanced,50.0,8,0.8903272797451276,0.8903272802587924,-5.136647773795744e-10,-0.006524588730750016,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0848347000137437
B3F_0001,4.0,low,0.03903502721597761,0.03148058245986437,0.01614696320009846,0.31211033183449943,0.001928795297692317,0.5616909898881046,0.02109843207599112,regional_responsibility,50.0,8,5.021440358116974,5.021440357324594,7.923803835296894e-10,-0.00036245747664220666,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.098197799990885
B3F_0002,2.0,medium,0.06434989297970345,0.02682043015077505,0.03431716129814444,0.33429225775690813,0.0017217791641806208,0.3612455612168854,0.030945091634733326,resource_economy,50.0,8,6.927101682682887,6.927101683487536,-8.04649680219427e-10,0.03684204892959176,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.2471840999787673
B3F_0003,4.0,medium,0.04935703906637557,0.027823788306693353,0.027930771639917796,0.2558424643079133,0.0008745504600039231,0.4978310098475469,0.018772239873647806,balanced,50.0,8,5.495492655867821,5.495492655459173,4.086482263687685e-10,-0.0026578219845891926,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0468470999912824
B3F_0004,4.0,high,0.07399876202887107,0.01846312108365696,0.026015326018155174,0.12108251723037845,0.0018506441259186633,0.6001346428519964,0.025513200671485298,regional_responsibility,50.0,8,15.644801042199644,15.64480104089758,1.3020642342098654e-09,-0.0032805922057623565,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0711805000028107
B3F_0005,4.0,high,0.01786375546121726,0.01444516045324011,0.009816890862614759,0.9749731729567631,0.0014627072625020803,0.5686854150551561,0.013979994865090327,resource_economy,50.0,8,0.9411817040067317,0.9411817041024843,-9.575251702642618e-11,-0.004653227763504621,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0636167000047863
B3F_0006,2.0,medium,0.06138756938187923,0.024072366438347557,0.01944555419669911,0.568528623770945,0.0015567991406583118,0.6916063856844541,0.017689421575985333,balanced,50.0,8,4.635129894008967,4.635129893577552,4.3141579197936153e-10,0.027357771324891554,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.312781000015093
B3F_0007,2.0,high,0.057773431319437095,0.02181145697970885,0.010071253167347227,0.7099437938184548,0.0017113509631267484,0.3986950735333773,0.03839791581183901,regional_responsibility,50.0,8,7.9580599172232676,7.958059922645655,-5.422387872044965e-09,0.07090059530563139,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.491779400006635
B3F_0008,2.0,low,0.04360261925200721,0.0057028545874908505,0.029280674340056344,0.17463829267720374,0.0012758634270876325,0.32824614365943283,0.0351345231964633,resource_economy,50.0,8,4.345205271941376,4.345205272950294,-1.00891828225258e-09,0.013008137670112732,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.4639577999769244
B3F_0009,2.0,medium,0.07111255899463445,0.02464470600647297,0.03327199401620935,0.007253216516598923,0.0009863801106191515,0.5907923033732734,0.028494201438818013,balanced,50.0,8,6.839766144653712,6.839766150087416,-5.433704153290364e-09,-0.004186142526072375,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.5692217999894638
B3F_0010,4.0,high,0.04072221563696121,0.0022300692104637904,0.012552881166574955,0.37278288832021717,0.0008826500879089356,0.45429503780700575,0.0149825376721171,regional_responsibility,50.0,8,4.810789338411827,4.810789338354026,5.780087519724475e-11,0.0007686566886303276,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0987663999840152
B3F_0011,2.0,high,0.016017003870545225,0.014773055003385018,0.006195367607084495,0.7624258619684552,0.0005512559825138891,0.6295924575805703,0.009168964607495915,resource_economy,50.0,8,0.46630825020990024,0.4663082807887753,-3.057887504320789e-08,0.01497350176218891,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.277415100019425
B3F_0012,2.0,medium,0.03484183782585653,0.02350005392681117,0.03456428981677452,0.7895638703921599,0.0007962762898739628,0.5305358179660459,0.03076516512719451,balanced,50.0,8,2.7318801168869324,2.731880117195955,-3.09022585298635e-10,0.028905575157497195,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.3178751000086777
B3F_0013,2.0,high,0.04615747593552792,0.0013193624707774395,0.033368000724730035,0.06837306462592149,0.001658172887429508,0.5851757882617987,0.027024365128424623,regional_responsibility,50.0,8,4.60935546602045,4.609355465225104,7.953460112730681e-10,0.00046655150966631257,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.3395575000031386
B3F_0014,2.0,medium,0.039456055024796134,0.010918254981732413,0.017129317792472464,0.21386980834256322,0.0013852263330566775,0.4782705156627436,0.021830432588319543,resource_economy,50.0,8,2.7796772039248205,2.779677204804359,-8.795386641224923e-10,0.011274591994756177,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.5641222999838647
B3F_0015,4.0,high,0.033244992638759865,0.01810585333578144,0.03114617418305485,1.1333742543664094,0.0013155967741965476,0.3581896819056702,0.004362190546171235,balanced,50.0,8,2.2215482371885416,2.221548237126938,6.160361110119084e-11,0.0029973182206906434,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.7101916999963578
B3F_0016,2.0,high,0.04210527269861417,0.03372205354892928,0.01581957043436186,0.8543177072144,0.0008618200842327346,0.5123802073015788,0.013414142747118699,regional_responsibility,50.0,8,2.8538828956428506,2.8538828977762285,-2.13337791876711e-09,0.0397610827222659,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.445309000002453
B3F_0017,2.0,medium,0.021627502334425383,0.0003502135766219695,0.005628536455176569,0.14057685168462666,0.0013964598740797514,0.3512422192059046,0.00478748993951051,resource_economy,50.0,8,0.6460657111304813,0.6460657150423194,-3.911838075687513e-09,0.000850357530456669,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.6006993999762926
