metric,analysis,penalty_multiplier,resamples,absolute_difference_lower,absolute_difference_median,absolute_difference_upper,relative_improvement_lower,relative_improvement_median,relative_improvement_upper
frequency_peak_hz,both_success,,3000,-0.0019301525070485358,0.0005321218681476753,0.0027511310379419525,-0.007735671962992813,0.0021918831994035557,0.010955527719936676
frequency_peak_hz,failure_aware,1.5,3000,-0.045678379210312425,-0.011783189695346391,0.0012203977263408438,-0.12865671809990545,-0.03546061434757177,0.004215323183377364
frequency_peak_hz,failure_aware,2.0,3000,-0.06504322539030695,-0.01800802911823185,0.0011129002225805588,-0.1637322862257553,-0.046965202647595905,0.0035151593861847603
frequency_peak_hz,failure_aware,3.0,3000,-0.11190839331797892,-0.027940995876680974,0.0011449070654561261,-0.23382055496995277,-0.06145187165670439,0.0030024406000304254
ace_iae_pu_s,both_success,,3000,-0.08115933803131713,0.06157507536606288,0.22634755760312286,-0.04586615631786532,0.032616974069085355,0.11107060450028053
ace_iae_pu_s,failure_aware,1.5,3000,-0.18689896023017266,0.013131976596707728,0.19955548497380246,-0.07483110068542077,0.005267769328543738,0.08544832680877729
ace_iae_pu_s,failure_aware,2.0,3000,-0.29661061001225847,-0.025395812787878835,0.1901137968342954,-0.09891688532198777,-0.009321056097915621,0.0761880485801833
ace_iae_pu_s,failure_aware,3.0,3000,-0.5702398421344667,-0.09139195441687598,0.18257067656161213,-0.15800311663090605,-0.02678716326980783,0.0653096647213467
tie_rms_pu,both_success,,3000,-0.0004897920861706729,-0.0003046007137884612,-0.00011156550356370913,-0.14749308902764557,-0.09072258695874083,-0.03370629029861018
tie_rms_pu,failure_aware,1.5,3000,-0.0008507307981642089,-0.00041219501458911005,-0.0001394579028725447,-0.16897125119178674,-0.08472646699687966,-0.029357270155338074
tie_rms_pu,failure_aware,2.0,3000,-0.0011889936762100306,-0.0004928420245628004,-0.00014586700760970837,-0.19806703494602004,-0.08981166985177216,-0.028048991985893994
tie_rms_pu,failure_aware,3.0,3000,-0.0016875816286807455,-0.0006361740300236196,-0.00014251816505652398,-0.23802444165843253,-0.09481048815386972,-0.024288015236475405
