scenario_id,method,plant,mechanism,sg_tension,period_s,condition,registered_domain,evaluation_status,capability_change_time_s,physical_success,fallback_calls,surplus_active_calls,controller_calls,excited_calls,excitation_fraction,request_span_pu,maximum_request_pu,reconstruction_scope
R5-CV-00,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,contract_violation,BRIDGE,CONTRACT_VIOLATION_OUTSIDE_GUARANTEE_DOMAIN,128.18582832854375,False,0,0,151,93,0.6158940397350994,0.04854072491044551,0.04847563562167092,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-CV-01,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,contract_violation,BRIDGE,CONTRACT_VIOLATION_OUTSIDE_GUARANTEE_DOMAIN,107.92061322714468,False,0,0,76,51,0.6710526315789473,0.0586457825098619,0.05856663775193539,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-CV-02,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,contract_violation,BRIDGE,CONTRACT_VIOLATION_OUTSIDE_GUARANTEE_DOMAIN,102.28315660391902,False,0,0,151,75,0.4966887417218543,0.04572414301812732,0.04564856921389052,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-CV-03,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,contract_violation,BRIDGE,CONTRACT_VIOLATION_OUTSIDE_GUARANTEE_DOMAIN,109.88242025987206,False,0,0,76,52,0.6842105263157895,0.04708318978417393,0.04702295779416526,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-CV-04,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,contract_violation,BRIDGE,CONTRACT_VIOLATION_OUTSIDE_GUARANTEE_DOMAIN,115.37044542225577,False,0,0,151,100,0.6622516556291391,0.06456087292541166,0.06450005989548725,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-CV-05,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,contract_violation,BRIDGE,CONTRACT_VIOLATION_OUTSIDE_GUARANTEE_DOMAIN,131.94030676662945,False,0,0,76,46,0.6052631578947368,0.05651647262377825,0.056434913794601,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-N-00,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,known,SUSTAINABLE,EVALUATED,1100.0,True,0,0,900,0,0.0,0.010579347216853954,0.0059024939354386475,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-N-01,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,known,SUSTAINABLE,EVALUATED,1200.0,True,0,0,900,0,0.0,0.010042434291913545,0.006178999000706933,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-N-02,dcsv_cr_mpc,A_full_nonlinear,delay_increase,low,4.0,known,SUSTAINABLE,EVALUATED,1300.0,False,322,0,900,517,0.5744444444444444,0.2628888702053396,0.1427811390068182,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-N-03,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,1400.0,True,0,0,900,0,0.0,0.010144971236691981,0.00587899115630024,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-N-04,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,1500.0,True,0,0,901,0,0.0,0.008902352314437416,0.005678704975748046,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-N-05,dcsv_cr_mpc,A_full_nonlinear,delay_increase,low,4.0,OOD,SUSTAINABLE,EVALUATED,1600.0,True,0,0,901,0,0.0,0.010690977639006876,0.0067100285522696266,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-000,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,116.11880766869447,False,0,0,151,96,0.6357615894039735,0.04728071367063018,0.04728071367063018,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-001,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,116.73073734527952,False,0,0,151,91,0.6026490066225165,0.04614844532015848,0.04614844532015848,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-002,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,known,SUSTAINABLE,EVALUATED,116.73070052120435,True,0,0,151,0,0.0,0.03941048602914818,0.039360575901484944,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-003,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,107.88040909907201,False,0,0,151,96,0.6357615894039735,0.1105300449364403,0.11046172892346773,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-004,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,OOD,SUSTAINABLE,EVALUATED,107.79580504953525,True,0,0,151,0,0.0,0.04379042730423134,0.03941322047852189,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-005,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,OOD,BRIDGE,EVALUATED,104.98481475373472,False,0,0,151,102,0.6754966887417219,0.048900217096978255,0.048804313330439816,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-006,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,OOD,SUSTAINABLE,EVALUATED,131.79961529917563,True,0,0,151,0,0.0,0.038778228429750795,0.038673033915056276,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-007,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,OOD,SUSTAINABLE,EVALUATED,125.97497453915419,True,0,0,150,0,0.0,0.042426551970122135,0.039356936572032514,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-008,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,101.09365993973013,False,0,0,151,94,0.6225165562913907,0.05089147590381721,0.05089147590381721,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-009,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,2.0,known,SUSTAINABLE,EVALUATED,120.71822714566558,True,0,0,150,0,0.0,0.025169626792170576,0.025035169484840025,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-010,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,101.3605626083555,True,0,0,76,0,0.0,0.011651597747405807,0.011588403435152618,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-011,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,known,BRIDGE,EVALUATED,100.71547150914918,False,0,0,76,54,0.7105263157894737,0.05157189314010023,0.051485231145636974,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-012,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,known,SUSTAINABLE,EVALUATED,106.75994442798451,True,0,0,76,0,0.0,0.01165484590842372,0.0115790742203597,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-013,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,117.28977870481847,True,0,0,76,37,0.4868421052631579,0.04501419486445892,0.04501419486445892,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-014,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,117.62424049110037,False,6,0,76,49,0.6447368421052632,0.19534682767004294,0.19529202645199062,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-015,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,known,BRIDGE,EVALUATED,131.64718038354405,True,0,0,76,0,0.0,0.032858332115618415,0.032804654617996004,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-016,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,known,SUSTAINABLE,EVALUATED,130.74142372869045,True,0,0,75,0,0.0,0.035002922827029236,0.03493330653890975,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-017,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,101.98863347664336,False,0,0,75,49,0.6533333333333333,0.050595878560776936,0.050595878560776936,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-018,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,108.52283922710981,True,0,0,76,33,0.4342105263157895,0.04501183058008677,0.04501183058008677,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-019,dcsv_cr_mpc,A_full_nonlinear,power_drop,low,4.0,known,BRIDGE,EVALUATED,109.47222100384495,True,0,0,76,39,0.5131578947368421,0.046289884455822196,0.04528851085331964,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-020,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,OOD,SUSTAINABLE,EVALUATED,114.7625903876075,True,0,0,151,0,0.0,0.03316488788677549,0.029710492305629048,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-021,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,OOD,SUSTAINABLE,EVALUATED,130.37134299324646,True,0,0,151,51,0.33774834437086093,0.052839726521981975,0.04501015432840452,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-022,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,known,BRIDGE,EVALUATED,131.8566912338356,True,0,0,151,91,0.6026490066225165,0.047563762289072734,0.04749795108135021,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-023,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,130.16740655109135,False,0,0,151,0,0.0,0.04070618873313224,0.03414839155676886,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-024,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,known,SUSTAINABLE,EVALUATED,132.76080323669632,True,0,0,151,0,0.0,0.033243280528479115,0.029212203187925875,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
