root_cause,plant,mechanism,sg_tension,period_s,domain,fallback_calls,fraction_of_all_fallback
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,high,2.0,BRIDGE,104,0.10186092066601371
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,high,2.0,SUSTAINABLE,150,0.14691478942213515
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,high,4.0,BRIDGE,58,0.05680705190989226
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,high,4.0,SUSTAINABLE,49,0.047992164544564155
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,low,2.0,BRIDGE,112,0.10969637610186092
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,low,2.0,SUSTAINABLE,106,0.10381978452497552
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,low,4.0,BRIDGE,68,0.06660137120470128
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,delay_increase,low,4.0,SUSTAINABLE,354,0.346718903036239
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,power_drop,high,2.0,BRIDGE,4,0.0039177277179236044
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,power_drop,high,2.0,SUSTAINABLE,1,0.0009794319294809011
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,power_drop,high,4.0,BRIDGE,5,0.004897159647404506
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,power_drop,low,4.0,BRIDGE,5,0.004897159647404506
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,power_drop,low,4.0,SUSTAINABLE,1,0.0009794319294809011
PRIMARY_AND_RESTORATION_MATHEMATICAL_INFEASIBILITY,A_full_nonlinear,ramp_drop,high,2.0,BRIDGE,4,0.0039177277179236044
