scope,calls,active_calls,active_fraction,mean_surplus_norm_pu,active_mean_surplus_norm_pu,maximum_surplus_norm_pu,active_duration_s,performance_envelope_used_fraction
ALL,22392,2,8.931761343336905e-05,1.0168171303680672e-06,0.011384283789535769,0.02160162780373773,6.0,8.931761343336905e-05
A_full_nonlinear|delay_increase|high|2.0|OOD|BRIDGE,301,0,0.0,8.803315677395049e-15,0.0,4.4056341764916927e-13,0.0,0.0
A_full_nonlinear|delay_increase|high|2.0|OOD|PHYSICALLY_INFEASIBLE,151,0,0.0,2.0229400405193197e-16,0.0,6.283598978110911e-15,0.0,0.0
A_full_nonlinear|delay_increase|high|2.0|OOD|SUSTAINABLE,302,0,0.0,2.4047174967592972e-14,0.0,4.091273641884428e-12,0.0,0.0
A_full_nonlinear|delay_increase|high|2.0|known|PHYSICALLY_INFEASIBLE,301,0,0.0,2.1003648634363717e-14,0.0,4.84283567625595e-12,0.0,0.0
A_full_nonlinear|delay_increase|high|2.0|known|SUSTAINABLE,452,0,0.0,1.1424245718888072e-13,0.0,2.556889434161173e-11,0.0,0.0
A_full_nonlinear|delay_increase|high|4.0|OOD|BRIDGE,75,0,0.0,2.3635367576356914e-13,0.0,5.4927091313502755e-12,0.0,0.0
A_full_nonlinear|delay_increase|high|4.0|OOD|PHYSICALLY_INFEASIBLE,76,0,0.0,1.8942131746858487e-14,0.0,1.0711533985345727e-12,0.0,0.0
A_full_nonlinear|delay_increase|high|4.0|OOD|SUSTAINABLE,226,0,0.0,8.463035741693453e-13,0.0,8.800005121446719e-11,0.0,0.0
A_full_nonlinear|delay_increase|high|4.0|known|BRIDGE,76,0,0.0,1.4939236527574145e-12,0.0,8.789682798639644e-11,0.0,0.0
A_full_nonlinear|delay_increase|high|4.0|known|PHYSICALLY_INFEASIBLE,152,0,0.0,1.539877611982678e-13,0.0,1.1007599166717674e-11,0.0,0.0
A_full_nonlinear|delay_increase|high|4.0|known|SUSTAINABLE,152,0,0.0,1.1203531988125072e-13,0.0,5.954967679315083e-12,0.0,0.0
A_full_nonlinear|delay_increase|low|2.0|OOD|BRIDGE,151,0,0.0,1.0406607311587187e-14,0.0,4.882276699586543e-13,0.0,0.0
A_full_nonlinear|delay_increase|low|2.0|OOD|PHYSICALLY_INFEASIBLE,151,0,0.0,6.035495380991607e-14,0.0,8.785791526594464e-12,0.0,0.0
A_full_nonlinear|delay_increase|low|2.0|OOD|SUSTAINABLE,452,0,0.0,5.178648763311509e-15,0.0,4.1568549908865603e-13,0.0,0.0
A_full_nonlinear|delay_increase|low|2.0|known|PHYSICALLY_INFEASIBLE,452,1,0.0022123893805309734,4.779121203880161e-05,0.02160162780373773,0.02160162780373773,2.0,0.0022123893805309734
A_full_nonlinear|delay_increase|low|2.0|known|SUSTAINABLE,302,0,0.0,3.351353608026184e-14,0.0,5.9285996480085984e-12,0.0,0.0
A_full_nonlinear|delay_increase|low|4.0|OOD|BRIDGE,152,0,0.0,6.170286786868308e-13,0.0,6.019965644857137e-11,0.0,0.0
A_full_nonlinear|delay_increase|low|4.0|OOD|SUSTAINABLE,1128,0,0.0,8.452956845474282e-14,0.0,6.56376558459316e-11,0.0,0.0
A_full_nonlinear|delay_increase|low|4.0|known|BRIDGE,76,0,0.0,4.0473622831407675e-13,0.0,1.081450646521754e-11,0.0,0.0
A_full_nonlinear|delay_increase|low|4.0|known|PHYSICALLY_INFEASIBLE,152,0,0.0,3.1085405001591313e-13,0.0,3.6737256128712457e-11,0.0,0.0
A_full_nonlinear|delay_increase|low|4.0|known|SUSTAINABLE,1051,0,0.0,3.201649617799129e-13,0.0,7.533092570467236e-11,0.0,0.0
A_full_nonlinear|power_drop|high|2.0|OOD|PHYSICALLY_INFEASIBLE,302,0,0.0,1.174527611767224e-15,0.0,1.0011208329792154e-14,0.0,0.0
