metric,analysis,penalty_multiplier,resamples,absolute_difference_lower,absolute_difference_median,absolute_difference_upper,relative_improvement_lower,relative_improvement_median,relative_improvement_upper
frequency_peak_hz,both_success,,3000,-0.0003945889020530259,0.0013221012369966367,0.003311448627271336,-0.0017578049810681798,0.0060187932192013625,0.014016042696049906
frequency_peak_hz,failure_aware,1.5,3000,-0.08284726779654492,-0.03224215466658037,-0.0008326961702402539,-0.25548041863362064,-0.10645491362179174,-0.003687942658573263
frequency_peak_hz,failure_aware,2.0,3000,-0.12311187346898897,-0.05065020751015903,-0.000348146404379089,-0.3545172658011209,-0.14796394496726475,-0.001500224987037039
frequency_peak_hz,failure_aware,3.0,3000,-0.2108899500735126,-0.08852974892891671,0.00045588531244316753,-0.4869566331292366,-0.21264046343270962,0.0016882011560054595
ace_iae_pu_s,both_success,,3000,-0.0917334067555527,0.04504421101135936,0.1903019611129948,-0.05647248945280246,0.02598494439164529,0.1044202338812507
ace_iae_pu_s,failure_aware,1.5,3000,-0.4644978287173346,-0.11456048167558441,0.1270046502491997,-0.20097269194066622,-0.05307228456859188,0.06116433626009246
ace_iae_pu_s,failure_aware,2.0,3000,-0.7121461671752034,-0.2282613817849588,0.1194878243176589,-0.2801008504358937,-0.09273167465863524,0.05301775449584435
ace_iae_pu_s,failure_aware,3.0,3000,-1.1864761940442208,-0.4382330857070609,0.079400413593342,-0.3944799562408017,-0.15225065797022452,0.03539810999782481
tie_rms_pu,both_success,,3000,-0.0005416333332507423,-0.00031172819856450495,-0.00010402543129048155,-0.16686980961636166,-0.10124834978524858,-0.03532622411073344
tie_rms_pu,failure_aware,1.5,3000,-0.0015420281054774753,-0.0007543408334397689,-0.0002394212300246023,-0.34811656222578463,-0.1784227839648635,-0.06002761291934943
tie_rms_pu,failure_aware,2.0,3000,-0.0021030788416178813,-0.0009859501967436194,-0.0002796043129176027,-0.4297480913926212,-0.21219024330270753,-0.0646033210737473
tie_rms_pu,failure_aware,3.0,3000,-0.0032212706550363845,-0.0014688157245272902,-0.000316268350360507,-0.5610627315241052,-0.2599920608315707,-0.06922547286413296
