dataset_kind,scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation,operating_point,profile_provenance
plant_a_primary,C2-F-A-000,confirmatory_final,100,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,before,area1,1,known,104.9589630116126,92.63621663040625,186.95896301161258,0.35,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-001,confirmatory_final,106,A_full_nonlinear,power_drop,low,2.0,300.0,infeasible,after,area0,-1,known,134.30629020782658,155.918726472994,,0.65,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-002,confirmatory_final,112,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,simultaneous,area0,1,OOD,119.32268069647364,119.32268069647364,201.32268069647364,0.5,0.0002,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-003,confirmatory_final,118,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,after,both,1,known,104.51186994552954,114.68890528161168,,0.5,0.0002,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-004,confirmatory_final,124,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,before,both,1,OOD,118.45743289064578,106.11127994597781,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-005,confirmatory_final,130,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,before,area1,-1,OOD,101.3585588005506,82.44378089968188,,0.65,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-006,confirmatory_final,136,A_full_nonlinear,power_drop,low,2.0,300.0,infeasible,after,area0,1,OOD,128.49773013069793,146.86634586065895,,0.35,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-007,confirmatory_final,142,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,simultaneous,both,1,OOD,119.56742500286943,119.56742500286943,,0.5,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-008,confirmatory_final,148,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,before,area0,1,known,101.50312743029161,89.54684027407545,,0.35,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-009,confirmatory_final,154,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,simultaneous,area1,-1,known,127.91132285650559,127.91132285650559,,0.65,0.0002,0.01,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-010,confirmatory_final,101,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,before,area0,1,known,133.1078261435186,114.87839455694794,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
plant_a_primary,C2-F-A-011,confirmatory_final,107,A_full_nonlinear,power_drop,low,4.0,300.0,bridge,after,area0,1,OOD,132.87875964317362,148.0753923885905,,0.5,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False,,
