metric,analysis,penalty_multiplier,paired_scenarios,design_cells,scenario_balanced_proposed_mean,scenario_balanced_baseline_mean,paired_absolute_difference,aggregate_mean_relative_improvement,diagnostic_only_mean_episode_relative_ratio,primary_metric
frequency_peak_hz,both_success,,84,24,0.22309385732740114,0.22444460303078761,0.0013507457033864745,0.006018169673704247,0.008249526215299605,True
frequency_peak_hz,failure_aware,1.5,107,24,0.3379485002873313,0.3032838577630574,-0.034664642524273925,-0.11429768395835929,-0.16218765180654313,False
frequency_peak_hz,failure_aware,2.0,107,24,0.3933483754374642,0.339303923107924,-0.054044452329540194,-0.15928036385347075,-0.24333107531241627,False
frequency_peak_hz,failure_aware,3.0,107,24,0.5041481257377298,0.41134405379765715,-0.09280407194007267,-0.22561179889019037,-0.40561792232416244,False
ace_iae_pu_s,both_success,,84,24,1.6793352281133167,1.725502087512367,0.0461668593990503,0.02675560912569421,-0.016515806140506628,True
ace_iae_pu_s,failure_aware,1.5,107,24,2.362352334119255,2.232665359790795,-0.1296869743284601,-0.058086167620127374,-0.26412795613379386,False
ace_iae_pu_s,failure_aware,2.0,107,24,2.6854761238078395,2.4427550032696366,-0.24272112053820294,-0.09936367757442717,-0.37277083336280764,False
ace_iae_pu_s,failure_aware,3.0,107,24,3.331723703185007,2.8629342902273187,-0.46878941295768817,-0.16374438440934877,-0.5900565878208349,False
tie_rms_pu,both_success,,84,24,0.0034163222360710835,0.003103988588442755,-0.0003123336476283287,-0.10062332342047169,-0.12964811787106942,True
tie_rms_pu,failure_aware,1.5,107,24,0.005045634365647478,0.004244790904822633,-0.0008008434608248452,-0.18866499641124448,-0.4869942688122792,False
tie_rms_pu,failure_aware,2.0,107,24,0.0057467935668978065,0.0047006728030714725,-0.001046120763826334,-0.22254702840469706,-0.6403211998457498,False
tie_rms_pu,failure_aware,3.0,107,24,0.007149111969398464,0.005612436599569152,-0.0015366753698293116,-0.27379825902127375,-0.946975061912691,False
