scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
C2-F-A-000,confirmatory_final,100,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,before,area1,1,known,104.9589630116126,92.63621663040625,186.95896301161258,0.35,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-001,confirmatory_final,106,A_full_nonlinear,power_drop,low,2.0,300.0,infeasible,after,area0,-1,known,134.30629020782658,155.918726472994,,0.65,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-002,confirmatory_final,112,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,simultaneous,area0,1,OOD,119.32268069647364,119.32268069647364,201.32268069647364,0.5,0.0002,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-003,confirmatory_final,118,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,after,both,1,known,104.51186994552954,114.68890528161168,,0.5,0.0002,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-004,confirmatory_final,124,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,before,both,1,OOD,118.45743289064578,106.11127994597781,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-005,confirmatory_final,130,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,before,area1,-1,OOD,101.3585588005506,82.44378089968188,,0.65,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-006,confirmatory_final,136,A_full_nonlinear,power_drop,low,2.0,300.0,infeasible,after,area0,1,OOD,128.49773013069793,146.86634586065895,,0.35,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-007,confirmatory_final,142,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,simultaneous,both,1,OOD,119.56742500286943,119.56742500286943,,0.5,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-008,confirmatory_final,148,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,before,area0,1,known,101.50312743029161,89.54684027407545,,0.35,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-009,confirmatory_final,154,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,simultaneous,area1,-1,known,127.91132285650559,127.91132285650559,,0.65,0.0002,0.01,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-010,confirmatory_final,101,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,before,area0,1,known,133.1078261435186,114.87839455694794,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-011,confirmatory_final,107,A_full_nonlinear,power_drop,low,4.0,300.0,bridge,after,area0,1,OOD,132.87875964317362,148.0753923885905,,0.5,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-012,confirmatory_final,113,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,before,area0,1,OOD,106.4294316047179,91.38268691066142,,0.5,0.0002,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-013,confirmatory_final,119,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,after,area1,-1,OOD,107.2334784328291,119.37303497032774,,0.5,0.0001,0.02,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-014,confirmatory_final,125,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,simultaneous,both,1,known,134.3592416205547,134.3592416205547,,0.35,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-015,confirmatory_final,131,A_full_nonlinear,power_drop,low,4.0,300.0,infeasible,simultaneous,both,-1,OOD,111.29067888050226,111.29067888050226,,0.65,0.0,0.02,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-016,confirmatory_final,137,A_full_nonlinear,power_drop,low,4.0,300.0,infeasible,before,area1,1,known,118.3012315545817,96.6307284657916,,0.35,0.0002,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-017,confirmatory_final,143,A_full_nonlinear,power_drop,low,4.0,300.0,bridge,before,area1,-1,known,102.21870132581526,91.89198188787228,184.21870132581526,0.35,0.0001,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-018,confirmatory_final,149,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,simultaneous,area0,1,known,115.21000152939712,115.21000152939712,197.21000152939712,0.65,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-019,confirmatory_final,155,A_full_nonlinear,power_drop,low,4.0,300.0,bridge,after,both,1,OOD,115.42284999905847,137.26660401491063,,0.65,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-020,confirmatory_final,102,A_full_nonlinear,power_drop,high,2.0,300.0,bridge,after,area0,1,known,129.7832753421416,141.63763815259264,211.7832753421416,0.65,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-021,confirmatory_final,108,A_full_nonlinear,power_drop,high,2.0,300.0,bridge,after,area1,-1,known,122.74961717028509,142.76179947747758,204.7496171702851,0.5,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
