scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
C2-F-A-000,confirmatory_final,100,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,before,area1,1,known,104.9589630116126,92.63621663040625,186.95896301161258,0.35,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-001,confirmatory_final,106,A_full_nonlinear,power_drop,low,2.0,300.0,infeasible,after,area0,-1,known,134.30629020782658,155.918726472994,,0.65,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-010,confirmatory_final,101,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,before,area0,1,known,133.1078261435186,114.87839455694794,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-011,confirmatory_final,107,A_full_nonlinear,power_drop,low,4.0,300.0,bridge,after,area0,1,OOD,132.87875964317362,148.0753923885905,,0.5,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-020,confirmatory_final,102,A_full_nonlinear,power_drop,high,2.0,300.0,bridge,after,area0,1,known,129.7832753421416,141.63763815259264,211.7832753421416,0.65,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-021,confirmatory_final,108,A_full_nonlinear,power_drop,high,2.0,300.0,bridge,after,area1,-1,known,122.74961717028509,142.76179947747758,204.7496171702851,0.5,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-030,confirmatory_final,103,A_full_nonlinear,power_drop,high,4.0,300.0,sustainable,after,area0,1,known,132.1170999989288,149.92027428725459,,0.5,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-031,confirmatory_final,109,A_full_nonlinear,power_drop,high,4.0,300.0,infeasible,before,area1,1,OOD,105.37119813990637,92.98464872446652,,0.35,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-040,confirmatory_final,104,A_full_nonlinear,ramp_drop,low,2.0,300.0,sustainable,before,both,1,known,119.29900354490465,100.4490414810582,,0.65,0.0002,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-041,confirmatory_final,110,A_full_nonlinear,ramp_drop,low,2.0,300.0,bridge,after,area1,-1,known,132.1153755746882,148.4603591810796,214.1153755746882,0.5,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-050,confirmatory_final,105,A_full_nonlinear,ramp_drop,low,4.0,300.0,sustainable,before,both,1,known,131.56280425144746,113.24963421274096,,0.35,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-051,confirmatory_final,111,A_full_nonlinear,ramp_drop,low,4.0,300.0,bridge,before,area1,-1,known,119.37497547913114,103.31302087827348,,0.65,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-060,confirmatory_final,100,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,after,area1,-1,OOD,134.76994425522284,144.998761544348,,0.65,0.0,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-061,confirmatory_final,106,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,simultaneous,both,-1,OOD,129.830159783885,129.830159783885,211.830159783885,0.5,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-070,confirmatory_final,101,A_full_nonlinear,ramp_drop,high,4.0,300.0,bridge,before,both,1,OOD,112.70632510636146,93.83141319846658,,0.65,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-071,confirmatory_final,107,A_full_nonlinear,ramp_drop,high,4.0,300.0,sustainable,after,both,-1,known,133.39142335278683,145.7570725701105,215.39142335278683,0.5,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-080,confirmatory_final,102,A_full_nonlinear,delay_increase,low,2.0,300.0,infeasible,after,area1,1,OOD,113.60405566965106,129.2261367300444,,0.35,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-081,confirmatory_final,108,A_full_nonlinear,delay_increase,low,2.0,300.0,infeasible,simultaneous,area1,-1,known,127.0911062928252,127.0911062928252,,0.65,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-090,confirmatory_final,103,A_full_nonlinear,delay_increase,low,4.0,300.0,bridge,before,area1,1,known,130.28897412510705,111.96395066755775,,0.5,0.0002,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-091,confirmatory_final,109,A_full_nonlinear,delay_increase,low,4.0,300.0,sustainable,after,area0,1,known,112.80958385418295,127.80329696875518,,0.65,0.0002,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-100,confirmatory_final,104,A_full_nonlinear,delay_increase,high,2.0,300.0,bridge,before,both,1,known,129.94012905868152,113.67152853654335,,0.65,0.0002,0.02,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-101,confirmatory_final,110,A_full_nonlinear,delay_increase,high,2.0,300.0,bridge,after,area0,1,known,105.28327789361641,118.21600154992768,,0.35,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
