scenario_id,split,seed,plant,mechanism,sg_tension,operating_point,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
C2-F-B-000,confirmatory_final,100,B_native_ANDES_Kundur,power_drop,base,base,2.0,300.0,sustainable,before,area0,-1,known,121.1861107473978,107.1861107473978,,0.4,0.00015,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-001,confirmatory_final,101,B_native_ANDES_Kundur,power_drop,stressed,stressed,4.0,300.0,sustainable,after,area1,1,known,116.6028913101769,130.60289131017691,,0.6,0.00015,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-002,confirmatory_final,102,B_native_ANDES_Kundur,power_drop,stressed,stressed,4.0,300.0,sustainable,simultaneous,area0,1,known,120.70175737995406,120.70175737995406,,0.4,0.00015,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-003,confirmatory_final,103,B_native_ANDES_Kundur,power_drop,base,base,2.0,300.0,sustainable,before,both,1,OOD,100.86355184356641,86.86355184356641,,0.6,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-004,confirmatory_final,104,B_native_ANDES_Kundur,power_drop,base,base,2.0,300.0,sustainable,after,area1,-1,OOD,115.36041698165471,129.3604169816547,,0.5,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-005,confirmatory_final,105,B_native_ANDES_Kundur,power_drop,base,base,4.0,300.0,sustainable,simultaneous,area1,-1,OOD,119.50078194434975,119.50078194434975,,0.4,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-006,confirmatory_final,106,B_native_ANDES_Kundur,power_drop,stressed,stressed,2.0,300.0,sustainable,before,area0,1,known,115.25430543810042,101.25430543810042,,0.5,0.00015,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-007,confirmatory_final,107,B_native_ANDES_Kundur,power_drop,stressed,stressed,4.0,300.0,sustainable,after,both,1,OOD,128.78242865273205,142.78242865273205,,0.4,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-008,confirmatory_final,108,B_native_ANDES_Kundur,ramp_drop,stressed,stressed,2.0,300.0,sustainable,before,both,-1,OOD,109.23342849000251,95.23342849000251,,0.4,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-009,confirmatory_final,109,B_native_ANDES_Kundur,ramp_drop,base,base,2.0,300.0,sustainable,after,both,1,OOD,111.93209596499184,125.93209596499184,,0.6,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-010,confirmatory_final,110,B_native_ANDES_Kundur,ramp_drop,base,base,4.0,300.0,sustainable,simultaneous,area0,1,OOD,127.80883252393679,127.80883252393679,,0.6,0.00015,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-011,confirmatory_final,111,B_native_ANDES_Kundur,ramp_drop,base,base,2.0,300.0,sustainable,before,area1,1,known,124.60951659168862,110.60951659168862,,0.5,0.00015,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-012,confirmatory_final,112,B_native_ANDES_Kundur,ramp_drop,stressed,stressed,4.0,300.0,sustainable,after,area0,1,known,123.45227146508796,137.45227146508796,,0.6,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-013,confirmatory_final,113,B_native_ANDES_Kundur,ramp_drop,base,base,2.0,300.0,sustainable,simultaneous,area1,-1,known,125.03618993119474,125.03618993119474,,0.5,0.00015,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-014,confirmatory_final,114,B_native_ANDES_Kundur,ramp_drop,stressed,stressed,4.0,300.0,sustainable,before,area0,1,known,100.80257104878524,86.80257104878524,,0.6,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-015,confirmatory_final,115,B_native_ANDES_Kundur,ramp_drop,stressed,stressed,4.0,300.0,sustainable,after,area1,-1,OOD,115.2991253005285,129.2991253005285,,0.4,0.00015,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-016,confirmatory_final,116,B_native_ANDES_Kundur,delay_increase,base,base,2.0,300.0,sustainable,before,both,1,known,125.6573336774043,111.6573336774043,,0.4,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-017,confirmatory_final,117,B_native_ANDES_Kundur,delay_increase,stressed,stressed,2.0,300.0,sustainable,after,both,1,known,104.24688898718904,118.24688898718904,,0.4,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-018,confirmatory_final,118,B_native_ANDES_Kundur,delay_increase,base,base,4.0,300.0,sustainable,simultaneous,area0,-1,OOD,124.43097001393747,124.43097001393747,,0.5,0.00015,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-B-019,confirmatory_final,119,B_native_ANDES_Kundur,delay_increase,stressed,stressed,4.0,300.0,sustainable,before,area1,-1,OOD,108.08386672536696,94.08386672536696,,0.4,0.00015,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
