source,files,bytes,required
src/direction5freq,36,189587,True
scripts/direction5_final,11,179750,True
scripts/direction5_closure,12,175405,True
tests/direction5_final,7,22284,True
tests/direction5_closure,8,13464,True
configs/direction5_final,1,1397,True
configs/direction5_closure,1,1523,True
research/DIRECTION5_CLOSURE_CONFIRMATION_AND_MANUSCRIPT_CODEX_PACKAGE,12,18475,True
results_final,1016,40985950,True
research_outputs_final,37,90873,True
results_closure/C2,915,31692611,True
research_outputs_closure,89,8881641,True
logs_final,478,49699,True
logs_closure/C2,456,44146,True
figures_final,6,313298,True
figures_closure/C4,39,3011618,True
progress_final,9,8996,True
progress_closure,8,4767,True
