scenario_id,method,objective_preference,probe_amplitude_pu,evidence_model,physical_success,hard_violation,solver_failure_calls,fallback_calls,probe_windows,power_certified,power_certificate_time_s,frequency_peak_hz,delta_frequency_peak_hz,ace_iae_pu_s,delta_ace_iae_pu_s,tie_iae_pu_s,delta_tie_iae_pu_s,sg_mechanical_mileage_pu,delta_sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,delta_bess_energy_throughput_pu_s
R1_HIGH_CONTRACT,contract,resource_economy,,,True,False,0,0,0,False,,0.39957545923850785,-0.000274643390935303,2.640687869004249,0.01937238647920836,0.2867864942645031,0.0060049793999029655,0.3925280672011051,-0.002611841842635132,13.871024400197092,-0.06047121643578457
R1_HIGH_CONTRACT_REGIONAL_RESPONSIBILITY_RETRY2,contract,regional_responsibility,0.0,none,True,False,0,0,0,False,,0.3997026787400416,0.0,2.4728657981720015,0.0,0.24195239897653723,0.0,0.3644510742080789,0.0,8.910709259419075,0.0
R1_HIGH_CONTRACT_RESOURCE_ECONOMY_S8101,contract,resource_economy,0.0,none,True,False,0,0,0,False,,0.3999485400407312,9.843741128806593e-05,2.643080330406938,0.021764847881897698,0.25311955944994413,-0.027661955414655992,0.3902572038053136,-0.0048827052384266545,13.80643269989132,-0.12506291674155712
R1_HIGH_CONTRACT_RESOURCE_ECONOMY_S8102,contract,resource_economy,0.0,none,True,False,0,0,0,False,,0.40010882507158735,0.00025872244214419915,2.6025945518494136,-0.018720930675626857,0.2569137960552695,-0.02386771880933064,0.38958289299215526,-0.005557016051584984,13.92021703606495,-0.011278580567926966
R1_HIGH_CONTRACT_RESOURCE_ECONOMY_S8103,contract,resource_economy,0.0,none,True,False,0,0,0,False,,0.4000138648665128,0.00016376223706965343,2.677609177986717,0.056293695461676396,0.27394932463721433,-0.006832190227385793,0.3946461766344299,-0.0004937324093103324,13.883239044922322,-0.04825657171055475
R1_HIGH_CONTRACT_RESOURCE_ECONOMY_S8104,contract,resource_economy,0.0,none,True,False,0,0,0,False,,0.3999124341558873,6.233152644413709e-05,2.659269028280367,0.03795354575532661,0.27998267871620575,-0.0007988361483943773,0.3845488566012406,-0.010591052442499638,13.850489930591792,-0.0810056860410846
R1_HIGH_CONTRACT_RESOURCE_ECONOMY_S8105,contract,resource_economy,0.0,none,True,False,0,0,0,False,,0.39985010262944315,0.0,2.6213154825250404,0.0,0.2807815148646001,0.0,0.39513990904374025,0.0,13.931495616632876,0.0
R1_HIGH_CONTROL_ALIGNED,control_aligned,resource_economy,,,True,False,0,0,9,False,,0.39957545923850785,-0.000274643390935303,2.752961334729869,0.13164585220482872,0.3258599778078885,0.04507846294328838,0.5292380441126033,0.1340981350688631,13.861269228219099,-0.07022638841377749
R1_HIGH_CONTROL_ALIGNED_A0.0025_W5,control_aligned,resource_economy,,,True,False,0,0,5,False,,0.39957545923850785,-0.000274643390935303,2.6756225845765096,0.05430710205146916,0.29751383960805944,0.016732324743459315,0.4627792486446243,0.06763933960088403,13.83130819454699,-0.10018742208588627
R1_HIGH_DUAL_A0.0025_W10,dual,resource_economy,,,True,False,0,0,7,False,,0.39957545923850785,-0.000274643390935303,2.7009387779077145,0.0796232953826741,0.3035544517778116,0.022772936913211472,0.4908291414603634,0.09568923241662314,13.864035100208111,-0.0674605164247648
R1_HIGH_DUAL_A0.0025_W10_ALPHA03_AR1_RESOURCE_ECONOMY_ALPHA03,dual,resource_economy,0.0025,alpha03_ar1,True,False,0,0,4,True,204.0,0.39957545923850785,-0.000274643390935303,2.660398181573116,0.03908269904807549,0.28811508164090593,0.007333566776305811,0.4605690526135737,0.06542914356983348,13.91332467896772,-0.018170937665155762
R1_HIGH_DUAL_A0.0025_W10_ALPHA03_AR1_RESOURCE_ECONOMY_VALID240,dual,resource_economy,0.0025,alpha03_ar1,True,False,0,0,4,True,204.0,0.39957545923850785,-0.000274643390935303,2.6472694746680667,0.025953992143026294,0.28656085057149633,0.005779335706896205,0.4440079391706216,0.048868030126881346,13.92741201019753,-0.004083606435345999
R1_HIGH_DUAL_A0.0029_W2_ALPHA03_AR1_RESOURCE_ECONOMY_A0029,dual,resource_economy,0.0029,alpha03_ar1,True,False,0,0,2,False,,0.39957545923850785,-0.000274643390935303,2.624161567717304,0.00284608519226337,0.2827318037230251,0.0019502888584249645,0.42433194089933146,0.029192031855591216,13.84997117773548,-0.08152443889739658
R1_HIGH_DUAL_A0.0029_W2_ALPHA03_AR1_RESOURCE_ECONOMY_A0029_S8101,dual,resource_economy,0.0029,alpha03_ar1,True,False,0,0,2,True,164.0,0.3999485400407312,9.843741128806593e-05,2.6220157268992863,0.000700244374245873,0.25876851544625085,-0.022012999418349277,0.4149335431496073,0.019793634105867042,14.209985993598366,0.2784903769654896
R1_HIGH_DUAL_A0.0029_W2_ALPHA03_AR1_RESOURCE_ECONOMY_A0029_S8102,dual,resource_economy,0.0029,alpha03_ar1,True,False,0,0,2,False,,0.40010882507158735,0.00025872244214419915,2.5869107073234368,-0.03440477520160368,0.25228474460612255,-0.028496770258477577,0.4211539668158131,0.02601405777207283,13.899659518232625,-0.0318360984002517
R1_HIGH_DUAL_A0.0030_W10,dual,resource_economy,,,True,False,0,0,1,True,148.0,0.39957545923850785,-0.000274643390935303,2.6427335783837567,0.021418095858716235,0.29464552136899763,0.013864006504397508,0.42562618973068567,0.03048628068694542,14.542053388755749,0.6105577721228723
R1_HIGH_DUAL_A0.0030_W10_ALPHA03_AR1_RESOURCE_ECONOMY_A003_VALID240,dual,resource_economy,0.003,alpha03_ar1,True,False,0,0,2,True,164.0,0.39957545923850785,-0.000274643390935303,2.6076983253536072,-0.013617157171433192,0.2755006717609572,-0.005280843103642907,0.4183774582881406,0.023237549244400357,14.19601213472691,0.26451651809403387
R1_HIGH_DUAL_A0.0030_W10_STACKED_AR1_REGIONAL_RESPONSIBILITY_ALPHA_SPEND,dual,regional_responsibility,0.003,stacked_ar1,True,False,0,0,0,False,,0.3997026787400416,0.0,2.4728657981720015,0.0,0.24195239897653723,0.0,0.3644510742080789,0.0,8.910709259419075,0.0
