period_s,horizon_s,objective,relative_sg_penalty,load_pu,contract_status,high_status,first_bess_action_difference_pu,contract_first_bess_pu,high_first_bess_pu
2.0,24.0,grid_service,1.0,0.0,optimal,optimal,2.0833280405350275e-09,1.7875525089311763e-09,2.9714180119794143e-09
2.0,24.0,grid_service,1.0,0.005,optimal_inaccurate,optimal_inaccurate,1.0563110018754415e-07,0.001040192647410452,0.0010402912176181763
2.0,24.0,grid_service,1.0,0.01,optimal_inaccurate,optimal_inaccurate,3.365441508247462e-07,0.002080431969365612,0.002080120551750206
2.0,24.0,grid_service,1.0,0.015,optimal_inaccurate,optimal_inaccurate,1.1087183646738344e-07,0.003120743598226653,0.0031208544700631205
2.0,24.0,grid_service,1.0,0.02,optimal_inaccurate,optimal_inaccurate,8.28181638970818e-08,0.004161056597213753,0.00416113941537765
2.0,24.0,grid_service,1.0,0.025,optimal_inaccurate,optimal_inaccurate,5.2253805259312724e-08,0.005201370233091525,0.0052013639241755595
2.0,24.0,grid_service,1.0,0.03,optimal_inaccurate,optimal_inaccurate,4.553830357939548e-09,0.006241656489850138,0.00624165193601978
2.0,24.0,grid_service,1.0,0.035,optimal_inaccurate,optimal_inaccurate,9.93682888949729e-08,0.007281916183581302,0.007281816815292407
2.0,24.0,grid_service,1.0,0.04,optimal_inaccurate,optimal_inaccurate,1.4873838750928403e-08,0.008322165822874242,0.008322150949035491
2.0,24.0,grid_service,1.0,0.045,optimal_inaccurate,optimal_inaccurate,4.019742968989354e-07,0.009362531388633466,0.009362333491760536
2.0,24.0,grid_service,1.0,0.05,optimal_inaccurate,optimal_inaccurate,1.582877971750829e-08,0.010402706202722545,0.010402694358329016
2.0,24.0,grid_service,1.0,0.055,optimal_inaccurate,optimal_inaccurate,5.72372772702362e-08,0.011443009545142345,0.01144296556478702
2.0,24.0,grid_service,1.0,0.06,optimal_inaccurate,optimal_inaccurate,1.1842439541671912e-07,0.01248325093209603,0.012483132507700613
2.0,24.0,grid_service,1.0,0.065,optimal_inaccurate,optimal_inaccurate,1.2730224653069444e-07,0.01352361019617471,0.01352352213110028
2.0,24.0,grid_service,1.0,0.07,optimal_inaccurate,optimal_inaccurate,1.951505888136973e-08,0.01456379656445724,0.014563777049398359
2.0,24.0,sg_conserving_4,4.0,0.0,optimal_inaccurate,optimal,1.1249413959821833e-07,1.0904423160826042e-07,3.4499079899579135e-09
2.0,24.0,sg_conserving_4,4.0,0.005,optimal_inaccurate,optimal_inaccurate,1.5747876072743847e-07,0.0021041530858202737,0.002104310564581001
2.0,24.0,sg_conserving_4,4.0,0.01,optimal_inaccurate,optimal_inaccurate,3.6726702055435434e-08,0.004208602261600251,0.004208638988302306
2.0,24.0,sg_conserving_4,4.0,0.015,optimal_inaccurate,optimal_inaccurate,8.072634365488551e-08,0.006312855316418061,0.006312926243847157
2.0,24.0,sg_conserving_4,4.0,0.02,optimal_inaccurate,optimal_inaccurate,1.4225425079214538e-08,0.008417275987834478,0.00841728664003693
2.0,24.0,sg_conserving_4,4.0,0.025,optimal_inaccurate,optimal_inaccurate,8.177888188506954e-08,0.010521518163449066,0.010521583599221493
2.0,24.0,sg_conserving_4,4.0,0.03,optimal_inaccurate,optimal_inaccurate,3.4398226291670886e-08,0.012625823106498995,0.012625857504725287
2.0,24.0,sg_conserving_4,4.0,0.035,optimal_inaccurate,optimal_inaccurate,6.384645379400866e-08,0.014730251539385595,0.0147302020335057
2.0,24.0,sg_conserving_4,4.0,0.04,optimal_inaccurate,optimal_inaccurate,8.647154031357629e-08,0.016834485345119925,0.016834560399235986
2.0,24.0,sg_conserving_4,4.0,0.045,optimal_inaccurate,optimal_inaccurate,1.5698808364383865e-08,0.018938830333078395,0.01893884603188676
2.0,24.0,sg_conserving_4,4.0,0.05,optimal_inaccurate,optimal_inaccurate,4.0217402803854885e-08,0.02104321380718339,0.021043180920257757
2.0,24.0,sg_conserving_4,4.0,0.055,optimal_inaccurate,optimal_inaccurate,1.634319857918287e-08,0.02314744726556186,0.02314745842855228
2.0,24.0,sg_conserving_4,4.0,0.06,optimal_inaccurate,optimal_inaccurate,2.5259550156392363e-08,0.025251740971039084,0.025251741605837888
2.0,24.0,sg_conserving_4,4.0,0.065,optimal_inaccurate,optimal_inaccurate,1.4578533436351848e-07,0.027356104933432695,0.02735597806159001
2.0,24.0,sg_conserving_4,4.0,0.07,optimal_inaccurate,optimal_inaccurate,4.41015725024807e-05,0.029464212759674077,0.029460293815504177
2.0,24.0,sg_conserving_16,16.0,0.0,optimal_inaccurate,optimal,8.136412305327055e-08,8.593345793141303e-08,4.569334878142483e-09
2.0,24.0,sg_conserving_16,16.0,0.005,optimal_inaccurate,optimal_inaccurate,1.3570556252036695e-07,0.003309952524278134,0.0033100882298406544
2.0,24.0,sg_conserving_16,16.0,0.01,optimal_inaccurate,optimal_inaccurate,4.8689717982268454e-08,0.006620173922422979,0.006620125232704997
2.0,24.0,sg_conserving_16,16.0,0.015,optimal_inaccurate,optimal_inaccurate,1.148292720284938e-07,0.00993036256622487,0.009930247736952842
2.0,24.0,sg_conserving_16,16.0,0.02,optimal_inaccurate,optimal_inaccurate,1.9066602063161353e-07,0.013240572717992876,0.013240382051972244
2.0,24.0,sg_conserving_16,16.0,0.025,optimal_inaccurate,optimal_inaccurate,1.2364611642196044e-07,0.016550496240001957,0.016550565171882067
2.0,24.0,sg_conserving_16,16.0,0.03,optimal_inaccurate,optimal_inaccurate,4.3592761646976674e-08,0.019860624034016262,0.01986066762677791
2.0,24.0,sg_conserving_16,16.0,0.035,optimal_inaccurate,optimal_inaccurate,1.1679672633560512e-07,0.023170745252667813,0.023170731747895485
2.0,24.0,sg_conserving_16,16.0,0.04,optimal,optimal_inaccurate,6.051972922804794e-09,0.026480817649280775,0.026480811597307852
