metric,analysis,penalty_multiplier,paired_scenarios,design_cells,scenario_balanced_proposed_mean,scenario_balanced_baseline_mean,paired_absolute_difference,aggregate_mean_relative_improvement,diagnostic_only_mean_episode_relative_ratio,primary_metric
frequency_peak_hz,both_success,,89,16,0.302941462236191,0.295969138652344,-0.006972323583847029,-0.023557603389308002,-0.029046653684922364,True
frequency_peak_hz,failure_aware,1.5,120,18,0.46441830936222533,0.4948545953199665,0.03043628595774117,0.061505513428770864,0.0004844918825731977,False
frequency_peak_hz,failure_aware,2.0,120,18,0.5344457963978098,0.5823889541144471,0.047943157716637375,0.08232154366584347,-0.0025007863403286165,False
frequency_peak_hz,failure_aware,3.0,120,18,0.6745007704689786,0.7574576717034082,0.08295690123442956,0.10952018090710203,-0.013568972114570926,False
ace_iae_pu_s,both_success,,89,16,2.2748880508998077,3.5622052661764285,1.2873172152766208,0.36138209875210003,0.18733832968524677,True
ace_iae_pu_s,failure_aware,1.5,120,18,3.735506455024184,5.016392405885536,1.2808859508613515,0.2553400625833295,0.17962235601725826,False
ace_iae_pu_s,failure_aware,2.0,120,18,4.3350588813771695,5.765832938826768,1.4307740574495984,0.24814698459520965,0.1765761191142059,False
ace_iae_pu_s,failure_aware,3.0,120,18,5.534163734083141,7.264714004709234,1.7305502706260922,0.2382131312401687,0.16807676038569988,False
tie_rms_pu,both_success,,89,16,0.00332542397709267,0.004297686816697713,0.0009722628396050433,0.22622933710002568,0.20327690109654153,True
tie_rms_pu,failure_aware,1.5,120,18,0.005642568199876851,0.00702951919676695,0.0013869509968900988,0.19730382093955898,0.16353059937446013,False
tie_rms_pu,failure_aware,2.0,120,18,0.006553813325871648,0.008168575604260446,0.0016147622783887986,0.19767978612410644,0.15083604986996407,False
tie_rms_pu,failure_aware,3.0,120,18,0.008376303577861241,0.010446688419247436,0.002070384841386195,0.19818575593502216,0.12318750508592634,False
