scope,category,scenarios
ALL,both_success,89
ALL,only_proposed_fails,1
ALL,only_baseline_fails,7
ALL,both_fail,23
ALL,not_evaluated,0
ALL,physically_infeasible,24
ALL,contract_violation,0
A_full_nonlinear,both_success,65
A_full_nonlinear,only_proposed_fails,1
A_full_nonlinear,only_baseline_fails,7
A_full_nonlinear,both_fail,23
A_full_nonlinear,not_evaluated,0
A_full_nonlinear,physically_infeasible,24
A_full_nonlinear,contract_violation,0
B_native_ANDES_Kundur,both_success,24
B_native_ANDES_Kundur,only_proposed_fails,0
B_native_ANDES_Kundur,only_baseline_fails,0
B_native_ANDES_Kundur,both_fail,0
B_native_ANDES_Kundur,not_evaluated,0
B_native_ANDES_Kundur,physically_infeasible,0
B_native_ANDES_Kundur,contract_violation,0
