field,expected,actual,absolute_error,match
background_bess_only_pi.max_abs_ace_pu,0.42182415338509627,0.4218241533850964,1.1102230246251565e-16,True
background_bess_only_pi.max_abs_command_pu,0.1,0.1,0.0,True
background_bess_only_pi.max_abs_frequency_hz,1.0034110202392972,1.0034110202392972,0.0,True
background_bess_only_pi.rms_frequency_hz,0.575540647682498,0.575540647682498,0.0,True
background_bess_only_pi.terminal_max_abs_frequency_hz,0.6464578620441667,0.6464578620441662,4.440892098500626e-16,True
background_no_sfr.max_abs_ace_pu,0.0023605523111141103,0.0023605523111141103,0.0,True
background_no_sfr.max_abs_command_pu,0.0,0.0,0.0,True
background_no_sfr.max_abs_frequency_hz,0.004416790711581805,0.004416790711581805,0.0,True
background_no_sfr.rms_frequency_hz,0.0016320404904928054,0.0016320404904928054,0.0,True
background_no_sfr.terminal_max_abs_frequency_hz,0.0010143297038280033,0.0010143297038280026,6.505213034913027e-19,True
background_registered_pi.max_abs_ace_pu,0.25064003739031093,0.25064003739031093,0.0,True
background_registered_pi.max_abs_command_pu,0.065,0.065,0.0,True
background_registered_pi.max_abs_frequency_hz,0.5713853029517749,0.5713853029517749,0.0,True
background_registered_pi.rms_frequency_hz,0.22653600991675518,0.22653600991675518,0.0,True
background_registered_pi.terminal_max_abs_frequency_hz,0.019500558248758616,0.01950055824875842,1.942890293094024e-16,True
background_sg_only_pi.max_abs_ace_pu,0.10282292780318154,0.10282292780318154,0.0,True
background_sg_only_pi.max_abs_command_pu,0.1,0.1,0.0,True
background_sg_only_pi.max_abs_frequency_hz,0.24475653217087978,0.24475653217087978,0.0,True
background_sg_only_pi.rms_frequency_hz,0.11216262184829001,0.11216262184829001,0.0,True
background_sg_only_pi.terminal_max_abs_frequency_hz,0.13410100859096016,0.13410100859096016,0.0,True
delay_update_replay.finding,delay set updates without alarm; Phase-D update-time scorer misses it,delay set updates without alarm; Phase-D update-time scorer misses it,,True
delay_update_replay.first_correct_singleton_delay_set_s,45.6,45.6,0.0,True
delay_update_replay.first_cusum_alarm_s,,,,True
delay_update_replay.first_delay_candidate_set_change_s,45.1,45.1,0.0,True
delay_update_replay.phase_d_deficit_area_loss_time_s,46.400000000000006,46.400000000000006,0.0,True
delay_update_replay.phase_d_evaluator_update_time_s,,,,True
delay_update_replay.seed,100,100,0.0,True
delay_update_replay.true_delay_change_time_s,45.0,45.0,0.0,True
tiny_initial_perturbation_registered_pi.max_abs_ace_pu,0.24660344744124663,0.24660344744124663,0.0,True
tiny_initial_perturbation_registered_pi.max_abs_command_pu,0.065,0.065,0.0,True
tiny_initial_perturbation_registered_pi.max_abs_frequency_hz,0.5782611597237931,0.5782611597237931,0.0,True
tiny_initial_perturbation_registered_pi.rms_frequency_hz,0.2712473152215077,0.2712473152215077,0.0,True
tiny_initial_perturbation_registered_pi.terminal_max_abs_frequency_hz,0.37800752595126536,0.37800752595126536,0.0,True
