evidence_source,member_path,bytes,declared_sha256,actual_sha256,hash_match,retention
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/00_CURRENT_REVIEW_AND_VERDICT.md,8849,c2ca7f5471d9a13a351b884288437045d94638334f7d1e2858941384ef1d65d8,c2ca7f5471d9a13a351b884288437045d94638334f7d1e2858941384ef1d65d8,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/01_MASTER_EXECUTION_PLAN.md,6805,d0fc9b66079e6a122829cf9501a173d6d2c7da32b1ebcf512649c84e87d7b6f7,d0fc9b66079e6a122829cf9501a173d6d2c7da32b1ebcf512649c84e87d7b6f7,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/02_LOCKED_SCIENTIFIC_QUESTION_AND_HYPOTHESES.md,4461,d9a22abfaaa13e5df9c232295ae66075bca2be2746d9d9f4ea5ccc1dcf4a7e4c,d9a22abfaaa13e5df9c232295ae66075bca2be2746d9d9f4ea5ccc1dcf4a7e4c,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/03_CORRECTED_PLANT_MODELS.md,4268,64462267e3941ee3f8d226b1d4bc6ccf506d219ba7dc637ce3073119c5ee3c1f,64462267e3941ee3f8d226b1d4bc6ccf506d219ba7dc637ce3073119c5ee3c1f,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/04_METHOD_SPEC_CRCS_TUBE_MPC.md,4728,dc93459d4ea6cff9fc01c233f5a2dd294ab1632d621102b18ef4824789619a8c,dc93459d4ea6cff9fc01c233f5a2dd294ab1632d621102b18ef4824789619a8c,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/05_THEORY_AND_PROOFS_SPEC.md,2412,970c894716e7346652c746b075916f98d1442181fc4d9c00dd468538a99007c0,970c894716e7346652c746b075916f98d1442181fc4d9c00dd468538a99007c0,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/06_LITERATURE_AND_NOVELTY_PROTOCOL.md,2872,4a85925a300819c6ae255a9f4687d058aaffff0783acfa79bb052003eaae7728,4a85925a300819c6ae255a9f4687d058aaffff0783acfa79bb052003eaae7728,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/07_EXPERIMENT_AND_STATISTICS_PROTOCOL.md,4085,3d3c38875d50c5fdb66e5f125f15815aab0b5680478b8172079a4c8a6bf22892,3d3c38875d50c5fdb66e5f125f15815aab0b5680478b8172079a4c8a6bf22892,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/08_SOFTWARE_ARCHITECTURE_AND_FILE_CONTRACTS.md,3045,aef7e095a3e8e70623226336669a2c306df2197583049e6a406228c8e415b2bc,aef7e095a3e8e70623226336669a2c306df2197583049e6a406228c8e415b2bc,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/09_GATES_FAILURE_AUTO_REPAIR.md,3955,a73ac6d03ab863b2d09bbab4e97a67820ab23d935398e636dcbf1e5efa6e36f3,a73ac6d03ab863b2d09bbab4e97a67820ab23d935398e636dcbf1e5efa6e36f3,True,read_only_phase_d_archive
