path,bytes,sha256
00_CURRENT_PACKAGE_EXPERT_REVIEW.md,6608,e6177f7f028f00182a99c6a68b0c61eddb26c6a12c944b0410d924d5ab733190
01_MASTER_EXECUTION_PLAN.md,22135,db52802a33bbc0af31582222d554fcad5c46f4603ce4a879cc84bf5d09470adb
02_CORRECTED_SCIENTIFIC_QUESTION_AND_HYPOTHESES.md,5441,c052af935e47a36ab4763e325d348df3bbeebff9c87adce7717c823ea1899a85
03_MODEL_AND_BASELINE_REBUILD_SPEC.md,4141,634963868ea60a69b86c4b2f355349731cb4fd0fdc5f4ad8186d7e9ec1572d22
04_ORACLE_MATERIALITY_AND_CAUSAL_INFORMATION_PROTOCOL.md,4747,c0ec58505b28c0968740b224765a2a68165ca77b7788ebbe2ae5cedbd19d03f2
05_PASSIVE_AND_ACTIVE_CAPABILITY_IDENTIFICATION_SPEC.md,3239,f43230ead3519a6ddbce3a0e7e79695c02ef3fdd24d951fd93c428d69dbf81ca
06_FINAL_METHOD_BRANCH_SPEC.md,4185,503b953d3c144da0b4bbc59cf120446b091f612aca52546bb7d2894a915fd278
07_THEORY_AND_PROOFS_SPEC.md,2933,d65c000bd314881ef2eab9eb9d4cfc2fe46c5d52f4a050a1d4c8f254d85434ff
08_EXPERIMENT_AND_STATISTICS_PROTOCOL.md,5137,4032b85da71b159f895f415449dcb6d02e9705f55c489a3abe356e4b8c2380f2
09_SOFTWARE_ARCHITECTURE_AND_STAGE_CONTRACTS.md,3919,ce572dde44ad18e3f93a18241a4a2466b06901b08a879abedc0f5839b37107bf
10_GATES_FAILURE_AND_AUTO_REPAIR.md,3194,cfa7f4da6c187a287a50d6aab70d3206ab50e6125fee73ca35fe4e2cd5d415f9
11_FINAL_REVIEW_PACKAGE_SPEC.md,4099,dc67cd9c1979e7f4e0f6e804ac0f228f6f7591a20ef028c49b99aa5643e7dc1b
CODEX_GOAL.md,7072,71fcdf41505792fc3a4f00fc0033f0eb50b87d072223926a6870a24ba9e660bc
GOAL_TO_SEND_CODEX.txt,1552,e45413da453db5b327b3b6c7280595ccfdae12bdfe00e47211fdf1d4e7328f16
README_FIRST.md,1801,81b21db7b5d922ea236a16898afac37e5caf7fa92c08e9f78c1b45e945ac4617
reference/config_template.yaml,1551,5857635c882aac67b7dccd980c6fa4403ece1dae9df062218edba65af020f875
reference/independent_audit_expected_output.json,1731,52ba16344a4576a5f08be129bad1da7be07ba19b20693268a382ad6ff3d8ef34
reference/independent_audit_reproduction.py,8243,7cd4630b1abe6406ff13c51f9aad7f40dc6f3c8393a01c4bbb48a1762c4a5fce
reference/LITERATURE_ANCHORS.md,1681,f54d45516b744c8ad6d28769d43abd5e4b6ebcdc4b9e9eaed9e8ff8fba6ff7b8
reference/REFERENCE_FINDINGS.json,1370,168637d31a265f650b698ad91dfad192481024e9ce0b993eb191249cf9e2f112
