citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations,theme_black_box_ibr_multimode,theme_data_driven_frequency_control,theme_set_adaptive_tube_mpc,theme_active_dual_safe_identification,theme_multi_area_agc_ace_constrained
Fabio Faliero; Elisa Capello; Andrea Iannelli (2025). Robust Adaptive Model Predictive Control for Tracking in Interconnected Systems via Distributed Optimization. International Journal of Robust and Nonlinear Control.,Robust Adaptive Model Predictive Control for Tracking in Interconnected Systems via Distributed Optimization,Fabio Faliero; Elisa Capello; Andrea Iannelli,2025,International Journal of Robust and Nonlinear Control,10.1002/rnc.70319,https://doi.org/10.1002/rnc.70319,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Linbin Huang; John Lygeros; Florian Dörfler (2024). Robust and Kernelized Data-Enabled Predictive Control for Nonlinear Systems. IEEE Transactions on Control Systems Technology.,Robust and Kernelized Data-Enabled Predictive Control for Nonlinear Systems,Linbin Huang; John Lygeros; Florian Dörfler,2024,IEEE Transactions on Control Systems Technology,10.1109/tcst.2023.3329334,https://doi.org/10.1109/tcst.2023.3329334,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Yunrui Lan; Mahesh S. Illindala (2024). Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System. Energies.,Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System,Yunrui Lan; Mahesh S. Illindala,2024,Energies,10.3390/en17225536,https://doi.org/10.3390/en17225536,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
Zhuoer An; Xinghua Liu; Gaoxi Xiao; Guangyu Song; Peng Wang (2024). Tube-based MPC strategy for load frequency control of multi-area interconnected power system with HESS. Journal of Energy Storage.,Tube-based MPC strategy for load frequency control of multi-area interconnected power system with HESS,Zhuoer An; Xinghua Liu; Gaoxi Xiao; Guangyu Song; Peng Wang,2024,Journal of Energy Storage,10.1016/j.est.2024.113340,https://doi.org/10.1016/j.est.2024.113340,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,True,False,True
Xiaodong Bu; Xisheng Dai (2023). Event-triggered model-free adaptive predictive control for multi-area power systems under deception attacks. Energy Reports.,Event-triggered model-free adaptive predictive control for multi-area power systems under deception attacks,Xiaodong Bu; Xisheng Dai,2023,Energy Reports,10.1016/j.egyr.2023.04.140,https://doi.org/10.1016/j.egyr.2023.04.140,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,True
Xiaonan Lu; Mark Cannon (2023). Robust adaptive model predictive control with persistent excitation conditions. Automatica.,Robust adaptive model predictive control with persistent excitation conditions,Xiaonan Lu; Mark Cannon,2023,Automatica,10.1016/j.automatica.2023.110959,https://doi.org/10.1016/j.automatica.2023.110959,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
András Sasfi; Melanie N. Zeilinger; Johannes Köhler (2023). Robust adaptive MPC using control contraction metrics. Automatica.,Robust adaptive MPC using control contraction metrics,András Sasfi; Melanie N. Zeilinger; Johannes Köhler,2023,Automatica,10.1016/j.automatica.2023.111169,https://doi.org/10.1016/j.automatica.2023.111169,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Tobias Peschke; Daniel Görges (2023). Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals. International Journal of Robust and Nonlinear Control.,Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals,Tobias Peschke; Daniel Görges,2023,International Journal of Robust and Nonlinear Control,10.1002/rnc.6814,https://doi.org/10.1002/rnc.6814,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Linbin Huang; Jianzhe Zhen; John Lygeros; Florian Dörfler (2023). Robust Data-Enabled Predictive Control: Tractable Formulations and Performance Guarantees. IEEE Transactions on Automatic Control.,Robust Data-Enabled Predictive Control: Tractable Formulations and Performance Guarantees,Linbin Huang; Jianzhe Zhen; John Lygeros; Florian Dörfler,2023,IEEE Transactions on Automatic Control,10.1109/tac.2023.3241282,https://doi.org/10.1109/tac.2023.3241282,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Julian Berberich; Johannes Kohler; Matthias A. Muller; Frank Allgower (2021). Data-Driven Model Predictive Control With Stability and Robustness Guarantees. IEEE Transactions on Automatic Control.,Data-Driven Model Predictive Control With Stability and Robustness Guarantees,Julian Berberich; Johannes Kohler; Matthias A. Muller; Frank Allgower,2021,IEEE Transactions on Automatic Control,10.1109/tac.2020.3000182,https://doi.org/10.1109/tac.2020.3000182,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
