title,authors,year,venue,doi,source_url,theme,closest_work,remaining_gap,formal_source,metadata_status
Data-Driven Robust MPC for Unknown Nonlinear Systems via Set-Membership Learning,Yuzhou Wei; Wenjie Liu; Yifan Xie; Frank Allgoewer; Jian Sun; Gang Wang,2026,arXiv preprint,,https://arxiv.org/abs/2606.24316,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,verified_from_phase_f_registry_or_primary_publisher
Inverter Based Resource With a Long Feeder: Modeling and Experimental Validation,Antonio C. S. Lima; Anny A. S. Santos; Maria Teresa Correia de Barros; Luis G. B. Rolim; Alberto H. Otero Llosa; Jose C. L. V. Silva,2026,IEEE Transactions on Power Delivery,10.1109/tpwrd.2026.3669810,https://doi.org/10.1109/tpwrd.2026.3669810,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",True,verified_from_phase_f_registry_or_primary_publisher
Robust adaptive NMPC using ellipsoidal tubes,Johannes Buerger; Mark Cannon,2026,arXiv preprint,,https://arxiv.org/abs/2603.05029,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,verified_from_phase_f_registry_or_primary_publisher
EMT Analysis in Operations Planning for BPS-Connected Inverter-Based Resources,North American Electric Reliability Corporation,2025,NERC white paper,,https://www.nerc.com/globalassets/our-work/reports/white-papers/whitepaper_-emt-analysis-in-operations_v2.0_final.pdf,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",engineering requirement or event evidence rather than a control algorithm,True,verified_from_phase_f_registry_or_primary_publisher
Electromagnetic Transient Simulation of Large-Scale Inverter-Based Resources With High-Granularity,Jongchan Choi; Yaosuo Xue; Hong Wang,2025,IEEE Open Access Journal of Power and Energy,10.1109/oajpe.2025.3615786,https://doi.org/10.1109/oajpe.2025.3615786,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",True,verified_from_phase_f_registry_or_primary_publisher
Findings from Inverter-Based Resource Model Quality Deficiencies Alert,North American Electric Reliability Corporation,2025,NERC aggregated report,,https://www.nerc.com/globalassets/programs/bpsa/alerts/2025/inverter-based_resource_modeling_deficiencies_aggregated_report.pdf,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",engineering requirement or event evidence rather than a control algorithm,True,verified_from_phase_f_registry_or_primary_publisher
Inverter-based resource models for dynamic stability studies,Karel Máslo; Juan D. Rios-Peñaloza; Alberto Borghetti,2025,IET Conference Proceedings,10.1049/icp.2024.1952,https://doi.org/10.1049/icp.2024.1952,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",True,verified_from_phase_f_registry_or_primary_publisher
Load Frequency Control of Multiarea Interconnected Power System Based on Distributed Economic Model Predictive Control With Guaranteed Stability,Miaomiao Ma; Jing Cui; Hong Chen; Kwang Y. Lee,2025,IEEE Transactions on Industrial Informatics,10.1109/tii.2025.3594079,https://doi.org/10.1109/tii.2025.3594079,multi_area_agc,constrained multi-area load-frequency/ACE control,assumes known resource capability or does not time causal capability learning against control loss,True,verified_from_phase_f_registry_or_primary_publisher
Robust Adaptive Model Predictive Control for Tracking in Interconnected Systems via Distributed Optimization,Fabio Faliero; Elisa Capello; Andrea Iannelli,2025,International Journal of Robust and Nonlinear Control,10.1002/rnc.70319,https://doi.org/10.1002/rnc.70319,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",True,verified_from_phase_f_registry_or_primary_publisher
An MPC-based Coordinated Fast Frequency Control Method for Inverter-based Resources,Ning Ma; Qiu Jin,2024,2024 IEEE 34th Australasian Universities Power Engineering Conference (AUPEC),10.1109/aupec62273.2024.10807615,https://doi.org/10.1109/aupec62273.2024.10807615,frequency_control,fast or coordinated frequency control using inverter-based resources,does not address unannounced capability-set changes with a detection-critical-time Gate,True,verified_from_phase_f_registry_or_primary_publisher
Data-Driven Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Aboutaleb Haddadi; Lin Zhu,2024,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3337011,https://doi.org/10.1109/tpwrs.2023.3337011,frequency_control,fast or coordinated frequency control using inverter-based resources,does not address unannounced capability-set changes with a detection-critical-time Gate,True,verified_from_phase_f_registry_or_primary_publisher
Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System,Yunrui Lan; Mahesh S. Illindala,2024,Energies,10.3390/en17225536,https://doi.org/10.3390/en17225536,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,does not model unannounced black-box IBR capability changes or control-critical detection windows,True,verified_from_phase_f_registry_or_primary_publisher
Tube-based MPC strategy for load frequency control of multi-area interconnected power system with HESS,Zhuoer An; Xinghua Liu; Gaoxi Xiao; Guangyu Song; Peng Wang,2024,Journal of Energy Storage,10.1016/j.est.2024.113340,https://doi.org/10.1016/j.est.2024.113340,multi_area_agc,constrained multi-area load-frequency/ACE control,assumes known resource capability or does not time causal capability learning against control loss,True,verified_from_phase_f_registry_or_primary_publisher
Inverter-Based Resource Performance Issues Public Report,North American Electric Reliability Corporation,2023,NERC Level 2 Alert report,,https://www.nerc.com/globalassets/our-work/reports/white-papers/nerc_inverter-based_resource_performance_issues_public_report_2023.pdf,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",engineering requirement or event evidence rather than a control algorithm,True,verified_from_phase_f_registry_or_primary_publisher
Robust adaptive MPC using control contraction metrics,András Sasfi; Melanie N. Zeilinger; Johannes Köhler,2023,Automatica,10.1016/j.automatica.2023.111169,https://doi.org/10.1016/j.automatica.2023.111169,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",True,verified_from_phase_f_registry_or_primary_publisher
Robust adaptive model predictive control with persistent excitation conditions,Xiaonan Lu; Mark Cannon,2023,Automatica,10.1016/j.automatica.2023.110959,https://doi.org/10.1016/j.automatica.2023.110959,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",True,verified_from_phase_f_registry_or_primary_publisher
Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals,Tobias Peschke; Daniel Görges,2023,International Journal of Robust and Nonlinear Control,10.1002/rnc.6814,https://doi.org/10.1002/rnc.6814,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",True,verified_from_phase_f_registry_or_primary_publisher
2022 Odessa Disturbance Report,North American Electric Reliability Corporation,2022,NERC disturbance report,,https://www.nerc.com/globalassets/our-work/reports/white-papers/nerc_2022_odessa_disturbance_report-1.pdf,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",engineering requirement or event evidence rather than a control algorithm,True,verified_from_phase_f_registry_or_primary_publisher
IEEE Standard for Interconnection and Interoperability of Inverter-Based Resources (IBRs) Interconnecting with Associated Transmission Electric Power Systems,metadata unavailable,2022,publisher metadata,10.1109/ieeestd.2022.9762253,https://doi.org/10.1109/ieeestd.2022.9762253,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",engineering requirement or event evidence rather than a control algorithm,True,verified_from_phase_f_registry_or_primary_publisher
Hierarchical Coordinated Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; Zhiyuan Tang; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2021,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3075641,https://doi.org/10.1109/tpwrs.2021.3075641,frequency_control,fast or coordinated frequency control using inverter-based resources,does not address unannounced capability-set changes with a detection-critical-time Gate,True,verified_from_phase_f_registry_or_primary_publisher
Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources,Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2020,2020 IEEE Power &amp; Energy Society General Meeting (PESGM),10.1109/pesgm41954.2020.9281861,https://doi.org/10.1109/pesgm41954.2020.9281861,frequency_control,fast or coordinated frequency control using inverter-based resources,does not address unannounced capability-set changes with a detection-critical-time Gate,True,verified_from_phase_f_registry_or_primary_publisher
Robust adaptive model predictive control: Performance and parameter estimation,Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet,2020,International Journal of Robust and Nonlinear Control,10.1002/rnc.5175,https://doi.org/10.1002/rnc.5175,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",True,verified_from_phase_f_registry_or_primary_publisher
Distributed Model Predictive Load Frequency Control of multi-area Power Grid: A Decoupling Approach,Eleftherios E. Vlahakis; Leonidas D. Dritsas; George D. Halikias,2019,IFAC-PapersOnLine,10.1016/j.ifacol.2019.12.159,https://doi.org/10.1016/j.ifacol.2019.12.159,multi_area_agc,constrained multi-area load-frequency/ACE control,assumes known resource capability or does not time causal capability learning against control loss,True,verified_from_phase_f_registry_or_primary_publisher
Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage,Abidemi Ajiborisha; Paul Trodden,2019,2019 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta.2019.8920505,https://doi.org/10.1109/ccta.2019.8920505,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,does not model unannounced black-box IBR capability changes or control-critical detection windows,True,verified_from_phase_f_registry_or_primary_publisher
Optimal Load Frequency Control of Multi-Area Power System Considering Incremental Control Action,A. B. Kunya; M. Argin; S. Kucuksari,2019,2019 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2019.8662140,https://doi.org/10.1109/tpec.2019.8662140,multi_area_agc,constrained multi-area load-frequency/ACE control,assumes known resource capability or does not time causal capability learning against control loss,True,verified_from_phase_f_registry_or_primary_publisher
Robust Adaptive Tube Model Predictive Control,Xiaonan Lu; Mark Cannon,2019,2019 American Control Conference (ACC),10.23919/acc.2019.8814456,https://doi.org/10.23919/acc.2019.8814456,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",True,verified_from_phase_f_registry_or_primary_publisher
Robust MPC with recursive model update,Matthias Lorenzen; Mark Cannon; Frank Allgöwer,2019,Automatica,10.1016/j.automatica.2019.02.023,https://doi.org/10.1016/j.automatica.2019.02.023,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",True,verified_from_phase_f_registry_or_primary_publisher
ANDES: A Python-Based Cyber-Physical Power System Simulation Tool,Hantao Cui; Fangxing Li,2018,2018 North American Power Symposium (NAPS),10.1109/naps.2018.8600596,https://doi.org/10.1109/naps.2018.8600596,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",True,verified_from_phase_f_registry_or_primary_publisher
Model predictive load frequency control of multi-area interconnected power system,A. B. Kunya; M. Argin,2018,2018 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2018.8312114,https://doi.org/10.1109/tpec.2018.8312114,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,does not model unannounced black-box IBR capability changes or control-critical detection windows,True,verified_from_phase_f_registry_or_primary_publisher
A distributed model predictive control based load frequency control scheme for multi-area interconnected power system using discrete-time Laguerre functions,Yang Zheng; Jianzhong Zhou; Yanhe Xu; Yuncheng Zhang; Zhongdong Qian,2017,ISA Transactions,10.1016/j.isatra.2017.03.009,https://doi.org/10.1016/j.isatra.2017.03.009,multi_area_agc,constrained multi-area load-frequency/ACE control,assumes known resource capability or does not time causal capability learning against control loss,True,verified_from_phase_f_registry_or_primary_publisher
