scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,source_scenario_id,condition,control_period_s,capability_mechanism,load_magnitude_pu,probe_eligible,contract_status,materiality_positive,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,candidate_id,voi_worthwhile_calls,ever_probe_worthwhile,candidate_diameter_reduction,minimum_candidate_diameter_reduction,unmetered_responsibility_jump_pu,passive_renewals,probe_aborts_on_change,passive_candidate_reductions
VOI-M1-00,development,206,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,103.97426250148408,89.97426250148408,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-000,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.31517149275128414,1.088944159846801,0.17438815973633046,0.21915339204841283,2.3200424884316058,True,False,False,False,151,151,0,0,0,0.08422235000034561,True,0,0,0,0.0,0.0,False,False,M1-C14,,,,,,,,
VOI-M1-00,development,206,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,103.97426250148408,89.97426250148408,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-000,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True,accr_mpc,True,0.31517149275128414,1.0698632539441821,0.16725715485279663,0.21376220994225018,3.006702855807652,True,False,False,False,151,163,0,0,0,0.25360720000389847,True,1,1,3,0.02,0.0,False,False,M1-C14,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-00,development,206,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,103.97426250148408,89.97426250148408,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-000,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.3151991050622147,1.0792946596448256,0.15959340429262472,0.19746940811213806,3.1651990445124025,True,False,False,False,151,151,0,0,0,0.08139180000216584,True,0,0,0,0.0,0.0,False,True,M1-C14,,,,,,,,
VOI-M1-01,development,207,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,112.37097453060484,112.37097453060484,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-001,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.31838774889396315,1.0993501466580333,0.21247502775379704,0.22780667231873827,2.158977963101141,True,False,False,False,151,151,0,0,0,0.09004315000129282,True,0,0,0,0.0,0.0,False,False,M1-C14,,,,,,,,
VOI-M1-01,development,207,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,112.37097453060484,112.37097453060484,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-001,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True,accr_mpc,True,0.31838774889396315,1.0969381093246988,0.21032284022508071,0.2259511079280377,2.1590354270107923,True,False,False,False,151,163,0,0,0,0.25743689999944763,True,1,1,3,0.02,0.0,False,False,M1-C14,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-01,development,207,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,112.37097453060484,112.37097453060484,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-001,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.31838818581882034,1.0993731556833528,0.21249119679003328,0.2278228752830293,2.1589091296707204,True,False,False,False,151,151,0,0,0,0.08302515000104904,True,0,0,0,0.0,0.0,False,True,M1-C14,,,,,,,,
VOI-M1-02,development,212,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,124.36691341439048,110.36691341439048,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-006,known,2.0,power_drop,0.0558,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.23447776090230432,0.8193465517299467,0.13213874896672584,0.16424560830700044,1.2832818190221544,True,False,False,False,151,151,0,0,0,0.15149750000273343,True,0,0,0,0.0,0.0,False,False,M1-C14,,,,,,,,
VOI-M1-02,development,212,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,124.36691341439048,110.36691341439048,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-006,known,2.0,power_drop,0.0558,True,WITHIN_CONTRACT,True,accr_mpc,True,0.23447776090230432,0.8099058055902231,0.12808043431325747,0.16221396879625632,1.7331722859944123,True,False,False,False,151,163,0,0,0,0.5754526499949861,True,1,1,3,0.02,0.0,False,False,M1-C14,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-02,development,212,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,124.36691341439048,110.36691341439048,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-006,known,2.0,power_drop,0.0558,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.2366735137544186,0.8177452573362048,0.12707497408163762,0.15571703859518554,1.8312787396787427,True,False,False,False,151,151,0,0,0,0.17994940000062343,True,0,0,0,0.0,0.0,False,True,M1-C14,,,,,,,,
VOI-M1-03,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,123.65829276631412,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-007,known,2.0,power_drop,0.0558,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.24010026978575866,0.794996407695936,0.1481128899919799,0.16200857131329802,1.2432034845751567,True,False,False,False,151,151,0,0,0,0.08354360000157612,True,0,0,0,0.0,0.0,False,False,M1-C14,,,,,,,,
