scenario_id,split,seed,design_cell,plant,mechanism,capability_mechanism,sg_tension,period_s,control_period_s,condition,known_ood,duration_s,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,timing_relation,initial_soc,initial_soc_area1,initial_soc_area2,value_region,contract_violation,contract_status,factor_assignment
D5-M1R1-000,development_r1,5600,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.61653739177689,101.61653739177689,area0,1,0.0744,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-001,development_r1,5601,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,120.20945073387377,106.20945073387377,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-002,development_r1,5602,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,119.57064177657941,119.57064177657941,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-003,development_r1,5603,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,108.23547486343674,108.23547486343674,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-004,development_r1,5604,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,124.68376218198321,138.6837621819832,area1,1,0.0558,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-005,development_r1,5605,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,109.14798278214909,123.14798278214909,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-006,development_r1,5606,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,117.19099141087581,103.19099141087581,area0,1,0.0558,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-007,development_r1,5607,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,123.16577083295641,109.16577083295641,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-008,development_r1,5608,A_full_nonlinear|ramp_drop|low|2,A_full_nonlinear,ramp_drop,ramp_drop,low,2.0,2.0,OOD,OOD,300.0,125.05632385822338,125.05632385822338,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-009,development_r1,5609,A_full_nonlinear|ramp_drop|low|2,A_full_nonlinear,ramp_drop,ramp_drop,low,2.0,2.0,OOD,OOD,300.0,102.70327430629102,102.70327430629102,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-010,development_r1,5610,A_full_nonlinear|ramp_drop|low|4,A_full_nonlinear,ramp_drop,ramp_drop,low,4.0,4.0,OOD,OOD,300.0,125.00876047108524,139.00876047108522,area1,1,0.0744,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
D5-M1R1-011,development_r1,5611,A_full_nonlinear|ramp_drop|low|4,A_full_nonlinear,ramp_drop,ramp_drop,low,4.0,4.0,OOD,OOD,300.0,114.00640977478967,128.0064097747897,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL
