scenario_id,split,seed,design_cell,plant,mechanism,capability_mechanism,sg_tension,period_s,control_period_s,condition,known_ood,duration_s,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,timing_relation,initial_soc,initial_soc_area1,initial_soc_area2,value_region,contract_violation,contract_status,factor_assignment,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,voi_decision_calls,voi_worthwhile_calls,voi_abstention_calls,voi_probe_triggers,candidate_diameter_reduction_mean,candidate_diameter_reduction_max,passive_certificate_renewals,maximum_unmetered_responsibility_jump_pu,probe_aborts_on_change
D5-M1R1-000,development_r1,5600,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.61653739177687,101.61653739177687,area0,1,0.0744,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.3169436884302213,1.0686094355908482,0.1844684748427889,0.2187583759475283,2.1616586552358235,True,False,False,False,151,151,0,0,0,0.0761343500016664,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-000,development_r1,5600,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.61653739177687,101.61653739177687,area0,1,0.0744,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.3182863882811943,1.0587084551276391,0.1731437616760416,0.203436210888443,2.9905357902192016,True,False,False,False,151,151,0,0,0,0.0717729999996663,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-001,development_r1,5601,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,120.20945073387377,106.20945073387377,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0558016454905429,0.1497556676354891,0.0255554341209255,0.0662031002764906,0.0188128227248081,True,False,False,False,151,151,0,0,0,0.0687724000017624,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-001,development_r1,5601,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,120.20945073387377,106.20945073387377,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.0557846268759902,0.1478281117804322,0.025107431547842,0.0653581016284352,0.0216919281019145,True,False,False,False,151,151,0,0,0,0.0700151499986532,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-002,development_r1,5602,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,119.5706417765794,119.5706417765794,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.4533961778908812,2.404656586554736,0.097083099235629,0.3735481835754907,2.6233533879053708,True,False,False,False,76,76,0,0,0,0.0747694999972736,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-002,development_r1,5602,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,119.5706417765794,119.5706417765794,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.4534204632240011,2.4073271054075107,0.0971359592815677,0.3754992613027287,2.62426635218238,True,False,False,False,76,76,0,0,0,0.0727952999968692,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-003,development_r1,5603,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,108.23547486343674,108.23547486343674,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0525611848396354,0.2878872337623832,0.0699627757007528,0.0921865974875259,0.0343321859376596,True,False,False,False,76,76,0,0,0,0.0753454000023339,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-003,development_r1,5603,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,108.23547486343674,108.23547486343674,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.0525808480418922,0.2890167731488205,0.070009708763086,0.0931405289954111,0.0345204796552176,True,False,False,False,76,76,0,0,0,0.0828794500012009,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-004,development_r1,5604,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,124.6837621819832,138.6837621819832,area1,1,0.0558,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.2375525376255394,0.8154100140310401,0.1711602652149349,0.1804633941470836,1.113943013085321,True,False,False,False,151,151,0,0,0,0.0778246500012755,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-004,development_r1,5604,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,124.6837621819832,138.6837621819832,area1,1,0.0558,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.2375554466745816,0.8154576759572392,0.171184977720721,0.1804960475529274,1.1139381023099073,True,False,False,False,151,151,0,0,0,0.06981215000269,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
