scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,method,physical_success,hard_violation,terminal_recovery,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,controller_calls,attempted_optimization_calls,fallback_calls,restoration_calls,p99_solve_time_s,true_capability_read_by_ordinary_controller,evaluation_only_truth_used,full_rolling
A1-D-000,development,206,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,103.97426250148408,89.97426250148408,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3151234048788686,0.9568471801023618,0.1757005819798796,0.2227969660872467,2.3749315300493707,151,151,0,0,0.0987281000006987,False,False,True
A1-D-000,development,206,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,103.97426250148408,89.97426250148408,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3151236250516366,0.8961159746042829,0.1607991249336389,0.2055666898188565,3.2051250808359155,151,151,0,0,0.1001512499997261,False,True,True
A1-D-001,development,207,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,112.37097453060484,112.37097453060484,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3181684553877357,0.9721608267446272,0.2042628243578419,0.2369345241304946,2.2024037539065637,151,151,0,0,0.0996307499999602,False,False,True
A1-D-001,development,207,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,112.37097453060484,112.37097453060484,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3181686564213227,0.9721329564325204,0.2042675070194116,0.2369310407913127,2.202368396981218,151,151,0,0,0.0967234999998254,False,True,True
A1-D-002,development,208,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,111.13162503396036,125.13162503396036,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3071313754114324,0.9388090908180526,0.1906656466457282,0.2359536972729495,1.898641654057301,151,151,0,0,0.1034024000009594,False,False,True
A1-D-002,development,208,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,111.13162503396036,125.13162503396036,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3071324097738968,0.9388113008449004,0.1906867055187883,0.2359733524632466,1.8986560042804057,151,151,0,0,0.0935058999993998,False,True,True
A1-D-003,development,209,A_full_nonlinear,power_drop,low,4.0,300.0,60.0,116.41419314146704,102.41419314146704,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3128665832099268,1.085048201490771,0.2350143122376829,0.3159391931341811,1.9761002109530308,76,76,0,0,0.0600610249989586,False,False,True
A1-D-003,development,209,A_full_nonlinear,power_drop,low,4.0,300.0,60.0,116.41419314146704,102.41419314146704,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3045175868393696,0.9054802079501876,0.1833939959167209,0.3132179158131251,2.401007651670596,76,76,0,0,0.0822805000007065,False,True,True
A1-D-004,development,210,A_full_nonlinear,power_drop,low,4.0,300.0,60.0,112.4841341993718,112.4841341993718,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3197885253755154,1.1917743591179042,0.2516869300995002,0.3399754754055001,1.8771300471349288,76,76,0,0,0.0824737749999258,False,False,True
A1-D-004,development,210,A_full_nonlinear,power_drop,low,4.0,300.0,60.0,112.4841341993718,112.4841341993718,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3197885458570905,1.1917705677687895,0.2516917159046473,0.3399732040898924,1.8771540900418031,76,76,0,0,0.0682529750006324,False,True,True
