scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment
A1-D-000,development,206,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,103.97426250148408,89.97426250148408,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-001,development,207,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,112.37097453060485,112.37097453060485,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-002,development,208,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,111.13162503396036,125.13162503396036,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-003,development,209,A_full_nonlinear,power_drop,low,4.0,300.0,60.0,116.41419314146705,102.41419314146705,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-004,development,210,A_full_nonlinear,power_drop,low,4.0,300.0,60.0,112.4841341993718,112.4841341993718,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-005,development,211,A_full_nonlinear,power_drop,low,4.0,300.0,60.0,118.85738550138916,132.85738550138916,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-006,development,212,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,124.36691341439047,110.36691341439047,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-007,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,123.65829276631412,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-008,development,214,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,106.02884018618543,120.02884018618543,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-009,development,215,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,129.782274514827,115.78227451482701,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-010,development,216,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,125.27209880101759,125.27209880101759,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-011,development,217,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,100.29475508873227,114.29475508873227,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-012,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-013,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.27429295401741,100.27429295401741,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-014,development,220,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,128.68399742917606,142.68399742917606,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-015,development,221,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,107.59388679367945,93.59388679367945,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-016,development,222,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,104.33454819567999,104.33454819567999,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-017,development,223,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,114.27925383664389,128.27925383664387,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-018,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-019,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-020,development,226,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,102.75462244424396,116.75462244424396,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-021,development,227,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,126.18001992721628,112.18001992721628,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-022,development,228,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,111.12623713260729,111.12623713260729,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
A1-D-023,development,229,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,126.25466579795383,140.25466579795383,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO
