scenario_id,mechanism,sg_tension,period_s,seed,delta_ace_iae_pu_s,delta_tie_iae_pu_s,delta_sg_mechanical_mileage_pu
,,,,,,,
A1-D-000,power_drop,low,2.0,206,0.060731205498078866,0.014901457046240685,0.017230276268390188
A1-D-001,power_drop,low,2.0,207,2.787031210682578e-05,-4.682661569693769e-06,3.4833391819033555e-06
A1-D-002,power_drop,low,2.0,208,-2.210026847748736e-06,-2.105887306011467e-05,-1.9655190297118708e-05
A1-D-003,power_drop,low,4.0,209,0.1795679935405834,0.051620316320962006,0.002721277321056037
A1-D-004,power_drop,low,4.0,210,3.791349114656839e-06,-4.785805147067279e-06,2.2713156077047714e-06
A1-D-005,power_drop,low,4.0,211,2.6294295309980953e-06,-2.3865020173097218e-06,3.713825229012535e-07
A1-D-006,power_drop,high,2.0,212,0.04856462516114002,0.01666892605036341,0.017215400546166798
A1-D-007,power_drop,high,2.0,213,1.8481464205577502e-05,-1.272755432549233e-05,2.4449482221022834e-06
A1-D-008,power_drop,high,2.0,214,-2.4695178915346006e-05,-2.7691265043400248e-05,-2.296436748250308e-05
A1-D-009,power_drop,high,4.0,215,0.04592122457163639,0.012011988807379193,-0.01592276420937902
A1-D-010,power_drop,high,4.0,216,1.2976116518625957e-05,-4.792597069397386e-06,4.506513601509887e-06
A1-D-011,power_drop,high,4.0,217,3.275619487597137e-05,-1.4918492519944149e-06,2.2977248808064843e-06
A1-D-012,ramp_drop,low,2.0,218,0.08841427544570457,0.026962340213927294,0.0278309484279414
A1-D-013,ramp_drop,low,2.0,219,2.887626182523917e-05,-3.481766222196425e-06,5.179031792396094e-06
A1-D-014,ramp_drop,low,2.0,220,1.9638712619451937e-06,-2.5295263690883196e-05,-1.7111784598400348e-05
A1-D-015,ramp_drop,low,4.0,221,0.16144070718005765,0.042227270180853094,0.02919638318894041
A1-D-016,ramp_drop,low,4.0,222,-1.085115171339801e-05,-1.4179914359202517e-05,2.3732685318078595e-06
A1-D-017,ramp_drop,low,4.0,223,1.437678228932704e-05,1.4772251082928456e-06,3.0781331828988456e-06
A1-D-018,ramp_drop,high,2.0,224,0.04855939241079987,0.016684133687012798,0.017206077528298586
A1-D-019,ramp_drop,high,2.0,225,1.8716718597655557e-05,-8.759703761462845e-06,-7.653058904766308e-06
A1-D-020,ramp_drop,high,2.0,226,-1.1753106266110258e-05,-2.6058289809643975e-05,-1.9430714771145885e-05
A1-D-021,ramp_drop,high,4.0,227,-0.017024821768408138,0.00386798967312596,-0.0082206025215949
A1-D-022,ramp_drop,high,4.0,228,3.233752206455165e-05,-3.3390803022559368e-06,9.862782526848246e-06
A1-D-023,ramp_drop,high,4.0,229,2.1454373709262065e-05,1.7018597469609098e-06,1.0503174569798102e-05
