power_pu,ramp_pu_per_s,delay_s,incremental_frequency_peak_hz,incremental_ace_fraction,incremental_tie_fraction,hard_violation,safe
0.045,0.025,0.2,0.003955805129168933,0.013069174444128306,0.004586324881233588,False,True
0.045,0.025,0.8,0.0039556973231519126,0.013514588295042622,0.004813867446432794,False,True
0.045,0.025,1.5,0.00467139305941378,0.01781611462161184,0.005959636125933966,False,True
0.045,0.04,0.2,0.003955807092812113,0.01306887349489961,0.004586356088549414,False,True
0.045,0.04,0.8,0.003955814952543762,0.013514643766623658,0.004813879010712529,False,True
0.045,0.04,1.5,0.004671408099826831,0.017816229508547273,0.005959601196539117,False,True
0.045,0.06,0.2,0.00395569296123228,0.013068647855235755,0.0045864060149054834,False,True
0.045,0.06,0.8,0.003955858749217776,0.013514619427493733,0.004813899446320362,False,True
0.045,0.06,1.5,0.004671417280156449,0.01781628543977565,0.005959593959048909,False,True
0.05,0.025,0.2,0.002259048044983547,0.007701525110583144,0.0022805947418053506,False,True
0.05,0.025,0.8,0.0031445165281400638,0.01003715147758916,0.002946501358784432,False,True
0.05,0.025,1.5,0.005516100131020034,0.01949972780357012,0.005674353381199048,False,True
0.05,0.04,0.2,0.002259048044983549,0.0077015251105831545,0.002280594741805353,False,True
0.05,0.04,0.8,0.003144516528140047,0.010037151477589209,0.0029465013587844464,False,True
0.05,0.04,1.5,0.005516100131020041,0.01949972780357015,0.00567435338119906,False,True
0.05,0.06,0.2,0.0022590480449835174,0.007701525110583173,0.002280594741805363,False,True
0.05,0.06,0.8,0.003144516528140057,0.01003715147758923,0.002946501358784452,False,True
0.05,0.06,1.5,0.0055161001310200615,0.01949972780357014,0.005674353381199058,False,True
0.065,0.025,0.2,0.0022590480449835144,0.007701525110583203,0.002280594741805372,False,True
0.065,0.025,0.8,0.0031445165281400343,0.010037151477589235,0.002946501358784456,False,True
0.065,0.025,1.5,0.0055161001310200675,0.019499727803570212,0.0056743533811990775,False,True
0.065,0.04,0.2,0.0022590480449835534,0.007701525110583293,0.002280594741805396,False,True
0.065,0.04,0.8,0.0031445165281400434,0.010037151477589268,0.0029465013587844685,False,True
0.065,0.04,1.5,0.005516100131020063,0.01949972780357021,0.005674353381199072,False,True
0.065,0.06,0.2,0.002259048044983514,0.007701525110583151,0.002280594741805355,False,True
0.065,0.06,0.8,0.0031445165281400464,0.010037151477589178,0.002946501358784439,False,True
0.065,0.06,1.5,0.005516100131020085,0.019499727803570288,0.005674353381199099,False,True
0.08,0.025,0.2,0.0022590480449835144,0.007701525110583203,0.002280594741805372,False,True
0.08,0.025,0.8,0.0031445165281400343,0.010037151477589235,0.002946501358784456,False,True
0.08,0.025,1.5,0.0055161001310200675,0.019499727803570212,0.0056743533811990775,False,True
0.08,0.04,0.2,0.0022590480449835534,0.007701525110583293,0.002280594741805396,False,True
0.08,0.04,0.8,0.0031445165281400434,0.010037151477589268,0.0029465013587844685,False,True
0.08,0.04,1.5,0.005516100131020063,0.01949972780357021,0.005674353381199072,False,True
0.08,0.06,0.2,0.002259048044983514,0.007701525110583151,0.002280594741805355,False,True
0.08,0.06,0.8,0.0031445165281400464,0.010037151477589178,0.002946501358784439,False,True
0.08,0.06,1.5,0.005516100131020085,0.019499727803570288,0.005674353381199099,False,True
