probe_id,amplitude_pu,sequence,zero_sum,all_extreme_branches_safe,worst_incremental_frequency_hz,worst_incremental_ace_fraction,worst_incremental_tie_fraction,median_predicted_diameter_reduction,minimum_predicted_diameter_reduction
biphasic_2,0.0025,"[1.0, -1.0]",True,True,0.008255492242390946,0.029929465922530058,0.008925795288841552,0.5428571428571429,0.5428571428571429
biphasic_2,0.005,"[1.0, -1.0]",True,False,0.016658908449104268,0.06127240813318224,0.018136482247416593,0.7428571428571429,0.7428571428571429
biphasic_2,0.0075,"[1.0, -1.0]",True,False,0.02553499912860943,0.09410168421305892,0.027710158692865812,0.8785714285714286,0.8714285714285714
biphasic_2,0.01,"[1.0, -1.0]",True,False,0.034751711474065444,0.12750880457379055,0.03745048380456013,0.9357142857142857,0.8714285714285714
biphasic_2,0.015,"[1.0, -1.0]",True,False,0.05378683910878454,0.18993286736459786,0.058090986366191415,0.9357142857142857,0.8714285714285714
biphasic_4,0.0025,"[1.0, 1.0, -1.0, -1.0]",True,True,0.008567129717338924,0.02686781557379899,0.008580374935987675,0.5428571428571429,0.5428571428571429
biphasic_4,0.005,"[1.0, 1.0, -1.0, -1.0]",True,False,0.017387418003066143,0.053935998792695436,0.017164213208559608,0.7428571428571429,0.7428571428571429
biphasic_4,0.0075,"[1.0, 1.0, -1.0, -1.0]",True,False,0.02601703085285036,0.08002047979932538,0.025492435412509014,0.8785714285714286,0.8714285714285714
biphasic_4,0.01,"[1.0, 1.0, -1.0, -1.0]",True,False,0.03303822813715367,0.10421875528603138,0.032948441371307716,0.9357142857142857,0.8714285714285714
biphasic_4,0.015,"[1.0, 1.0, -1.0, -1.0]",True,False,0.04818472608204166,0.14488984242205694,0.054100674270913564,0.9357142857142857,0.8714285714285714
alternating_4,0.0025,"[1.0, -1.0, 1.0, -1.0]",True,True,0.009723740069668432,0.041222980092765815,0.009981559513730965,0.5428571428571429,0.5428571428571429
alternating_4,0.005,"[1.0, -1.0, 1.0, -1.0]",True,False,0.020107751083253633,0.08529575015162952,0.020701714194888338,0.7428571428571429,0.7428571428571429
alternating_4,0.0075,"[1.0, -1.0, 1.0, -1.0]",True,False,0.03142386189301453,0.13224110178964754,0.03204088545606641,0.8785714285714286,0.8714285714285714
alternating_4,0.01,"[1.0, -1.0, 1.0, -1.0]",True,False,0.049944628773862215,0.18796908475972113,0.043500178531030276,0.9357142857142857,0.8714285714285714
alternating_4,0.015,"[1.0, -1.0, 1.0, -1.0]",True,False,0.09734951515987826,0.3055559508868263,0.07404313521944177,0.9357142857142857,0.8714285714285714
staircase_5,0.0025,"[0.5, 1.0, 0.0, -1.0, -0.5]",True,True,0.005516100131020085,0.019499727803570288,0.005959636125933966,0.5428571428571429,0.5428571428571429
staircase_5,0.005,"[0.5, 1.0, 0.0, -1.0, -0.5]",True,True,0.011035641133966918,0.03899945560714037,0.011946886051909786,0.5428571428571429,0.5428571428571429
staircase_5,0.0075,"[0.5, 1.0, 0.0, -1.0, -0.5]",True,False,0.016479863482020445,0.058344150646030005,0.018021808221026964,0.8785714285714286,0.7571428571428571
staircase_5,0.01,"[0.5, 1.0, 0.0, -1.0, -0.5]",True,False,0.021262726602350297,0.0760548863131398,0.02413897824944263,0.9357142857142857,0.8714285714285714
staircase_5,0.015,"[0.5, 1.0, 0.0, -1.0, -0.5]",True,False,0.030141654574683353,0.10769819175831086,0.03617762965820315,0.9357142857142857,0.8714285714285714
prbs_6,0.0025,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0]",True,True,0.01016894473992473,0.039497226106533896,0.010013806521360595,0.5428571428571429,0.5428571428571429
prbs_6,0.005,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0]",True,False,0.02141627999555319,0.08120634150148905,0.020464585691637307,0.7428571428571429,0.7428571428571429
prbs_6,0.0075,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0]",True,False,0.03339150857377357,0.12446483649816871,0.031196264081384713,0.8785714285714286,0.8714285714285714
prbs_6,0.01,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0]",True,False,0.0502761081884414,0.17225369156784462,0.041139974555985025,0.9357142857142857,0.8714285714285714
prbs_6,0.015,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0]",True,False,0.09484487418101988,0.2690310839732631,0.06526036044767825,0.9357142857142857,0.8714285714285714
