time_s,domain,observer_warmed,action_issued,command_violation,component_reconstruction_error,probe_active,probe_triggered,certificate_valid,certificate_revoked,certificate_source,certificate_retained_models,contract_norm_pu,certified_norm_pu,probe_norm_pu,attempted_optimization_calls,solver_status,solve_time_s,restoration_used,fallback_used,mathematical_infeasibility,numerical_failure,shared_current_action_verified,surplus_loss_branch_verified,predicted_state_steps,predicted_input_steps,predicted_energy_steps,actual_action_committed
0.0,SUSTAINABLE,False,True,False,0.0,False,False,False,False,NONE,0,2.1182710996494756e-06,1.950909251916278e-15,0.0,1,optimal,0.1888189000001148,False,False,False,False,True,True,4,3,4,True
2.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,2.1797549544704744e-05,2.2344856045663483e-15,0.0,1,optimal,0.17647440000109782,False,False,False,False,True,True,4,3,4,True
4.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,5.3204294079856686e-05,7.709336854470567e-16,0.0,1,optimal,0.18338110000149754,False,False,False,False,True,True,4,3,4,True
6.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,6.079017149005371e-05,1.8447806934575584e-16,0.0,1,optimal,0.18741229999977804,False,False,False,False,True,True,4,3,4,True
8.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,6.559849590922073e-05,3.2720495276314737e-19,0.0,1,optimal,0.1365315000002738,False,False,False,False,True,True,4,3,4,True
10.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,7.045742392557546e-05,7.398184174370814e-16,0.0,1,optimal,0.13437689999955182,False,False,False,False,True,True,4,3,4,True
12.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,6.954927478428438e-05,1.7115658346660794e-16,0.0,1,optimal,0.13273990000016056,False,False,False,False,True,True,4,3,4,True
14.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,7.137968602538424e-05,6.387727286954562e-20,0.0,1,optimal,0.13484669999888865,False,False,False,False,True,True,4,3,4,True
16.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,7.320844945845336e-05,3.49902555012429e-19,0.0,1,optimal,0.14301650000015798,False,False,False,False,True,True,4,3,4,True
18.0,SUSTAINABLE,True,True,False,0.0,False,False,False,False,NONE,0,7.483745235217602e-05,3.045765720139103e-16,0.0,1,optimal,0.130742299999838,False,False,False,False,True,True,4,3,4,True
