power_pu,ramp_pu_per_s,delay_s,incremental_frequency_peak_hz,incremental_ace_fraction,incremental_tie_fraction,hard_violation,safe
0.045,0.025,0.2,0.004958334714808067,0.018558329724612407,0.006712982166687861,False,True
0.045,0.025,0.8,0.004958334714808064,0.018558329724612414,0.006712982166687859,False,True
0.045,0.025,1.5,0.004958334714808074,0.01855832972461242,0.0067129821666878685,False,True
0.045,0.04,0.2,0.00495833471480807,0.018558329724612445,0.0067129821666878685,False,True
0.045,0.04,0.8,0.00495833471480804,0.018558329724612382,0.006712982166687859,False,True
0.045,0.04,1.5,0.004958334714808045,0.01855832972461252,0.006712982166687905,False,True
0.045,0.06,0.2,0.00495833471480806,0.018558329724612393,0.006712982166687878,False,True
0.045,0.06,0.8,0.004958334714808093,0.01855832972461246,0.006712982166687864,False,True
0.045,0.06,1.5,0.004958334714808086,0.01855832972461244,0.006712982166687862,False,True
0.05,0.025,0.2,0.003955807115195478,0.013069175721506855,0.004586323237085452,False,True
0.05,0.025,0.8,0.003955689283953086,0.013514581773936808,0.004813873340777826,False,True
0.05,0.025,1.5,0.004671385664880204,0.017816052055456794,0.005959667783674197,False,True
0.05,0.04,0.2,0.003955826607805704,0.013068816467335473,0.0045863371501218084,False,True
0.05,0.04,0.8,0.00395583397442714,0.01351465843969405,0.004813866528493623,False,True
0.05,0.04,1.5,0.004671404179251338,0.017816203223856138,0.005959604428309943,False,True
0.05,0.06,0.2,0.003955676605166889,0.013068513674362826,0.004586391036432363,False,True
0.05,0.06,0.8,0.003955895438631958,0.013514630782460249,0.004813885921149285,False,True
0.05,0.06,1.5,0.004671414795729905,0.0178162810769723,0.005959584465199831,False,True
0.065,0.025,0.2,0.002259048044983521,0.007701525110583168,0.002280594741805363,False,True
0.065,0.025,0.8,0.0031445165281400525,0.010037151477589212,0.002946501358784449,False,True
0.065,0.025,1.5,0.0055161001310200545,0.0194997278035702,0.0056743533811990715,False,True
0.065,0.04,0.2,0.0022590480449835183,0.007701525110583181,0.002280594741805362,False,True
0.065,0.04,0.8,0.003144516528140035,0.010037151477589183,0.002946501358784431,False,True
0.065,0.04,1.5,0.005516100131020061,0.019499727803570174,0.0056743533811990585,False,True
0.065,0.06,0.2,0.002259048044983517,0.007701525110583172,0.0022805947418053653,False,True
0.065,0.06,0.8,0.003144516528140092,0.010037151477589249,0.0029465013587844638,False,True
0.065,0.06,1.5,0.005516100131020061,0.019499727803570236,0.005674353381199086,False,True
0.08,0.025,0.2,0.002259048044983521,0.007701525110583168,0.002280594741805363,False,True
0.08,0.025,0.8,0.0031445165281400525,0.010037151477589212,0.002946501358784449,False,True
0.08,0.025,1.5,0.0055161001310200545,0.0194997278035702,0.0056743533811990715,False,True
0.08,0.04,0.2,0.0022590480449835183,0.007701525110583181,0.002280594741805362,False,True
0.08,0.04,0.8,0.003144516528140035,0.010037151477589183,0.002946501358784431,False,True
0.08,0.04,1.5,0.005516100131020061,0.019499727803570174,0.0056743533811990585,False,True
0.08,0.06,0.2,0.002259048044983517,0.007701525110583172,0.0022805947418053653,False,True
0.08,0.06,0.8,0.003144516528140092,0.010037151477589249,0.0029465013587844638,False,True
0.08,0.06,1.5,0.005516100131020061,0.019499727803570236,0.005674353381199086,False,True
