scenario_id,split,seed,design_cell,plant,mechanism,capability_mechanism,sg_tension,period_s,control_period_s,condition,duration_s,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,timing_relation,initial_soc,initial_soc_area1,initial_soc_area2,noise_std_hz,jitter_s,dropout_probability,probe_eligible,known_ood,contract_status,materiality_positive,factor_assignment,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,delivered_branch_weight
A6-D-00,development,240,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,180.0,80.0,70.0,area0,1.0,0.0744,before,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,contract_only_recourse_mpc,True,0.3151161182115302,1.1164596468746872,0.205194165557479,0.2534436692226224,3.8972707099300608,True,False,False,False,91,91,0,0,0,0.3010587000004305,True,0,0,0,0.0,5.506030723132375e-13,False,False,0.05
A6-D-00,development,240,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,180.0,80.0,70.0,area0,1.0,0.0744,before,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,accr_mpc,True,0.3635139610742567,1.8035049290581848,0.1828529414940089,0.4072544341551232,5.445447747351628,True,False,False,False,91,91,0,0,0,0.3161579400006302,True,2,1,16,0.06,0.235615084489673,False,False,0.05
A6-D-00,development,240,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,180.0,80.0,70.0,area0,1.0,0.0744,before,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,perfect_capability_recourse_oracle,True,0.3150955004560566,1.1184563564877716,0.2108124647976436,0.2592444412700825,4.134727588656908,True,False,False,False,91,91,0,0,0,0.3145799999998407,True,0,0,0,0.0,0.078979873852349,False,True,0.05
A6-D-01,development,241,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,180.0,83.0,93.0,both,1.0,0.0744,after,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,contract_only_recourse_mpc,True,0.4535827915339938,2.157390299461704,0.1038084798809341,0.4022320542798616,4.586414290027368,True,False,False,False,46,46,0,0,0,0.271209615000589,True,0,0,0,0.0,6.716622333062059e-13,False,False,0.05
A6-D-01,development,241,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,180.0,83.0,93.0,both,1.0,0.0744,after,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,accr_mpc,True,0.4535842858420908,2.1128666831097727,0.1869722379652243,0.4435966468868118,5.974861236801812,True,False,False,False,46,46,0,0,0,0.2034086700008628,True,1,1,12,0.11,0.2611989416462774,False,False,0.05
A6-D-01,development,241,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,180.0,83.0,93.0,both,1.0,0.0744,after,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,perfect_capability_recourse_oracle,True,0.4535880311953037,2.1574381939392437,0.1044006153874432,0.4069058014678305,4.736325216421155,True,False,False,False,46,46,0,0,0,0.2186745350010823,True,0,0,0,0.0,0.0491660709269615,False,True,0.05
A6-D-02,development,242,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,known,180.0,86.0,86.0,area1,1.0,0.0557999999999999,simultaneous,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,contract_only_recourse_mpc,True,0.2397290202042397,0.8452768884919032,0.168678538436985,0.1958796863585566,2.3449052914309414,True,False,False,False,91,91,0,0,0,0.2248094200000194,True,0,0,0,0.0,2.381251662926083e-13,False,False,0.05
A6-D-02,development,242,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,known,180.0,86.0,86.0,area1,1.0,0.0557999999999999,simultaneous,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,accr_mpc,True,0.2396752725943098,1.0119372032120748,0.2372259659252435,0.3401700837894078,5.31256070159313,True,False,False,False,91,91,2,0,0,0.2832848499991085,True,2,1,16,0.06,0.2104665113739261,False,False,0.05
A6-D-02,development,242,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,known,180.0,86.0,86.0,area1,1.0,0.0557999999999999,simultaneous,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,perfect_capability_recourse_oracle,True,0.2397168510665036,0.8485488600530362,0.1727565530074931,0.199882680991036,2.472212440017657,True,False,False,False,91,91,2,0,0,0.2199326400015705,True,0,0,0,0.0,0.0484613281136185,False,True,0.05
A6-D-03,development,243,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,known,180.0,89.0,79.0,both,1.0,0.0557999999999999,before,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,contract_only_recourse_mpc,True,0.327350812477553,1.6493414283458143,0.0695545621149342,0.272992508722285,4.094093238006206,True,False,False,False,46,46,0,0,0,0.2349546549976366,True,0,0,0,0.0,2.2766242085427583e-13,False,False,0.05
A6-D-03,development,243,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,known,180.0,89.0,79.0,both,1.0,0.0557999999999999,before,0.5,0.5,0.5,0.0,0.0,0.0,True,known,WITHIN_CONTRACT,True,explicit_crossed_development_design,accr_mpc,True,0.3273503316031316,1.8781278389031093,0.171152062328091,0.4443996578479349,5.5787097405207975,True,False,False,False,46,46,1,0,0,0.2223205400003279,True,1,1,11,0.09,0.2384835192627713,False,False,0.05
