scenario_id,split,seed,design_cell,plant,control_period_s,sg_tension,capability_mechanism,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,initial_soc_area1,initial_soc_area2,noise_std_hz,jitter_s,dropout_probability,probe_eligible,known_ood,contract_status,materiality_positive,evaluation_status,final_seed_consumed
A7-F-PLANNED-000,final,400,PLANNED_CROSS_PLANT|power_drop|low|2,PLANNED_CROSS_PLANT,2.0,low,power_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,True,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-001,final,401,PLANNED_CROSS_PLANT|ramp_drop|low|2,PLANNED_CROSS_PLANT,2.0,low,ramp_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,False,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-002,final,402,PLANNED_CROSS_PLANT|power_drop|high|2,PLANNED_CROSS_PLANT,2.0,high,power_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,True,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-003,final,403,PLANNED_CROSS_PLANT|ramp_drop|high|2,PLANNED_CROSS_PLANT,2.0,high,ramp_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,False,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-004,final,404,PLANNED_CROSS_PLANT|power_drop|low|4,PLANNED_CROSS_PLANT,4.0,low,power_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,True,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-005,final,405,PLANNED_CROSS_PLANT|ramp_drop|low|4,PLANNED_CROSS_PLANT,4.0,low,ramp_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,False,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-006,final,406,PLANNED_CROSS_PLANT|power_drop|high|4,PLANNED_CROSS_PLANT,4.0,high,power_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,True,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-007,final,407,PLANNED_CROSS_PLANT|ramp_drop|high|4,PLANNED_CROSS_PLANT,4.0,high,ramp_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,known,PRELOCKED_NOT_REALIZED,False,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-008,final,408,PLANNED_CROSS_PLANT|power_drop|low|2,PLANNED_CROSS_PLANT,2.0,low,power_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,OOD,PRELOCKED_NOT_REALIZED,True,NOT_EVALUATED_BY_A6_STOP,False
A7-F-PLANNED-009,final,409,PLANNED_CROSS_PLANT|ramp_drop|low|2,PLANNED_CROSS_PLANT,2.0,low,ramp_drop,,,PRELOCKED_NOT_REALIZED,,,,,,,,,OOD,PRELOCKED_NOT_REALIZED,False,NOT_EVALUATED_BY_A6_STOP,False
