scenario_id,plant,time_s,certificate_issue,false_optimism,mechanism,condition,timing_relation,value_region
D5-M2-A-000,A_full_nonlinear,112.0,1,False,power_drop,known,before,HIGH_VALUE_CANDIDATE
D5-M2-A-002,A_full_nonlinear,138.0,1,False,power_drop,OOD,after,HIGH_VALUE_CANDIDATE
D5-M2-A-004,A_full_nonlinear,124.0,1,False,power_drop,known,simultaneous,HIGH_VALUE_CANDIDATE
D5-M2-A-006,A_full_nonlinear,116.0,1,True,power_drop,OOD,before,HIGH_VALUE_CANDIDATE
D5-M2-A-008,A_full_nonlinear,162.0,1,False,power_drop,known,after,HIGH_VALUE_CANDIDATE
D5-M2-A-010,A_full_nonlinear,124.0,1,False,power_drop,OOD,simultaneous,HIGH_VALUE_CANDIDATE
D5-M2-A-012,A_full_nonlinear,132.0,1,True,power_drop,known,before,HIGH_VALUE_CANDIDATE
D5-M2-A-014,A_full_nonlinear,168.0,1,False,power_drop,OOD,after,HIGH_VALUE_CANDIDATE
D5-M2-A-016,A_full_nonlinear,120.0,1,False,ramp_drop,known,simultaneous,HIGH_VALUE_CANDIDATE
D5-M2-A-018,A_full_nonlinear,102.0,1,False,ramp_drop,OOD,before,HIGH_VALUE_CANDIDATE
D5-M2-A-020,A_full_nonlinear,144.0,1,False,ramp_drop,known,after,HIGH_VALUE_CANDIDATE
D5-M2-A-022,A_full_nonlinear,140.0,1,False,ramp_drop,OOD,simultaneous,HIGH_VALUE_CANDIDATE
D5-M2-A-024,A_full_nonlinear,134.0,1,False,ramp_drop,known,before,HIGH_VALUE_CANDIDATE
D5-M2-A-026,A_full_nonlinear,152.0,1,False,ramp_drop,OOD,after,HIGH_VALUE_CANDIDATE
D5-M2-A-028,A_full_nonlinear,128.0,1,False,ramp_drop,known,simultaneous,HIGH_VALUE_CANDIDATE
D5-M2-A-030,A_full_nonlinear,140.0,1,True,ramp_drop,OOD,before,HIGH_VALUE_CANDIDATE
D5-M2-A-032,A_full_nonlinear,138.0,1,False,delay_drop,known,after,HIGH_VALUE_CANDIDATE
D5-M2-A-036,A_full_nonlinear,108.0,1,True,delay_drop,known,before,HIGH_VALUE_CANDIDATE
D5-M2-A-040,A_full_nonlinear,142.0,1,False,delay_drop,known,simultaneous,HIGH_VALUE_CANDIDATE
D5-M2-A-042,A_full_nonlinear,112.0,1,False,delay_drop,OOD,before,HIGH_VALUE_CANDIDATE
D5-M2-A-044,A_full_nonlinear,160.0,1,False,delay_drop,known,after,HIGH_VALUE_CANDIDATE
