scenario_id,split,seed,design_cell,plant,mechanism,capability_mechanism,sg_tension,period_s,control_period_s,condition,known_ood,duration_s,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,timing_relation,initial_soc,initial_soc_area1,initial_soc_area2,value_region,probe_worthwhile_preregistered,contract_violation,contract_status,factor_assignment,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,voi_decision_calls,voi_worthwhile_calls,voi_abstention_calls,voi_probe_triggers,candidate_diameter_reduction_mean,candidate_diameter_reduction_max,passive_certificate_renewals,maximum_unmetered_responsibility_jump_pu,probe_aborts_on_change,native_network,native_converged,algebraic_power_balance_p99_pu
D5-M2-A-000,validation,5300,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.63124258222952,101.63124258222952,area0,1,0.0744,before,0.42,0.42,0.42,HIGH_VALUE_CANDIDATE,True,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,contract_only_recourse_mpc,True,0.316936908409038,1.068496156960172,0.184468281972403,0.2187486653197741,2.1617722846511342,True,False,False,False,151,151,0,0,0,0.0856057999990298,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0,,,
D5-M2-A-000,validation,5300,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.63124258222952,101.63124258222952,area0,1,0.0744,before,0.42,0.42,0.42,HIGH_VALUE_CANDIDATE,True,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,voi_accr_mpc,True,0.316936908409038,1.032819919850343,0.1715265858736384,0.2020382359467031,2.846624518596745,True,False,False,False,151,159,0,0,0,0.165786499997921,True,1,1,3,0.02,0.0,False,False,151,1,148,1,0.5,0.5,0,2.1684043449710093e-18,0,,,
D5-M2-A-000,validation,5300,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.63124258222952,101.63124258222952,area0,1,0.0744,before,0.42,0.42,0.42,HIGH_VALUE_CANDIDATE,True,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,perfect_capability_recourse_oracle,True,0.3182814644563919,1.0586120194319222,0.1731555696818334,0.2034485288206793,2.9908143971490784,True,False,False,False,151,151,0,0,0,0.0863988499986589,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0,,,
D5-M2-A-001,validation,5301,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,600.0,122.12630634598018,122.12630634598018,area0,1,0.02,simultaneous,0.5,0.5,0.5,LOW_VALUE_CONTROL,False,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,contract_only_recourse_mpc,True,0.0525606885614711,0.1629224840149513,0.0294548996865935,0.0664506670884932,0.0195890181994342,True,False,False,False,301,301,0,0,0,0.0812390999999479,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0,,,
D5-M2-A-001,validation,5301,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,600.0,122.12630634598018,122.12630634598018,area0,1,0.02,simultaneous,0.5,0.5,0.5,LOW_VALUE_CONTROL,False,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,voi_accr_mpc,True,0.0525606885614711,0.1629224840149513,0.0294548996865935,0.0664506670884932,0.0195890181994342,True,False,False,False,301,301,0,0,0,0.0852535999947576,True,0,0,0,0.0,0.0,False,False,301,0,301,0,0.0,0.0,0,0.0,0,,,
D5-M2-A-001,validation,5301,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,600.0,122.12630634598018,122.12630634598018,area0,1,0.02,simultaneous,0.5,0.5,0.5,LOW_VALUE_CONTROL,False,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,perfect_capability_recourse_oracle,True,0.0525609673388718,0.1629455353108388,0.0294790644265837,0.0664693072521641,0.0195993892274584,True,False,False,False,301,301,0,0,0,0.0778758000014931,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0,,,
D5-M2-A-002,validation,5302,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,OOD,OOD,300.0,116.072649042756,130.072649042756,area1,1,0.0744,after,0.58,0.58,0.58,HIGH_VALUE_CANDIDATE,True,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,contract_only_recourse_mpc,True,0.3194438853918422,1.0872135778017602,0.2038632249547297,0.2242828021348822,1.8970799408463197,True,False,False,False,151,151,0,0,0,0.0850235500001872,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0,,,
D5-M2-A-002,validation,5302,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,OOD,OOD,300.0,116.072649042756,130.072649042756,area1,1,0.0744,after,0.58,0.58,0.58,HIGH_VALUE_CANDIDATE,True,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,voi_accr_mpc,True,0.3194438853918422,1.0937062058288691,0.20445114568558,0.2314608913390465,1.905834463458809,True,False,False,False,151,155,0,0,0,0.087206199998036,True,1,1,3,0.02,0.0,False,False,151,1,148,1,0.5,0.5,0,2.1684043449710093e-18,0,,,
D5-M2-A-002,validation,5302,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,OOD,OOD,300.0,116.072649042756,130.072649042756,area1,1,0.0744,after,0.58,0.58,0.58,HIGH_VALUE_CANDIDATE,True,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,perfect_capability_recourse_oracle,True,0.3194440857682919,1.0872395732596172,0.2038797255943906,0.2243003831714087,1.8970298112601405,True,False,False,False,151,151,0,0,0,0.0882132000006095,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0,,,
D5-M2-A-003,validation,5303,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,OOD,OOD,600.0,118.30972567986142,104.30972567986142,area1,1,0.02,before,0.42,0.42,0.42,LOW_VALUE_CONTROL,False,False,WITHIN_CONTRACT,M2_LOCKED_CROSSED_VALUE_REGION_INDEPENDENT_SEEDS,contract_only_recourse_mpc,True,0.0557840901570868,0.1545057834032205,0.0234624919353392,0.0664160681945648,0.0189036488498782,True,False,False,False,301,301,0,0,0,0.0833941000018967,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0,,,
