plant,mechanism,condition,period_s,value_region,scenario_count,probed_scenarios,ace_aggregate_improvement,tie_aggregate_improvement,sg_mileage_aggregate_improvement,frequency_delta_max_hz,candidate_reduction_mean
A_full_nonlinear,delay_drop,OOD,2.0,HIGH_VALUE_CANDIDATE,2,2,0.005612617677258619,0.017399406422293238,0.008823592948478717,0.0,0.25
A_full_nonlinear,delay_drop,OOD,2.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,delay_drop,OOD,4.0,HIGH_VALUE_CANDIDATE,2,2,-0.0002953506764230963,-0.002205165473794335,-0.021097284979126107,0.0,0.0
A_full_nonlinear,delay_drop,OOD,4.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,delay_drop,known,2.0,HIGH_VALUE_CANDIDATE,2,2,-0.002288775480933235,-0.01173437771984807,-0.00924023930572633,0.0,0.5
A_full_nonlinear,delay_drop,known,2.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,delay_drop,known,4.0,HIGH_VALUE_CANDIDATE,2,2,-0.01415522086393323,-0.017424157454939544,-0.050457524171996754,0.0,0.5
A_full_nonlinear,delay_drop,known,4.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,power_drop,OOD,2.0,HIGH_VALUE_CANDIDATE,2,2,-0.0027638850294135074,-0.014212677368052817,-0.021372362877169353,0.0,0.5
A_full_nonlinear,power_drop,OOD,2.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,power_drop,OOD,4.0,HIGH_VALUE_CANDIDATE,2,2,-0.010120180016036526,-0.013517163561413846,-0.054409551133189,0.0,0.5
A_full_nonlinear,power_drop,OOD,4.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,power_drop,known,2.0,HIGH_VALUE_CANDIDATE,2,2,0.020986270314143376,0.04810362119091941,0.03564188791854396,0.0,0.5
A_full_nonlinear,power_drop,known,2.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,power_drop,known,4.0,HIGH_VALUE_CANDIDATE,2,2,-0.0017319258683776003,-0.011807496948291423,-0.0484071283871389,0.0,0.5
A_full_nonlinear,power_drop,known,4.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,ramp_drop,OOD,2.0,HIGH_VALUE_CANDIDATE,2,2,0.010881631624434406,0.029019311562056383,0.02089615550489641,0.0,0.5
A_full_nonlinear,ramp_drop,OOD,2.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,ramp_drop,OOD,4.0,HIGH_VALUE_CANDIDATE,2,2,-0.005425581484724449,-0.0289111363276333,-0.03171173177922554,0.0,0.5
A_full_nonlinear,ramp_drop,OOD,4.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,ramp_drop,known,2.0,HIGH_VALUE_CANDIDATE,2,2,0.005797000173990976,0.018355432529222504,0.01035677374689439,0.0,0.5
A_full_nonlinear,ramp_drop,known,2.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
A_full_nonlinear,ramp_drop,known,4.0,HIGH_VALUE_CANDIDATE,2,2,-0.0012151161562137143,-0.0019807326924205994,-0.0108823876360895,0.0,0.5
A_full_nonlinear,ramp_drop,known,4.0,LOW_VALUE_CONTROL,2,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,delay_drop,OOD,4.0,HIGH_VALUE_CANDIDATE,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,delay_drop,OOD,4.0,LOW_VALUE_CONTROL,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,delay_drop,known,2.0,HIGH_VALUE_CANDIDATE,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,delay_drop,known,2.0,LOW_VALUE_CONTROL,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,power_drop,OOD,4.0,HIGH_VALUE_CANDIDATE,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,power_drop,OOD,4.0,LOW_VALUE_CONTROL,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,power_drop,known,2.0,HIGH_VALUE_CANDIDATE,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,power_drop,known,2.0,LOW_VALUE_CONTROL,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,ramp_drop,OOD,2.0,HIGH_VALUE_CANDIDATE,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,ramp_drop,OOD,2.0,LOW_VALUE_CONTROL,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,ramp_drop,known,4.0,HIGH_VALUE_CANDIDATE,1,0,0.0,0.0,0.0,0.0,0.0
B_native_ANDES_Kundur,ramp_drop,known,4.0,LOW_VALUE_CONTROL,1,0,0.0,0.0,0.0,0.0,0.0
