scenario_id,seed,design_cell,plant,mechanism,sg_tension,period_s,condition,timing_relation,value_region,probe_worthwhile_preregistered,physical_success__contract_only_recourse_mpc,physical_success__voi_accr_mpc,physical_success__perfect_capability_recourse_oracle,frequency_peak_hz__contract_only_recourse_mpc,frequency_peak_hz__voi_accr_mpc,frequency_peak_hz__perfect_capability_recourse_oracle,ace_iae_pu_s__contract_only_recourse_mpc,ace_iae_pu_s__voi_accr_mpc,ace_iae_pu_s__perfect_capability_recourse_oracle,tie_iae_pu_s__contract_only_recourse_mpc,tie_iae_pu_s__voi_accr_mpc,tie_iae_pu_s__perfect_capability_recourse_oracle,sg_mechanical_mileage_pu__contract_only_recourse_mpc,sg_mechanical_mileage_pu__voi_accr_mpc,sg_mechanical_mileage_pu__perfect_capability_recourse_oracle,hard_violation__contract_only_recourse_mpc,hard_violation__voi_accr_mpc,hard_violation__perfect_capability_recourse_oracle,fallback_calls__contract_only_recourse_mpc,fallback_calls__voi_accr_mpc,fallback_calls__perfect_capability_recourse_oracle,controller_calls__contract_only_recourse_mpc,controller_calls__voi_accr_mpc,controller_calls__perfect_capability_recourse_oracle,probe_command_l1_pu_s__contract_only_recourse_mpc,probe_command_l1_pu_s__voi_accr_mpc,probe_command_l1_pu_s__perfect_capability_recourse_oracle,voi_probe_triggers__contract_only_recourse_mpc,voi_probe_triggers__voi_accr_mpc,voi_probe_triggers__perfect_capability_recourse_oracle,candidate_diameter_reduction_max__contract_only_recourse_mpc,candidate_diameter_reduction_max__voi_accr_mpc,candidate_diameter_reduction_max__perfect_capability_recourse_oracle,p99_solve_time_s__contract_only_recourse_mpc,p99_solve_time_s__voi_accr_mpc,p99_solve_time_s__perfect_capability_recourse_oracle,paired_absolute_improvement__frequency_peak_hz,oracle_absolute_value__frequency_peak_hz,paired_absolute_improvement__ace_iae_pu_s,oracle_absolute_value__ace_iae_pu_s,paired_absolute_improvement__tie_iae_pu_s,oracle_absolute_value__tie_iae_pu_s,paired_absolute_improvement__sg_mechanical_mileage_pu,oracle_absolute_value__sg_mechanical_mileage_pu
D5-M2-A-000,5300,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,low,2.0,known,before,HIGH_VALUE_CANDIDATE,True,True,True,True,0.316936908409038,0.316936908409038,0.3182814644563919,1.068496156960172,1.032819919850343,1.0586120194319222,0.184468281972403,0.1715265858736384,0.1731555696818334,0.2187486653197741,0.2020382359467031,0.2034485288206793,False,False,False,0,0,0,151,151,151,0.0,0.02,0.0,0,1,0,0.0,0.5,0.0,0.0856057999990298,0.165786499997921,0.0863988499986589,0.0,-0.0013445560473538953,0.035676237109829145,0.009884137528249903,0.01294169609876461,0.011312712290569599,0.016710429373071017,0.015300136499094813
D5-M2-A-001,5301,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,low,2.0,known,simultaneous,LOW_VALUE_CONTROL,False,True,True,True,0.0525606885614711,0.0525606885614711,0.0525609673388718,0.1629224840149513,0.1629224840149513,0.1629455353108388,0.0294548996865935,0.0294548996865935,0.0294790644265837,0.0664506670884932,0.0664506670884932,0.0664693072521641,False,False,False,0,0,0,301,301,301,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0812390999999479,0.0852535999947576,0.0778758000014931,0.0,-2.787774006987598e-07,0.0,-2.3051295887505097e-05,0.0,-2.416473999020119e-05,0.0,-1.8640163670896603e-05
D5-M2-A-002,5302,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,low,2.0,OOD,after,HIGH_VALUE_CANDIDATE,True,True,True,True,0.3194438853918422,0.3194438853918422,0.3194440857682919,1.0872135778017602,1.0937062058288691,1.0872395732596172,0.2038632249547297,0.20445114568558,0.2038797255943906,0.2242828021348822,0.2314608913390465,0.2243003831714087,False,False,False,0,0,0,151,151,151,0.0,0.02,0.0,0,1,0,0.0,0.5,0.0,0.0850235500001872,0.087206199998036,0.0882132000006095,0.0,-2.0037644971049318e-07,-0.0064926280271089265,-2.5995457856975435e-05,-0.0005879207308503165,-1.65006396609102e-05,-0.007178089204164295,-1.7581036526520544e-05
D5-M2-A-003,5303,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,low,2.0,OOD,before,LOW_VALUE_CONTROL,False,True,True,True,0.0557840901570868,0.0557840901570868,0.055784316387303,0.1545057834032205,0.1545057834032205,0.1537052960550146,0.0234624919353392,0.0234624919353392,0.0232132707144277,0.0664160681945648,0.0664160681945648,0.0666289054409176,False,False,False,0,0,0,301,301,301,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0833941000018967,0.078541299997596,0.0809063000051537,0.0,-2.2623021619927464e-07,0.0,0.0008004873482058972,0.0,0.00024922122091150176,0.0,-0.00021283724635279277
D5-M2-A-004,5304,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,low,4.0,known,simultaneous,HIGH_VALUE_CANDIDATE,True,True,True,True,0.4536565642316012,0.4536565642316012,0.4536565693242468,2.3500326199220978,2.3418752592284875,2.3500908941120606,0.0964844880899228,0.0934000359555803,0.0964813148283347,0.3592911884528828,0.361181647207752,0.3593034035378149,False,False,False,0,0,0,76,76,76,0.0,0.04,0.0,0,1,0,0.0,0.5,0.0,0.0812515999987226,0.1308976749987778,0.0815813250028441,0.0,-5.092645583015809e-09,0.008157360693610283,-5.8274189962848055e-05,0.003084452134342497,3.173261588093612e-06,-0.001890458754869151,-1.2215084932098996e-05
D5-M2-A-005,5305,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,low,4.0,known,after,LOW_VALUE_CONTROL,False,True,True,True,0.0695330376893415,0.0695330376893415,0.0695274131539683,0.3932733529518293,0.3932733529518293,0.3905165497848537,0.0193408069751662,0.0193408069751662,0.0192511470074559,0.1214618073398121,0.1214618073398121,0.1194429370321104,False,False,False,0,0,0,151,151,151,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0841762499985634,0.0795575999982247,0.0799624999963271,0.0,5.624535373199846e-06,0.0,0.00275680316697563,0.0,8.965996771029966e-05,0.0,0.0020188703077017034
D5-M2-A-006,5306,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,low,4.0,OOD,before,HIGH_VALUE_CANDIDATE,True,True,True,True,0.3152243400662469,0.3152243400662469,0.3153336045664646,1.3545378454396542,1.3781173514432243,1.31976340435542,0.3094173087813375,0.3179578309887773,0.297981841462074,0.2841730624657361,0.3040962740142607,0.2775359788894073,False,False,False,0,0,0,76,76,76,0.0,0.04,0.0,0,1,0,0.0,0.5,0.0,0.0836911250007688,0.2648002999940217,0.079805250003119,0.0,-0.0001092645002176984,-0.023579506003570172,0.03477444108423411,-0.008540522207439782,0.011435467319263481,-0.01992321154852461,0.006637083576328806
D5-M2-A-007,5307,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,low,4.0,OOD,simultaneous,LOW_VALUE_CONTROL,False,True,True,True,0.0525612230703192,0.0525612230703192,0.0525612306056606,0.2037285727479498,0.2037285727479498,0.2037716556441626,0.0486007844416034,0.0486007844416034,0.0486008441994496,0.0851554552655098,0.0851554552655098,0.085177713204282,False,False,False,0,0,0,151,151,151,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0801164000040444,0.0832870499980344,0.0823792999981378,0.0,-7.53534139946721e-09,0.0,-4.308289621279826e-05,0.0,-5.975784619915991e-08,0.0,-2.2257938772196617e-05
D5-M2-A-008,5308,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,high,2.0,known,after,HIGH_VALUE_CANDIDATE,True,True,True,True,0.23800754117758,0.23800754117758,0.2380115380411161,0.7669384336104332,0.7640957442586185,0.7669905397362671,0.152852230263619,0.149567588221855,0.152874682915956,0.1700470013054859,0.1729000191054839,0.1700551758906212,False,False,False,0,0,0,151,151,151,0.0,0.02,0.0,0,1,0,0.0,0.5,0.0,0.0760472499969182,0.1591175000030489,0.0877958999953989,0.0,-3.99686353610984e-06,0.0028426893518147534,-5.2106125833839556e-05,0.0032846420417639854,-2.2452652336996115e-05,-0.0028530177999979978,-8.174585135301005e-06
D5-M2-A-009,5309,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,high,2.0,known,before,LOW_VALUE_CONTROL,False,True,True,True,0.0576594707387419,0.0576594707387419,0.0576596837748898,0.1702494274866207,0.1702494274866207,0.1694763428106344,0.0266772866875766,0.0266772866875766,0.0259880930306305,0.0586876761860301,0.0586876761860301,0.0580793901228687,False,False,False,0,0,0,301,301,301,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0874533000023802,0.0819266000034986,0.0729575000004842,0.0,-2.1303614790302294e-07,0.0,0.0007730846759863019,0.0,0.0006891936569461028,0.0,0.0006082860631613993
