plant,voi_reason,cycle_count,scenario_count,probe_triggers
A_full_nonlinear,ACTIVE_PROBE_IN_PROGRESS,56,28,0
A_full_nonlinear,ALREADY_PROBED_THIS_CHANGE_EPOCH,1861,28,0
A_full_nonlinear,CERTIFICATE_VALID,40,25,0
A_full_nonlinear,NONPOSITIVE_NET_VOI,28,20,0
A_full_nonlinear,NOT_DECISION_RELEVANT,6425,53,0
A_full_nonlinear,OBSERVER_WARMUP,1215,53,0
A_full_nonlinear,POSITIVE_NET_VOI,28,28,28
B_native_ANDES_Kundur,CANDIDATES_NOT_DISTINGUISHABLE,123,4,0
B_native_ANDES_Kundur,CHANGE_RESET_COOLDOWN,60,3,0
B_native_ANDES_Kundur,NOT_DECISION_RELEVANT,1584,12,0
B_native_ANDES_Kundur,OBSERVER_WARMUP,270,12,0
