factor,level,scenarios,probed_scenarios,voi_ace_improvement,voi_tie_improvement,oracle_ace_improvement,oracle_tie_improvement
plant,A_full_nonlinear,24,24,-0.0003278816371257313,-0.001289804311777593,0.004775276779556036,0.023560510005951735
plant,B_native_ANDES_Kundur,6,0,0.0,0.0,0.0065025138628820745,0.007787577861672277
condition,OOD,15,12,-0.0006064558265721757,-0.002163185974501278,0.0038771437295404922,0.01338411876738189
condition,known,15,12,0.00019464562317992234,0.0007432710068532105,0.006922776534896532,0.02064787380309327
mechanism,delay_drop,10,8,-0.0012270869871010212,-0.0030002976447970897,0.011711599648884158,0.01741437999563449
mechanism,power_drop,10,8,5.513958333828909e-05,0.0005039426047241009,0.004115910066426919,0.020108826016239516
mechanism,ramp_drop,10,8,0.0006896488216083274,0.0009503783902109304,0.0010700775076899623,0.0065021794883275
timing_relation,after,10,8,-0.0012922348132448486,0.0018384496070761693,0.0018931121948894134,0.002101553209443895
timing_relation,before,10,8,-0.0005406972322642147,-0.0029593688398844623,0.014878458220502001,0.04910975793352363
timing_relation,simultaneous,10,8,0.0008889917371363368,-0.004584727780565824,0.00017180774525520168,0.0019784348012358587
period_s,2.0,15,12,0.002917645471300812,0.008238291174764972,0.006723912920120443,0.01850659468227401
period_s,4.0,15,12,-0.0023354289765441763,-0.004494158041620528,0.004878950264418625,0.012275487357600583
sg_tension,high,12,12,-0.0008125655197837692,-0.004685256533663781,0.004315519386228619,0.026236140833931974
sg_tension,low,18,12,1.1674294384635223e-05,0.00032789589545776954,0.005999462937275531,0.01175083232395531
