scenario_id,split,seed,design_cell,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,initial_soc,factor_assignment
R1-A-000,development,0,power_drop|low,A_full_nonlinear,power_drop,low,4.0,180.0,60.0,76.67683820331484,100.05207558699168,area0,1,0.105,0.4,explicit_independent_rng_draws
R1-A-001,development,1,power_drop|low,A_full_nonlinear,power_drop,low,4.0,180.0,60.0,75.37647426202726,103.23221031917637,area1,1,0.105,0.5,explicit_independent_rng_draws
R1-A-002,development,2,power_drop|low,A_full_nonlinear,power_drop,low,4.0,180.0,60.0,80.74600556514459,105.79621797066375,both,1,0.105,0.6,explicit_independent_rng_draws
R1-A-003,development,3,power_drop|low,A_full_nonlinear,power_drop,low,4.0,180.0,60.0,77.0049679874217,106.06818736085498,both,1,0.105,0.5,explicit_independent_rng_draws
R1-A-004,development,0,power_drop|high,A_full_nonlinear,power_drop,high,4.0,180.0,60.0,83.70939552914194,104.80978503164762,area0,1,0.088,0.4,explicit_independent_rng_draws
R1-A-005,development,1,power_drop|high,A_full_nonlinear,power_drop,high,4.0,180.0,60.0,80.76182120521429,99.66905614474058,area1,1,0.088,0.5,explicit_independent_rng_draws
R1-A-006,development,2,power_drop|high,A_full_nonlinear,power_drop,high,4.0,180.0,60.0,78.88013392432984,94.67509606778987,both,1,0.088,0.6,explicit_independent_rng_draws
R1-A-007,development,3,power_drop|high,A_full_nonlinear,power_drop,high,4.0,180.0,60.0,84.25113854255608,107.26685519610305,both,1,0.088,0.5,explicit_independent_rng_draws
R1-A-008,development,0,ramp_drop|low,A_full_nonlinear,ramp_drop,low,4.0,180.0,60.0,76.36570284454997,103.24329497127343,area0,1,0.105,0.4,explicit_independent_rng_draws
R1-A-009,development,1,ramp_drop|low,A_full_nonlinear,ramp_drop,low,4.0,180.0,60.0,76.22241999916193,100.65534484470633,area1,1,0.105,0.5,explicit_independent_rng_draws
R1-A-010,development,2,ramp_drop|low,A_full_nonlinear,ramp_drop,low,4.0,180.0,60.0,84.47069352325799,98.05722761557679,both,1,0.105,0.6,explicit_independent_rng_draws
R1-A-011,development,3,ramp_drop|low,A_full_nonlinear,ramp_drop,low,4.0,180.0,60.0,83.1225800943279,98.18722568517009,both,1,0.105,0.5,explicit_independent_rng_draws
R1-A-012,development,0,ramp_drop|high,A_full_nonlinear,ramp_drop,high,4.0,180.0,60.0,79.84741402466045,106.41503728421782,area0,1,0.088,0.4,explicit_independent_rng_draws
R1-A-013,development,1,ramp_drop|high,A_full_nonlinear,ramp_drop,high,4.0,180.0,60.0,74.38804173108018,94.22248714052952,area1,1,0.088,0.5,explicit_independent_rng_draws
R1-A-014,development,2,ramp_drop|high,A_full_nonlinear,ramp_drop,high,4.0,180.0,60.0,80.02942522012263,95.62464658754797,both,1,0.088,0.6,explicit_independent_rng_draws
R1-A-015,development,3,ramp_drop|high,A_full_nonlinear,ramp_drop,high,4.0,180.0,60.0,76.46274313701397,107.39840619093671,both,1,0.088,0.5,explicit_independent_rng_draws
R1-A-016,development,0,delay_increase|low,A_full_nonlinear,delay_increase,low,4.0,180.0,60.0,77.48916832187348,97.13216190258144,area0,1,0.105,0.4,explicit_independent_rng_draws
R1-A-017,development,1,delay_increase|low,A_full_nonlinear,delay_increase,low,4.0,180.0,60.0,82.80376205413751,106.00965234036204,area1,1,0.105,0.5,explicit_independent_rng_draws
R1-A-018,development,2,delay_increase|low,A_full_nonlinear,delay_increase,low,4.0,180.0,60.0,82.53567922912737,104.55033137899645,both,1,0.105,0.6,explicit_independent_rng_draws
R1-A-019,development,3,delay_increase|low,A_full_nonlinear,delay_increase,low,4.0,180.0,60.0,81.36183824858468,100.89199660356506,both,1,0.105,0.5,explicit_independent_rng_draws
R1-A-020,development,0,delay_increase|high,A_full_nonlinear,delay_increase,high,4.0,180.0,60.0,84.84128100397224,107.05847078525937,area0,1,0.088,0.4,explicit_independent_rng_draws
R1-A-021,development,1,delay_increase|high,A_full_nonlinear,delay_increase,high,4.0,180.0,60.0,78.56515865904319,96.94723742894166,area1,1,0.088,0.5,explicit_independent_rng_draws
R1-A-022,development,2,delay_increase|high,A_full_nonlinear,delay_increase,high,4.0,180.0,60.0,81.33969693999599,103.02639830172866,both,1,0.088,0.6,explicit_independent_rng_draws
R1-A-023,development,3,delay_increase|high,A_full_nonlinear,delay_increase,high,4.0,180.0,60.0,82.89001002085462,99.54249897255384,both,1,0.088,0.5,explicit_independent_rng_draws
