episode_id,time_s,proposed_action,applied_action,committed_action,applied_equals_committed,supervisor_changed_action
R3-E-2-0,0.0,"[8.848111222155825e-07, -1.406163569968471e-06, 7.391363598430151e-07, -1.2962897288963904e-06]","[8.848111222155825e-07, -1.406163569968471e-06, 7.391363598430151e-07, -1.2962897288963904e-06]","[8.848111222155825e-07, -1.406163569968471e-06, 7.391363598430151e-07, -1.2962897288963904e-06]",True,False
R3-E-2-0,2.0,"[-1.137921285108041e-05, -2.8885688094360373e-06, -9.255617739634709e-06, -3.1583270227621847e-06]","[-1.137921285108041e-05, -2.8885688094360373e-06, -9.255617739634709e-06, -3.1583270227621847e-06]","[-1.137921285108041e-05, -2.8885688094360373e-06, -9.255617739634709e-06, -3.1583270227621847e-06]",True,False
R3-E-2-0,4.0,"[-2.4997640657958096e-05, -4.259118714109126e-06, -2.0409542346670026e-05, -5.964087783381886e-06]","[-2.4997640657958096e-05, -4.259118714109126e-06, -2.0409542346670026e-05, -5.964087783381886e-06]","[-2.4997640657958096e-05, -4.259118714109126e-06, -2.0409542346670026e-05, -5.964087783381886e-06]",True,False
R3-E-2-0,6.0,"[-3.2839041237166854e-05, -6.809653806444713e-06, -2.8642213030662414e-05, -9.910694740760931e-06]","[-3.2839041237166854e-05, -6.809653806444713e-06, -2.8642213030662414e-05, -9.910694740760931e-06]","[-3.2839041237166854e-05, -6.809653806444713e-06, -2.8642213030662414e-05, -9.910694740760931e-06]",True,False
R3-E-2-0,8.0,"[-3.629040765722434e-05, -8.587274716464056e-06, -3.426573021532893e-05, -1.2794276601788323e-05]","[-3.629040765722434e-05, -8.587274716464056e-06, -3.426573021532893e-05, -1.2794276601788323e-05]","[-3.629040765722434e-05, -8.587274716464056e-06, -3.426573021532893e-05, -1.2794276601788323e-05]",True,False
R3-E-2-0,10.0,"[-3.7300598275055404e-05, -1.0819945073476054e-05, -3.815328721323126e-05, -1.5053942690332384e-05]","[-3.7300598275055404e-05, -1.0819945073476054e-05, -3.815328721323126e-05, -1.5053942690332384e-05]","[-3.7300598275055404e-05, -1.0819945073476054e-05, -3.815328721323126e-05, -1.5053942690332384e-05]",True,False
R3-E-2-0,12.0,"[-3.7357130243303964e-05, -1.358588829892624e-05, -4.032327718498209e-05, -1.689027365748091e-05]","[-3.7357130243303964e-05, -1.358588829892624e-05, -4.032327718498209e-05, -1.689027365748091e-05]","[-3.7357130243303964e-05, -1.358588829892624e-05, -4.032327718498209e-05, -1.689027365748091e-05]",True,False
R3-E-2-0,14.0,"[-3.7926804826681065e-05, -1.697700295894346e-05, -4.1090147966090574e-05, -1.8945853336485227e-05]","[-3.7926804826681065e-05, -1.697700295894346e-05, -4.1090147966090574e-05, -1.8945853336485227e-05]","[-3.7926804826681065e-05, -1.697700295894346e-05, -4.1090147966090574e-05, -1.8945853336485227e-05]",True,False
R3-E-2-0,16.0,"[-3.736303754783341e-05, -2.0212586661901285e-05, -3.922299007239327e-05, -2.1286378824530023e-05]","[-3.736303754783341e-05, -2.0212586661901285e-05, -3.922299007239327e-05, -2.1286378824530023e-05]","[-3.736303754783341e-05, -2.0212586661901285e-05, -3.922299007239327e-05, -2.1286378824530023e-05]",True,False
R3-E-2-0,18.0,"[-3.789136761656638e-05, -2.2778914823830314e-05, -3.725180790552606e-05, -2.375293438802845e-05]","[-3.789136761656638e-05, -2.2778914823830314e-05, -3.725180790552606e-05, -2.375293438802845e-05]","[-3.789136761656638e-05, -2.2778914823830314e-05, -3.725180790552606e-05, -2.375293438802845e-05]",True,False
R3-E-2-0,20.0,"[-3.839296155473949e-05, -2.4451908143792063e-05, -3.543608428899598e-05, -2.618044940035979e-05]","[-3.839296155473949e-05, -2.4451908143792063e-05, -3.543608428899598e-05, -2.618044940035979e-05]","[-3.839296155473949e-05, -2.4451908143792063e-05, -3.543608428899598e-05, -2.618044940035979e-05]",True,False
R3-E-2-0,22.0,"[-0.0006139321496184179, 0.0018961401250540142, -0.02021472888394268, -0.0014038334161268796]","[-0.0006139321496184179, 0.0018961401250540142, -0.02021472888394268, -0.0014038334161268796]","[-0.0006139321496184179, 0.0018961401250540142, -0.02021472888394268, -0.0014038334161268796]",True,False
R3-E-2-0,24.0,"[0.033310147841641824, 0.0003598335985085525, -0.011261691053411156, 0.0030037073631736457]","[0.033310147841641824, 0.0003598335985085525, -0.011261691053411156, 0.0030037073631736457]","[0.033310147841641824, 0.0003598335985085525, -0.011261691053411156, 0.0030037073631736457]",True,False
R3-E-2-0,26.0,"[0.03780090782446071, -0.0017057301302786658, -0.0012874622057687652, 0.008112631860867773]","[0.03780090782446071, -0.0017057301302786658, -0.0012874622057687652, 0.008112631860867773]","[0.03780090782446071, -0.0017057301302786658, -0.0012874622057687652, 0.008112631860867773]",True,False
R3-E-2-0,28.0,"[0.027760138719068583, -0.0003171514387267678, 0.008346578758996796, 0.008994813922541593]","[0.027760138719068583, -0.0003171514387267678, 0.008346578758996796, 0.008994813922541593]","[0.027760138719068583, -0.0003171514387267678, 0.008346578758996796, 0.008994813922541593]",True,False
R3-E-2-0,30.0,"[0.018349988648116107, 0.004161409114458432, 0.017640406719749018, 0.005960048210041065]","[0.018349988648116107, 0.004161409114458432, 0.017640406719749018, 0.005960048210041065]","[0.018349988648116107, 0.004161409114458432, 0.017640406719749018, 0.005960048210041065]",True,False
R3-E-2-0,32.0,"[0.014710576048531715, 0.009926810510281209, 0.018417226455647206, 0.0012261784851171635]","[0.014710576048531715, 0.009926810510281209, 0.018417226455647206, 0.0012261784851171635]","[0.014710576048531715, 0.009926810510281209, 0.018417226455647206, 0.0012261784851171635]",True,False
R3-E-2-0,34.0,"[0.020755498009198882, 0.013679706369772034, 0.010285629227199224, -0.0011580743879333513]","[0.020755498009198882, 0.013679706369772034, 0.010285629227199224, -0.0011580743879333513]","[0.020755498009198882, 0.013679706369772034, 0.010285629227199224, -0.0011580743879333513]",True,False
R3-E-2-0,36.0,"[0.031600341925694185, 0.01339228744434449, -0.0023953805484879234, 0.001273653251773275]","[0.031600341925694185, 0.01339228744434449, -0.0023953805484879234, 0.001273653251773275]","[0.031600341925694185, 0.01339228744434449, -0.0023953805484879234, 0.001273653251773275]",True,False
R3-E-2-0,38.0,"[0.0358862113278394, 0.010164817968570035, -0.006990295625948206, 0.007142660099086475]","[0.0358862113278394, 0.010164817968570035, -0.006990295625948206, 0.007142660099086475]","[0.0358862113278394, 0.010164817968570035, -0.006990295625948206, 0.007142660099086475]",True,False
R3-E-2-0,40.0,"[0.02876274716116883, 0.007961591350533415, -7.072718433776245e-05, 0.011569056145202575]","[0.02876274716116883, 0.007961591350533415, -7.072718433776245e-05, 0.011569056145202575]","[0.02876274716116883, 0.007961591350533415, -7.072718433776245e-05, 0.011569056145202575]",True,False
R3-E-2-0,42.0,"[0.011824284233872592, 0.010825930638549629, 0.016738019122747205, 0.00963066154840383]","[0.011824284233872592, 0.010825930638549629, 0.016738019122747205, 0.00963066154840383]","[0.011824284233872592, 0.010825930638549629, 0.016738019122747205, 0.00963066154840383]",True,False
R3-E-2-0,44.0,"[0.003300641539249748, 0.017858179881669347, 0.023331219439387894, 0.002566020616703951]","[0.003300641539249748, 0.017858179881669347, 0.023331219439387894, 0.002566020616703951]","[0.003300641539249748, 0.017858179881669347, 0.023331219439387894, 0.002566020616703951]",True,False
R3-E-2-0,46.0,"[0.008939907389216097, 0.022784579999658286, 0.01353066562556201, -0.0020802699299637168]","[0.008939907389216097, 0.022784579999658286, 0.01353066562556201, -0.0020802699299637168]","[0.008939907389216097, 0.022784579999658286, 0.01353066562556201, -0.0020802699299637168]",True,False
R3-E-2-0,48.0,"[0.02632365291387293, 0.020542548250511876, -0.007331392646508742, 0.0018813907641701672]","[0.02632365291387293, 0.020542548250511876, -0.007331392646508742, 0.0018813907641701672]","[0.02632365291387293, 0.020542548250511876, -0.007331392646508742, 0.0018813907641701672]",True,False
R3-E-2-0,50.0,"[0.03281784576880524, 0.01349724757834511, -0.012535268180579075, 0.011525524793916674]","[0.03281784576880524, 0.01349724757834511, -0.012535268180579075, 0.011525524793916674]","[0.03281784576880524, 0.01349724757834511, -0.012535268180579075, 0.011525524793916674]",True,False
