scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
R5-D-A-000,development,0,A_full_nonlinear,power_drop,low,2.0,300.0,sustainable,before,both,1,known,128.18582832854375,113.42532197321755,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-001,development,0,A_full_nonlinear,power_drop,low,4.0,300.0,sustainable,before,both,1,known,107.92061322714468,96.46589112678998,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-002,development,0,A_full_nonlinear,power_drop,high,2.0,300.0,sustainable,before,both,1,known,102.28315660391902,83.40423535196688,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-003,development,0,A_full_nonlinear,power_drop,high,4.0,300.0,sustainable,before,both,1,known,109.88242025987206,92.55488451036406,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-004,development,0,A_full_nonlinear,ramp_drop,low,2.0,300.0,sustainable,before,both,1,known,115.37044542225577,94.42999312106028,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-005,development,0,A_full_nonlinear,ramp_drop,low,4.0,300.0,sustainable,before,both,1,known,131.94030676662945,116.93974371558377,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-006,development,0,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,before,both,1,known,134.244623986327,117.07458722998425,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-007,development,0,A_full_nonlinear,ramp_drop,high,4.0,300.0,sustainable,before,both,1,known,132.6498317627145,121.32271624916285,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-008,development,0,A_full_nonlinear,delay_increase,low,2.0,300.0,sustainable,before,both,1,known,130.30209742297615,118.89455680638969,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-009,development,0,A_full_nonlinear,delay_increase,low,4.0,300.0,sustainable,before,both,1,known,123.32271329973683,102.21859325508242,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-010,development,0,A_full_nonlinear,delay_increase,high,2.0,300.0,sustainable,before,both,1,known,101.23233808979248,81.04080449808414,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
R5-D-A-011,development,0,A_full_nonlinear,delay_increase,high,4.0,300.0,sustainable,before,both,1,known,108.69015639600622,86.76896029656746,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,False
