gate,status,deleted,standard_changed,not_evaluated_imputed
materiality_retained_from_R1,PASS,False,False,False
plant_a_minimum_scale,PASS,False,False,False
plant_b_minimum_scale,PASS,False,False,False
success_drop_at_most_2pp,FAIL,False,False,False
failure_aware_not_worse,FAIL,False,False,False
two_of_three_metrics_improve_8pct_positive_ci,FAIL,False,False,False
terminal_recovery_not_worse,FAIL,False,False,False
hard_violations_zero,PASS,False,False,False
known_contract_backup_at_most_1pct,FAIL,False,False,False
numerical_failure_at_most_0p1pct,PASS,False,False,False
p99_below_half_period,PASS,False,False,False
plant_a_b_direction_consistent_positive,FAIL,False,False,False
normal1h_six_per_method_full_rolling,PASS,False,False,False
normal1h_frequency_quality,FAIL,False,False,False
contract_violation_separate_and_detected,PASS,False,False,False
physical_infeasible_not_imputed_failure,PASS,False,False,False
action_availability_100pct,PASS,False,False,False
all_attempted_calls_in_denominator,PASS,False,False,False
solver_denominator_identities_hold,PASS,False,False,False
