stage,gate,status,not_evaluated
R0,PHASE_I_EVIDENCE_AUDITABLE_AND_CORRECTED,PASS,False
R1,at_least_60_formal_or_official_sources,PASS,False
R1,no_complete_prior_intersection_found,PASS,False
R1,oracle_and_contract_are_true_rolling,PASS,False
R1,plant_a_full_nonlinear,PASS,False
R1,development_seeds_only,PASS,False
R1,complete_unannounced_capability_events,PASS,False
R1,load_events_independent_and_after_warmup,PASS,False
R1,materiality_two_mechanisms_both_tensions,PASS,False
R1,each_tension_has_two_material_mechanisms,PASS,False
R1,hard_violations_zero,PASS,False
R2,actual_poi_selected_observer_beats_command_model,PASS,False
R2,selected_observer_fixed_before_validation,PASS,False
R2,observer_truth_future_free,PASS,False
R2,delay_coverage_at_least_95pct,PASS,False
R2,power_coverage_at_least_95pct,PASS,False
R2,ramp_coverage_at_least_95pct,PASS,False
R2,false_optimism_at_most_1pct,PASS,False
R2,no_excitation_no_false_shrink,PASS,False
R2,abrupt_drop_resets_present,PASS,False
R2,feasible_parameter_sets_nonempty,PASS,False
R2,anti_windup_pi_stable,PASS,False
R2,all_named_mpc_true_rolling,PASS,False
R2,all_named_mpc_prediction_sequences,PASS,False
R2,all_named_mpc_dynamics_constraints,PASS,False
R2,contract_and_online_semantics_separate,PASS,False
R3,true_rolling_prediction_and_controls,PASS,False
R3,online_envelope_changes_surplus_not_only_cost,PASS,False
R3,shared_current_action_all_branches,PASS,False
R3,zero_surplus_loss_branch,PASS,False
R3,hard_violations_zero,PASS,False
R3,action_commit_100pct,PASS,False
R3,constraint_residual_within_tolerance,PASS,False
R3,realtime_2s_4s,PASS,False
R3,all_attempted_calls_in_denominator,PASS,False
R3,contract_breach_detected_and_routed,PASS,False
R3,ordinary_controller_truth_future_free,PASS,False
R4,same_instant_impossibility_established,PASS,False
R4,contract_branch_finite_horizon_certified,PASS,False
R4,surplus_loss_recourse_certified,PASS,False
R4,sustainable_terminal_nonempty_admissible,PASS,False
R4,bridge_has_certified_and_uncertified_cells,PASS,False
R4,infeasibility_has_positive_and_negative_controls,PASS,False
R4,recursive_claim_conditionally_scoped,PASS,False
R4,native_plant_b_theory_withheld,PASS,False
R5,materiality_retained_from_R1,PASS,False
R5,plant_a_minimum_scale,PASS,False
R5,plant_b_minimum_scale,PASS,False
R5,success_drop_at_most_2pp,FAIL,False
R5,failure_aware_not_worse,FAIL,False
R5,two_of_three_metrics_improve_8pct_positive_ci,FAIL,False
R5,terminal_recovery_not_worse,FAIL,False
R5,hard_violations_zero,PASS,False
R5,known_contract_backup_at_most_1pct,FAIL,False
R5,numerical_failure_at_most_0p1pct,PASS,False
R5,p99_below_half_period,PASS,False
R5,plant_a_b_direction_consistent_positive,FAIL,False
R5,normal1h_six_per_method_full_rolling,PASS,False
R5,normal1h_frequency_quality,FAIL,False
R5,contract_violation_separate_and_detected,PASS,False
R5,physical_infeasible_not_imputed_failure,PASS,False
R5,action_availability_100pct,PASS,False
R5,all_attempted_calls_in_denominator,PASS,False
R5,solver_denominator_identities_hold,PASS,False
R6,R5_FATAL_VALIDATION_GATE_FAILED_FINAL_LOCK_FORBIDDEN,NOT_EVALUATED,True
R7,R5_FATAL_VALIDATION_GATE_FAILED_FINAL_EVIDENCE_FORBIDDEN,NOT_EVALUATED,True
R8,NEGATIVE_REVIEW_PACKAGE_BUILD_AND_FRESH_REPLAY,PENDING_PACKAGE_BUILD,False
