method,candidate_set_contains_truth,censoring_time_s,classifier,detection_censored,detection_delay_s,from_mode,run_id,scenario_id,schema_version,seed,sg_level,switch_time_s,to_mode
P_old,True,,current_native_diagnostic,False,15.5,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003000,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3000,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003000,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3000,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003001,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3001,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003001,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3001,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003002,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3002,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,10.5,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003002,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3002,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003003,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3003,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003003,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3003,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,6.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003004,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3004,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003004,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3004,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003005,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3005,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003005,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3005,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,6.5,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.5,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003012,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3012,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003012,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3012,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003013,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3013,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003013,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3013,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003014,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3014,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003014,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3014,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003015,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3015,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003015,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3015,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,5.5,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003016,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3016,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003016,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3016,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,10.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003017,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3017,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003017,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3017,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003018,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3018,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003018,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3018,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003019,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3019,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003019,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3019,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003020,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3020,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003020,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3020,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003021,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3021,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003021,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3021,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003022,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3022,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003022,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3022,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003023,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3023,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003023,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3023,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003024,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3024,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003024,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3024,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,6.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003025,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3025,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003025,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3025,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,12.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003026,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3026,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003026,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3026,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003027,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3027,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003027,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3027,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003028,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3028,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003028,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3028,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003029,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3029,A,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003029,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3029,A,50.0,sluggish
P_old,True,,current_native_diagnostic,False,12.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003000,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3000,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003000,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3000,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003001,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3001,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003001,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3001,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003002,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3002,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003002,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3002,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003003,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3003,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003003,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3003,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,6.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003004,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3004,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003004,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3004,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003005,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3005,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003005,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3005,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,6.5,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,B,50.0,sluggish
