scope,scenario_id,sg_level,attempted_pair_union_count,finite_pair_count,b5_success_rate,physically_feasible,mean_b0_freq_iae,mean_b5_freq_iae,frequency_iae_improvement_fraction,frequency_iae_improvement_ci95_low,frequency_iae_improvement_ci95_high,max_frequency_worsening_fraction,max_frequency_worsening_ci95_low,max_frequency_worsening_ci95_high,sg_mileage_improvement_fraction,sg_mileage_improvement_ci95_low,sg_mileage_improvement_ci95_high,frequency_value_gate,resource_value_gate,materiality_gate_passed,iae_sign_flip_pvalue,iae_wilcoxon_pvalue,max_frequency_sign_flip_pvalue,max_frequency_wilcoxon_pvalue,sg_mileage_sign_flip_pvalue,sg_mileage_wilcoxon_pvalue
overall,ALL,ALL,2070,2010,1.0,True,1.5558634833487273,1.1619411890055482,0.040807737215559234,0.01722190247744736,0.06363180104733568,0.01738929397833843,0.015447906232557033,0.019397662180148587,0.573419849241508,0.5627294835347557,0.5841546509587332,False,True,True,9.999000099990002e-05,2.6974454316151265e-72,9.999000099990002e-05,1.372360719265556e-264,9.999000099990002e-05,0.0
overall,ALL,A,690,690,1.0,True,1.0458264616916535,1.0031600693046792,0.017830692679623606,0.0017256835590852796,0.03422769835059646,0.02599976780324921,0.02195184900227962,0.030360617464301538,0.4349328572996246,0.4150282896473692,0.4553882785645325,False,True,True,9.999000099990002e-05,2.0834819804346125e-06,9.999000099990002e-05,1.1711770715731904e-110,9.999000099990002e-05,4.784675307560609e-106
overall,ALL,B,690,690,1.0,True,1.176706579205852,1.171696741202356,-0.15985916044633372,-0.20840681226831856,-0.11297178560993043,0.018382681547195943,0.015466078493505994,0.021170762837804044,0.6703926739048943,0.6586575871352219,0.6823760547094724,False,False,False,0.7113288671132887,0.04713752538271477,9.999000099990002e-05,5.373948970113684e-94,9.999000099990002e-05,1.2271828000391018e-114
overall,ALL,C,690,630,1.0,True,2.5297425449391477,1.3251596677004718,0.28575110247984764,0.24457888539814507,0.3246461696094699,0.006870779118496965,0.0038728187306589475,0.009896532751436465,0.618887746737005,0.6009338400244082,0.6374904962760118,True,True,True,9.999000099990002e-05,6.418382089433473e-84,9.999000099990002e-05,4.373376847198496e-59,9.999000099990002e-05,2.1537346954156973e-104
scenario,S0_nominal_stochastic,ALL,90,90,1.0,True,0.5046608639314397,0.5625900011908648,-0.1143101691688675,-0.16959381722275021,-0.06499725175892311,0.01714616110774287,-0.013690988296952266,0.05022496604664063,0.9674667647324061,0.9309189822991809,0.9940865202549641,False,False,False,9.999000099990002e-05,0.012531248927851372,0.48085191480851913,0.826414872202321,9.999000099990002e-05,1.858815640343226e-16
scenario,S0_nominal_stochastic,A,30,30,1.0,True,0.5044600724371997,0.5828633398249491,-0.1538082112670898,-0.2966453635520026,-0.04304298966244021,0.038096534194415735,-0.023247597178146083,0.11196589740258507,0.9143005564844248,0.8058095971065754,0.9939115513466831,False,False,False,0.008899110088991101,0.15794767439365387,0.37166283371662834,0.5978077705949545,9.999000099990002e-05,5.587935447692871e-09
scenario,S0_nominal_stochastic,B,30,30,1.0,True,0.5046443428468206,0.5533915858270541,-0.09662914105488056,-0.16929792629577395,-0.030272120354645392,0.006754105761695231,-0.03922500433278217,0.05439532003033699,0.9935067468933212,0.9851438357787129,1.0,False,False,False,0.009499050094990502,0.15794767439365387,0.9688031196880312,0.935398668050766,9.999000099990002e-05,1.862645149230957e-09
scenario,S0_nominal_stochastic,C,30,30,1.0,True,0.5048781765102989,0.5515150779205911,-0.09249315518463214,-0.16189700767370818,-0.028283757730364366,0.00658784336711762,-0.03942989536015012,0.054016580112324096,0.9945929908194727,0.9891541684261209,0.9989265586725381,False,False,False,0.0108989101089891,0.1641840822994709,0.9731026897310269,0.9192965272814035,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_002,ALL,90,90,1.0,True,0.34521843474323854,0.719767810478638,-1.0848219216450314,-1.2518883787097486,-0.9170855869820115,0.020401243724732277,0.01956755800579072,0.021259640459049007,0.6245551251859439,0.5713649902340764,0.6755419407942725,False,False,False,9.999000099990002e-05,1.7437900167092118e-16,9.999000099990002e-05,1.7437900167092118e-16,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_neg_002,A,30,30,1.0,True,0.3346479997024555,0.37218060581512696,-0.1122806722273109,-0.12196140117509015,-0.10296409833661273,0.021836720108632506,0.020427075407989062,0.023287544177535806,0.2791382938155842,0.23741619876630457,0.3242542578646951,False,False,False,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
