run_id,scenario_id,method,seed,sg_level,scientific_success,failure_stage,solve_time_mean_s,solve_time_p95_s,solve_time_max_s,solver_attempt_count,solver_fail_count,solver_timeout_count,solver_infeasible_count,wall_time_s,max_exact_mirror_error,mean_ibr_authority_ratio,solver_status_counts_json,solver_outcome_counts_json
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003000,S0_nominal_stochastic,B0,3000,A,True,,,,,0,0,0,0,3.1026143999988562,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003001,S0_nominal_stochastic,B0,3001,A,True,,,,,0,0,0,0,3.064853600000788,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003002,S0_nominal_stochastic,B0,3002,A,True,,,,,0,0,0,0,3.243870300000708,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003003,S0_nominal_stochastic,B0,3003,A,True,,,,,0,0,0,0,3.0253905999998096,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003004,S0_nominal_stochastic,B0,3004,A,True,,,,,0,0,0,0,3.185501599997224,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003005,S0_nominal_stochastic,B0,3005,A,True,,,,,0,0,0,0,3.1748800999994273,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003006,S0_nominal_stochastic,B0,3006,A,True,,,,,0,0,0,0,3.1031501999968896,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003007,S0_nominal_stochastic,B0,3007,A,True,,,,,0,0,0,0,3.588966499999515,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003008,S0_nominal_stochastic,B0,3008,A,True,,,,,0,0,0,0,3.537111099998583,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003009,S0_nominal_stochastic,B0,3009,A,True,,,,,0,0,0,0,3.4824351999995997,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003010,S0_nominal_stochastic,B0,3010,A,True,,,,,0,0,0,0,3.538186099998711,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003011,S0_nominal_stochastic,B0,3011,A,True,,,,,0,0,0,0,3.533913900006155,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003012,S0_nominal_stochastic,B0,3012,A,True,,,,,0,0,0,0,3.585747800003446,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003013,S0_nominal_stochastic,B0,3013,A,True,,,,,0,0,0,0,3.5017264999987674,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003014,S0_nominal_stochastic,B0,3014,A,True,,,,,0,0,0,0,3.418495499994606,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003015,S0_nominal_stochastic,B0,3015,A,True,,,,,0,0,0,0,3.5631657999983872,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003016,S0_nominal_stochastic,B0,3016,A,True,,,,,0,0,0,0,3.478912400001718,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003017,S0_nominal_stochastic,B0,3017,A,True,,,,,0,0,0,0,3.5173646999974153,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003018,S0_nominal_stochastic,B0,3018,A,True,,,,,0,0,0,0,3.4826979999998002,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003019,S0_nominal_stochastic,B0,3019,A,True,,,,,0,0,0,0,3.59587399999873,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003020,S0_nominal_stochastic,B0,3020,A,True,,,,,0,0,0,0,3.6480292999985977,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003021,S0_nominal_stochastic,B0,3021,A,True,,,,,0,0,0,0,3.370622499998717,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003022,S0_nominal_stochastic,B0,3022,A,True,,,,,0,0,0,0,3.492014099996595,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003023,S0_nominal_stochastic,B0,3023,A,True,,,,,0,0,0,0,3.48975590000191,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003024,S0_nominal_stochastic,B0,3024,A,True,,,,,0,0,0,0,3.6792904999965685,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003025,S0_nominal_stochastic,B0,3025,A,True,,,,,0,0,0,0,3.3217239000005065,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003026,S0_nominal_stochastic,B0,3026,A,True,,,,,0,0,0,0,3.342228499997873,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003027,S0_nominal_stochastic,B0,3027,A,True,,,,,0,0,0,0,3.505525000000489,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003028,S0_nominal_stochastic,B0,3028,A,True,,,,,0,0,0,0,3.2937022000041907,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003029,S0_nominal_stochastic,B0,3029,A,True,,,,,0,0,0,0,3.3505251999959,,,{},{}
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003000,S0_nominal_stochastic,B2,3000,A,True,,0.030838231944512195,0.037534300001789235,0.04650440000114031,360,0,0,0,15.445768899997347,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003001,S0_nominal_stochastic,B2,3001,A,True,,0.03116337833341984,0.038096850003057625,0.05004419999750098,360,0,0,0,15.576400999998441,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003002,S0_nominal_stochastic,B2,3002,A,True,,0.03172141027761326,0.038879924994034816,0.051920999998401385,360,0,0,0,15.7150701999999,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003003,S0_nominal_stochastic,B2,3003,A,True,,0.03200888250018276,0.03894433000241406,0.05209109999850625,360,0,0,0,15.941472400001658,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003004,S0_nominal_stochastic,B2,3004,A,True,,0.030836736944567948,0.03771916500409134,0.04715980000037234,360,0,0,0,15.433045800004038,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003005,S0_nominal_stochastic,B2,3005,A,True,,0.03118466083340334,0.03707999500220467,0.04966950000380166,360,0,0,0,15.683563599995978,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003006,S0_nominal_stochastic,B2,3006,A,True,,0.034587701388813404,0.041948355005661145,0.053732700005639344,360,0,0,0,17.141030099999625,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003007,S0_nominal_stochastic,B2,3007,A,True,,0.03547390277787296,0.04262347500261967,0.05493170000409009,360,0,0,0,17.752159700001357,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003008,S0_nominal_stochastic,B2,3008,A,True,,0.03578239916666159,0.04427606999634008,0.05507340000622207,360,0,0,0,17.910283499993966,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003009,S0_nominal_stochastic,B2,3009,A,True,,0.03486456361109352,0.042552084998897045,0.05535750000126427,360,0,0,0,17.46736360000068,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003010,S0_nominal_stochastic,B2,3010,A,True,,0.03492836472210507,0.0418210900057602,0.051519299995561596,360,0,0,0,17.412857000002987,,,"{""optimal"": 360}","{""success"": 360}"
